"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.667302742629187,0.528625791503474,0.692796118651982,0.0288427406303713,0.0717198258296977,0.055422716359557,"AFS","EC-EARTH","summer","gbm"
0.1,1,20,1000,0.652089050773286,0.452687944356489,0.731709714893284,0.0326714282026836,0.0530365331259106,0.0386853120711142,"AFS","EC-EARTH","summer","gbm"
0.5,1,20,1000,0.642050968886184,0.425128487122625,0.741447836392483,0.0290880986267944,0.0364179095248133,0.0300772542164276,"AFS","EC-EARTH","summer","gbm"
0.01,3,20,1000,0.665191880990311,0.47549179651689,0.732659846632165,0.0288834671018921,0.0618226589992502,0.0475730011335456,"AFS","EC-EARTH","summer","gbm"
0.1,3,20,1000,0.649126781407612,0.42785149099992,0.746924858566876,0.0297845404130281,0.0491713258949501,0.0370207544135264,"AFS","EC-EARTH","summer","gbm"
0.5,3,20,1000,0.633182312140236,0.415499048088921,0.743900884181026,0.0290576017057603,0.0477000812018557,0.0358462886098135,"AFS","EC-EARTH","summer","gbm"
0.01,5,20,1000,0.661449688132145,0.452596344485675,0.742929671414562,0.0343653892165498,0.0532399199412537,0.039970236123248,"AFS","EC-EARTH","summer","gbm"
0.1,5,20,1000,0.643782572158627,0.414603002960488,0.751962932748535,0.0292115206398852,0.0372317128885072,0.0295892968361242,"AFS","EC-EARTH","summer","gbm"
0.5,5,20,1000,0.632787050941307,0.406800834455952,0.742853422840898,0.0231712255857744,0.0363991400957264,0.0325015477293856,"AFS","EC-EARTH","summer","gbm"
0.01,1,20,2000,0.662917959697433,0.503891845038025,0.706034508754278,0.0301653960029628,0.0611029288221461,0.0494097956816884,"AFS","EC-EARTH","summer","gbm"
0.1,1,20,2000,0.647520331062475,0.440455544436863,0.736834987857901,0.0314427561429528,0.0526334420560582,0.0426751689346905,"AFS","EC-EARTH","summer","gbm"
0.5,1,20,2000,0.638783781460334,0.418439616483988,0.743043570190243,0.0278405422663606,0.0361109805532754,0.0279472865481501,"AFS","EC-EARTH","summer","gbm"
0.01,3,20,2000,0.660351485295466,0.456300194465544,0.739739125014522,0.0295922558683054,0.0563388862431809,0.0408409604111706,"AFS","EC-EARTH","summer","gbm"
0.1,3,20,2000,0.645773514708871,0.41719187749283,0.750318990029722,0.0282730408762108,0.0460382555970928,0.0350017902964283,"AFS","EC-EARTH","summer","gbm"
0.5,3,20,2000,0.628804952854021,0.414402925924938,0.74352964933663,0.0242804701674607,0.0456334303646764,0.0343705017291832,"AFS","EC-EARTH","summer","gbm"
0.01,5,20,2000,0.656353756835502,0.436957549735537,0.745959180242233,0.0319424727125196,0.044856123963222,0.0377756008372532,"AFS","EC-EARTH","summer","gbm"
0.1,5,20,2000,0.640135743491985,0.4104994217044,0.751656372107848,0.0284831310400612,0.0357542395413656,0.0306637756211005,"AFS","EC-EARTH","summer","gbm"
0.5,5,20,2000,0.633464776730397,0.407937885971521,0.742703574288154,0.022992500624491,0.0303909521879716,0.0251839871500289,"AFS","EC-EARTH","summer","gbm"
0.01,1,20,3000,0.660991079062581,0.491711883702354,0.714620069060594,0.0313423468049132,0.0567003041204338,0.0451294649615778,"AFS","EC-EARTH","summer","gbm"
0.1,1,20,3000,0.645639581091657,0.430839923637036,0.741081441791714,0.0294986722017377,0.0493643925085461,0.0431297952230312,"AFS","EC-EARTH","summer","gbm"
0.5,1,20,3000,0.633625134078302,0.416588755140705,0.746228024857902,0.0289942997972382,0.0410132398361601,0.0292840185855485,"AFS","EC-EARTH","summer","gbm"
0.01,3,20,3000,0.657273699441655,0.447259431347358,0.743404026902345,0.0294160854717243,0.0511329150531554,0.0364684453187343,"AFS","EC-EARTH","summer","gbm"
0.1,3,20,3000,0.644525721509936,0.417699941821172,0.749231862713327,0.0279435238395326,0.0469933201584121,0.0336686839683802,"AFS","EC-EARTH","summer","gbm"
0.5,3,20,3000,0.629023306867165,0.411866630025613,0.743452557766426,0.0255203855332295,0.0420373859312414,0.0331158165243819,"AFS","EC-EARTH","summer","gbm"
0.01,5,20,3000,0.653592006122769,0.433450154861319,0.746621654426191,0.030882140307545,0.044032435254166,0.036062148360962,"AFS","EC-EARTH","summer","gbm"
0.1,5,20,3000,0.639601077542402,0.410210805970582,0.749878776048192,0.0293184863558081,0.0329760137417136,0.0264504591319326,"AFS","EC-EARTH","summer","gbm"
0.5,5,20,3000,0.635220837746327,0.405809450369491,0.741237080044836,0.023468247909091,0.0290179645830389,0.0261947741859846,"AFS","EC-EARTH","summer","gbm"
0.01,1,20,4000,0.659486325011226,0.483614114123117,0.718787311760943,0.0322539146961496,0.0589719667201692,0.0445391973736357,"AFS","EC-EARTH","summer","gbm"
0.1,1,20,4000,0.643160511300874,0.423330116241795,0.742752900312498,0.0302251845808709,0.0527532053441731,0.0440436241156647,"AFS","EC-EARTH","summer","gbm"
0.5,1,20,4000,0.632529467147502,0.406473387991922,0.74951990472289,0.0283804024745578,0.051512107840406,0.0325748272969911,"AFS","EC-EARTH","summer","gbm"
0.01,3,20,4000,0.654952146369464,0.438919098143101,0.746136916359724,0.02863080449501,0.0462276858527863,0.0340917604226956,"AFS","EC-EARTH","summer","gbm"
0.1,3,20,4000,0.644120080232643,0.418605654200697,0.749042929170471,0.0279097398044886,0.0497987449144286,0.0345136630866335,"AFS","EC-EARTH","summer","gbm"
0.5,3,20,4000,0.631128485580021,0.413855240238362,0.740676366420526,0.0255782590237293,0.0441242977894475,0.0308278595759487,"AFS","EC-EARTH","summer","gbm"
0.01,5,20,4000,0.651322638182125,0.427375421581284,0.749690406229132,0.0298055701438214,0.0431780735205531,0.035881555389674,"AFS","EC-EARTH","summer","gbm"
0.1,5,20,4000,0.638719569033141,0.412567198819593,0.747948463433148,0.0281242171369107,0.0345891988232733,0.0276630563581219,"AFS","EC-EARTH","summer","gbm"
0.5,5,20,4000,0.633191047015102,0.408318805812121,0.737966056464253,0.0242755250866881,0.0354975961844879,0.0283741209126566,"AFS","EC-EARTH","summer","gbm"
0.01,1,20,5000,0.658407399184026,0.476804830393173,0.722729045737141,0.0326253610470747,0.0561404205837491,0.0413240674708693,"AFS","EC-EARTH","summer","gbm"
0.1,1,20,5000,0.642077883134883,0.419762687695331,0.745076762148354,0.0292327742063874,0.0512186391655502,0.0420544678686691,"AFS","EC-EARTH","summer","gbm"
