"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.613699781346073,0.299051857881907,0.830576612909468,0.0978654523988383,0.0944886590397029,0.0843584319581214,"AFS","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.6030474218928,0.238386033383738,0.86480562937552,0.0919680547869808,0.0669536908515439,0.0414871320690654,"AFS","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.59794238400978,0.229662808324879,0.869903048051914,0.0885883406649617,0.0601786363122331,0.0407423809979824,"AFS","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.619536966653186,0.241735795787428,0.867706501270855,0.0860485247334335,0.0713642131337394,0.0437843936199002,"AFS","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.595755637830073,0.201717734845476,0.882459684532216,0.0753502488326073,0.069169915613821,0.0340945857198016,"AFS","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.600718592472736,0.202161907832249,0.879370894259748,0.0632004450630731,0.0586893236368913,0.0319069965846606,"AFS","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.611089999988599,0.229065821645062,0.876308613641006,0.0856125660486969,0.0780761592306069,0.0374304508457782,"AFS","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.604158711397106,0.200760201275896,0.888231428631916,0.0807552681713793,0.071936304082743,0.0352069383087313,"AFS","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.602487515873855,0.20131244232654,0.88060892232131,0.0603519297811706,0.0655269412555825,0.0301074765329177,"AFS","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.613726596485025,0.280175901108027,0.846920515114843,0.0969296852412214,0.0799592057550433,0.0615185689675702,"AFS","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.60023319937669,0.230793326341683,0.868861565263426,0.0919750782805341,0.0715527558531844,0.0388074619801847,"AFS","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.599218378789274,0.224831678927102,0.870413356055438,0.0832444396867168,0.0644161395533365,0.0386732528653378,"AFS","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.615618873572298,0.22786402019462,0.875142989091278,0.0828347550054872,0.0777304311969674,0.0324757339040922,"AFS","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.597566037885715,0.197958279500767,0.883822097990165,0.0717354059562925,0.0701233122745441,0.0329910103961652,"AFS","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.602400725264171,0.196694171051931,0.881654193296672,0.0591557169139407,0.0573111551527136,0.0307086068931854,"AFS","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.608892234476695,0.210598208076475,0.883650028441656,0.0811629593813635,0.0733478961823512,0.0346994951758621,"AFS","ACCESS1-0","winter","gbm"
0.1,5,20,2000,0.601850457735936,0.197559280461521,0.88981031016839,0.0760345548669115,0.0676995384785304,0.0328689732145113,"AFS","ACCESS1-0","winter","gbm"
0.5,5,20,2000,0.603773856256324,0.203000425605872,0.879727903867373,0.0537726334444116,0.0665633835152999,0.0286606845768794,"AFS","ACCESS1-0","winter","gbm"
0.01,1,20,3000,0.613447924047629,0.273173659951069,0.852948581725311,0.0972453795111049,0.0760704582920157,0.0537932492726341,"AFS","ACCESS1-0","winter","gbm"
0.1,1,20,3000,0.598844377772962,0.221264247075989,0.871707774799963,0.09050095184872,0.0687644269724581,0.0363115335256189,"AFS","ACCESS1-0","winter","gbm"
0.5,1,20,3000,0.596898928635337,0.220646926337565,0.873675595752603,0.0811075972517312,0.0680230656018654,0.0373472776771647,"AFS","ACCESS1-0","winter","gbm"
0.01,3,20,3000,0.612958082553946,0.220646441533584,0.878216461220444,0.0813777288352259,0.0766445211321481,0.0321480868126924,"AFS","ACCESS1-0","winter","gbm"
0.1,3,20,3000,0.598240572101141,0.194357858216753,0.88514914755126,0.0678351702604607,0.0682623761577043,0.0326782952142791,"AFS","ACCESS1-0","winter","gbm"
0.5,3,20,3000,0.603838030688795,0.197368761060098,0.88040762405433,0.0564741700986202,0.0562039297273045,0.0305105666227573,"AFS","ACCESS1-0","winter","gbm"
0.01,5,20,3000,0.608296029099674,0.204367948690559,0.884768891122233,0.0779835890878237,0.0707870124827709,0.0338261413587202,"AFS","ACCESS1-0","winter","gbm"
0.1,5,20,3000,0.599716441698377,0.194231789150217,0.891047288099715,0.0757240633474122,0.068483877191045,0.0311571850548781,"AFS","ACCESS1-0","winter","gbm"
0.5,5,20,3000,0.60530636466363,0.199331112252111,0.878468843270227,0.0475211060013214,0.0618525903850887,0.0284413768028808,"AFS","ACCESS1-0","winter","gbm"
