"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.615392203200457,0.359759613663816,0.79800448155925,0.0759824335923593,0.100368329000201,0.0753613436435488,"AFS","CanESM2","winter","gbm"
0.1,1,20,1000,0.613476801228215,0.308463330131041,0.842788954186378,0.0728818109669928,0.0940534725954,0.0455853763122953,"AFS","CanESM2","winter","gbm"
0.5,1,20,1000,0.60624375958571,0.266268363103764,0.865026002602091,0.0684866283209645,0.0781614563134092,0.0317561928714885,"AFS","CanESM2","winter","gbm"
0.01,3,20,1000,0.621368560416503,0.294700942027139,0.855416647302116,0.0768541722449029,0.0915534024619632,0.0390473770337851,"AFS","CanESM2","winter","gbm"
0.1,3,20,1000,0.62423917134073,0.257656400289201,0.87596323161252,0.0620712111072883,0.0632467624101389,0.0275717093340547,"AFS","CanESM2","winter","gbm"
0.5,3,20,1000,0.61778838740769,0.244605292374471,0.869516345811267,0.0611925067316347,0.059991125717902,0.0259765122614002,"AFS","CanESM2","winter","gbm"
0.01,5,20,1000,0.6209630581332,0.271295007811649,0.868481592120416,0.0769002613515909,0.0856012599484268,0.0365082087787796,"AFS","CanESM2","winter","gbm"
0.1,5,20,1000,0.621096886356428,0.250103272958253,0.875842423658645,0.0646853544866946,0.0745313591528197,0.0286035634230235,"AFS","CanESM2","winter","gbm"
0.5,5,20,1000,0.616990952061179,0.245305411122214,0.875937534805436,0.0586679584581626,0.0667869154284337,0.0251614279826534,"AFS","CanESM2","winter","gbm"
0.01,1,20,2000,0.613372744971914,0.341182596016451,0.812800466711768,0.0753692423320791,0.103361003513779,0.0525819262391787,"AFS","CanESM2","winter","gbm"
0.1,1,20,2000,0.613071348181887,0.295459642772109,0.849323457485163,0.0747656137161755,0.0897783207875819,0.0378377711790395,"AFS","CanESM2","winter","gbm"
0.5,1,20,2000,0.604246663865007,0.259287437792376,0.865634823703467,0.0676719463937348,0.0737233342464273,0.0299577652907509,"AFS","CanESM2","winter","gbm"
0.01,3,20,2000,0.620441558108237,0.276806505669812,0.865807230633059,0.0762437293596239,0.0860507111695853,0.0315948403208463,"AFS","CanESM2","winter","gbm"
0.1,3,20,2000,0.622302230697895,0.248365075365932,0.880047605173236,0.0574849673710855,0.0614580989380073,0.0239654178440064,"AFS","CanESM2","winter","gbm"
0.5,3,20,2000,0.620585802880155,0.237518008797025,0.873234979112217,0.0534432762823724,0.057676133722372,0.0236226539345675,"AFS","CanESM2","winter","gbm"
0.01,5,20,2000,0.619033082280308,0.254592254561234,0.87517032659897,0.076408181698748,0.0728787936655495,0.0295875990917361,"AFS","CanESM2","winter","gbm"
0.1,5,20,2000,0.621180540732379,0.241675935295563,0.877435838010716,0.0605209763598643,0.0717696969044816,0.0266701516151563,"AFS","CanESM2","winter","gbm"
0.5,5,20,2000,0.618944711720375,0.244954095585189,0.873875356659249,0.0562576681283207,0.0683406536189879,0.0270826135076065,"AFS","CanESM2","winter","gbm"
0.01,1,20,3000,0.613663488546692,0.334669869706039,0.821652669262896,0.0743090932276562,0.0965569248310752,0.0489400952099596,"AFS","CanESM2","winter","gbm"
0.1,1,20,3000,0.61310772620447,0.289227162493145,0.852456259923665,0.0723934892461258,0.0888893663940234,0.0353096952356941,"AFS","CanESM2","winter","gbm"
