"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.625999463633905,0.398955650642419,0.814184308046894,0.0884060455100324,0.126011639085061,0.054558966121077,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,1000,0.634442831398602,0.385607553816261,0.816736572552273,0.0808105842320947,0.151647299982135,0.0804852473140112,"DMS","BCC-CSM1.1","summer","gbm"
0.5,1,20,1000,0.630214795250794,0.333365616583005,0.836378098690406,0.0789969395794194,0.150855598679105,0.0894052475379551,"DMS","BCC-CSM1.1","summer","gbm"
0.01,3,20,1000,0.642772239027712,0.396151515536199,0.82328560385476,0.0904131570169014,0.119680578019279,0.038082193046263,"DMS","BCC-CSM1.1","summer","gbm"
0.1,3,20,1000,0.641899474449624,0.364816344224111,0.831770271844409,0.0880789429215015,0.158120272636403,0.0793075576049603,"DMS","BCC-CSM1.1","summer","gbm"
0.5,3,20,1000,0.628227942606501,0.355151267343586,0.813191107419314,0.076371700108713,0.154216841295414,0.100524635933579,"DMS","BCC-CSM1.1","summer","gbm"
0.01,5,20,1000,0.641303604183604,0.37247534067859,0.830767763742699,0.0971173624260073,0.116017950152105,0.0667409621947521,"DMS","BCC-CSM1.1","summer","gbm"
0.1,5,20,1000,0.648123492578626,0.37278369616902,0.817984095158398,0.0786745262193412,0.140481466620831,0.0830076588534181,"DMS","BCC-CSM1.1","summer","gbm"
0.5,5,20,1000,0.630577566589004,0.375991654921408,0.800890015765176,0.0841508231475562,0.106845658114886,0.0778336946571457,"DMS","BCC-CSM1.1","summer","gbm"
0.01,1,20,2000,0.626382660993367,0.385093518134446,0.827702439957233,0.0839846681984782,0.131039585790488,0.0476032699788071,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,2000,0.633982519953316,0.384858639779163,0.809516900822509,0.0831223897045314,0.158902308833339,0.0828923740588454,"DMS","BCC-CSM1.1","summer","gbm"
0.5,1,20,2000,0.629300296804005,0.345230005626506,0.809385601285773,0.077177248959579,0.175442251656624,0.103083834277878,"DMS","BCC-CSM1.1","summer","gbm"
0.01,3,20,2000,0.64487031651635,0.384686995579865,0.828128704738234,0.0898787296967302,0.119666922519543,0.0435605811811714,"DMS","BCC-CSM1.1","summer","gbm"
0.1,3,20,2000,0.644205951337481,0.365541836670899,0.825491957747564,0.0820187199909983,0.164674741694101,0.0796283362995606,"DMS","BCC-CSM1.1","summer","gbm"
0.5,3,20,2000,0.623834012673684,0.355793054180666,0.806271157267947,0.0764541857241272,0.157725298884905,0.10657965913469,"DMS","BCC-CSM1.1","summer","gbm"
0.01,5,20,2000,0.639233827845617,0.353395188112669,0.844270875897195,0.0979842548255383,0.14723982710769,0.0635743699334185,"DMS","BCC-CSM1.1","summer","gbm"
0.1,5,20,2000,0.644964836910263,0.374122888185183,0.813223298325604,0.0810808000893727,0.143500072032065,0.0856887154370215,"DMS","BCC-CSM1.1","summer","gbm"
0.5,5,20,2000,0.623111441290149,0.334613202374166,0.819743784557907,0.084156934564087,0.136281703519967,0.0748572842644166,"DMS","BCC-CSM1.1","summer","gbm"
0.01,1,20,3000,0.627709970356038,0.402508646597169,0.809509111190145,0.0847292457880127,0.139785489855775,0.0555137383822502,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,3000,0.635577522279334,0.372398159930395,0.812397926003006,0.079471561913546,0.157188449225243,0.0831110249681704,"DMS","BCC-CSM1.1","summer","gbm"
0.5,1,20,3000,0.63393461775058,0.338335691550384,0.816290778910885,0.0761874905588699,0.182568370586242,0.107799087484414,"DMS","BCC-CSM1.1","summer","gbm"
0.01,3,20,3000,0.645443356095455,0.370434258316254,0.837731489954018,0.0882527059158379,0.133389321455958,0.0454735713653455,"DMS","BCC-CSM1.1","summer","gbm"
0.1,3,20,3000,0.644930014019496,0.355297850465844,0.824522930290889,0.0802922121812092,0.170312165066772,0.0835988360189832,"DMS","BCC-CSM1.1","summer","gbm"
0.5,3,20,3000,0.62727989152606,0.375726350629988,0.79268343913505,0.0741208481815633,0.126607052504615,0.0993504099540055,"DMS","BCC-CSM1.1","summer","gbm"
0.01,5,20,3000,0.638440664949855,0.347365105971712,0.845600200666162,0.0970666338051548,0.14942670345728,0.0667626120810454,"DMS","BCC-CSM1.1","summer","gbm"
0.1,5,20,3000,0.646681027169271,0.370215968988102,0.818148156352013,0.0784749713158842,0.139987449855144,0.0842107410504781,"DMS","BCC-CSM1.1","summer","gbm"
0.5,5,20,3000,0.599364041577766,0.348805046121944,0.780107300129858,0.102978544854388,0.124723658500117,0.1123837526628,"DMS","BCC-CSM1.1","summer","gbm"
0.01,1,20,4000,0.628784255606519,0.397780588387864,0.813431049344983,0.0854111991901857,0.136818691166369,0.057304774189447,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,4000,0.635040811790632,0.373299770741422,0.810066883362476,0.0788537976885433,0.160822687657342,0.085401368597786,"DMS","BCC-CSM1.1","summer","gbm"
0.5,1,20,4000,0.630782575067653,0.34647900195424,0.808845265094753,0.0803005565579382,0.185168881868518,0.107472413067933,"DMS","BCC-CSM1.1","summer","gbm"
0.01,3,20,4000,0.646101130640693,0.36786149889444,0.839501882439421,0.0881807085628001,0.131126809709699,0.0467313607733858,"DMS","BCC-CSM1.1","summer","gbm"
0.1,3,20,4000,0.643885561173055,0.359354815531373,0.821028254601861,0.0806757818872911,0.164963282425639,0.0796458060669875,"DMS","BCC-CSM1.1","summer","gbm"
0.5,3,20,4000,0.606632588893765,0.350517206714212,0.771938017912415,0.0973394491210411,0.142176218172976,0.181571615161175,"DMS","BCC-CSM1.1","summer","gbm"
0.01,5,20,4000,0.638200887307324,0.341575721350291,0.850722355186957,0.0955893417838145,0.144760504074571,0.0586642656634908,"DMS","BCC-CSM1.1","summer","gbm"
0.1,5,20,4000,0.644891590548101,0.38161372886007,0.808995387555399,0.0816922509055965,0.151070788455432,0.0986768403342281,"DMS","BCC-CSM1.1","summer","gbm"
0.5,5,20,4000,0.587325608099659,0.337982765381198,0.774230928552873,0.0993827712703587,0.101870886507891,0.110776091818653,"DMS","BCC-CSM1.1","summer","gbm"
0.01,1,20,5000,0.629077108861522,0.391750566244104,0.81628602387947,0.0871916246932025,0.141819606206371,0.0596002752848577,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,5000,0.6356405776985,0.376425858720292,0.803680488866534,0.0756964246794591,0.16569517900441,0.0931759624727674,"DMS","BCC-CSM1.1","summer","gbm"
0.5,1,20,5000,0.631604444103936,0.344379520469107,0.80788593763961,0.076737334081094,0.193912980203788,0.11052405430068,"DMS","BCC-CSM1.1","summer","gbm"
0.01,3,20,5000,0.645590091321456,0.370669393179104,0.838090502804562,0.0883801018930914,0.134503249866127,0.0519635822225207,"DMS","BCC-CSM1.1","summer","gbm"
0.1,3,20,5000,0.645489693738843,0.360411399636063,0.820950537688741,0.0786680446906149,0.159087500888852,0.098676441420484,"DMS","BCC-CSM1.1","summer","gbm"
0.5,3,20,5000,0.61106971908681,0.35728122702967,0.769424251948979,0.0925231710671008,0.137448031466753,0.183921784002019,"DMS","BCC-CSM1.1","summer","gbm"
0.01,5,20,5000,0.638023178720641,0.344553849494115,0.84618233554287,0.0937713606352251,0.151029982497214,0.0662557508916104,"DMS","BCC-CSM1.1","summer","gbm"
0.1,5,20,5000,0.642738862395592,0.388328250424648,0.800485566323905,0.0842678863770163,0.15234944598015,0.0953295921591653,"DMS","BCC-CSM1.1","summer","gbm"
0.5,5,20,5000,0.588289056909822,0.341853204458475,0.768844613723578,0.0943698349519881,0.100122207789934,0.10493513507983,"DMS","BCC-CSM1.1","summer","gbm"
0.01,1,20,6000,0.628707613799672,0.395465318336261,0.812141815730237,0.0878765435333374,0.132418328016522,0.0709910367139174,"DMS","BCC-CSM1.1","summer","gbm"
0.1,1,20,6000,0.637664540538196,0.373543466407668,0.806107363785127,0.0728032161499634,0.167569445827267,0.0938183051721396,"DMS","BCC-CSM1.1","summer","gbm"
