"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.642023035683523,0.384357065838863,0.863715308632133,0.0482101968204851,0.0906811257697454,0.0758962624721696,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,1000,0.647230335488387,0.381511921044326,0.843862580965922,0.0611868747372678,0.109223036731302,0.104260562561335,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,1000,0.644587866171054,0.353513968559224,0.85551092003092,0.0488341627176523,0.0971165442687629,0.0980231148882235,"DMS","MIROC-ESM","summer","gbm"
0.01,3,20,1000,0.663031420074008,0.409421773178302,0.852837775085949,0.0423951748200907,0.104492672786362,0.100112836878445,"DMS","MIROC-ESM","summer","gbm"
0.1,3,20,1000,0.656968986871146,0.375590121148372,0.85786267110449,0.0505682195662827,0.118505987347472,0.0793123372430244,"DMS","MIROC-ESM","summer","gbm"
0.5,3,20,1000,0.639913750619964,0.388329854516061,0.824090489872546,0.0440422074058526,0.0958469964935974,0.0846649450238008,"DMS","MIROC-ESM","summer","gbm"
0.01,5,20,1000,0.659153679067791,0.354211949379211,0.875971285820583,0.0423702673031676,0.095124741526913,0.0688223185546307,"DMS","MIROC-ESM","summer","gbm"
0.1,5,20,1000,0.658059438595958,0.398138699435932,0.833632138040249,0.052156270491506,0.108314635847906,0.0786843156984875,"DMS","MIROC-ESM","summer","gbm"
0.5,5,20,1000,0.630542666598557,0.408390903001918,0.803325858832066,0.05603127506117,0.135394598838485,0.0997980744324735,"DMS","MIROC-ESM","summer","gbm"
0.01,1,20,2000,0.653771272448369,0.375110911332848,0.870042646074145,0.047611263911752,0.0931890940980701,0.0704730569209311,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,2000,0.645140740125202,0.379988760855269,0.841704358941999,0.0619719395075174,0.108950897195865,0.0946801080070176,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,2000,0.637218857692067,0.374526376558979,0.823294533588343,0.0539774555799195,0.099458619171687,0.0949363733647639,"DMS","MIROC-ESM","summer","gbm"
0.01,3,20,2000,0.658117067894637,0.400964114617204,0.846390821758524,0.04403747571536,0.0981243231184241,0.0889787102444388,"DMS","MIROC-ESM","summer","gbm"
0.1,3,20,2000,0.652338681161712,0.379894786662305,0.848078898845687,0.051047512981942,0.103355600864633,0.0737805701736614,"DMS","MIROC-ESM","summer","gbm"
0.5,3,20,2000,0.648608038629388,0.395513827151636,0.81558960582122,0.0396612839309552,0.116910477521628,0.0986069517137518,"DMS","MIROC-ESM","summer","gbm"
0.01,5,20,2000,0.652718241574759,0.352978292324256,0.867635694230164,0.0453020761807898,0.0918909940430965,0.0700901152801511,"DMS","MIROC-ESM","summer","gbm"
0.1,5,20,2000,0.65748580457464,0.393418678269272,0.835938297130877,0.0547959034445483,0.101553938088323,0.0726166950625063,"DMS","MIROC-ESM","summer","gbm"
0.5,5,20,2000,0.611468734829826,0.460019216467798,0.693637554979366,0.093081212152465,0.20930640734539,0.258005700536777,"DMS","MIROC-ESM","summer","gbm"
0.01,1,20,3000,0.654389706952841,0.372258460668301,0.860977088326558,0.0489998509322208,0.0801319364754908,0.0843481816301119,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,3000,0.641766000954954,0.364760541512832,0.853353528173956,0.0638470931639406,0.0979748562509472,0.0788597175366023,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,3000,0.635564447943072,0.369387722903533,0.822687908757034,0.0578516868623799,0.083267609826897,0.0882231333810392,"DMS","MIROC-ESM","summer","gbm"
0.01,3,20,3000,0.656410797183287,0.397339762708194,0.845474660948837,0.0459533247454038,0.0994992872265395,0.0878604040233795,"DMS","MIROC-ESM","summer","gbm"
0.1,3,20,3000,0.651714827889865,0.372438742135263,0.845046401478171,0.0518388729462301,0.0935199765275427,0.070143175601243,"DMS","MIROC-ESM","summer","gbm"
0.5,3,20,3000,0.640087476498179,0.397596690864376,0.805096939511011,0.040327649627998,0.112951009132152,0.106685294498113,"DMS","MIROC-ESM","summer","gbm"
0.01,5,20,3000,0.650192951171542,0.356617857959431,0.85773035426752,0.0466872880254596,0.0896904842806858,0.0631172844856592,"DMS","MIROC-ESM","summer","gbm"
0.1,5,20,3000,0.658662623527657,0.399073023789407,0.832521388939112,0.0563213247582965,0.108112388878289,0.0741946086255309,"DMS","MIROC-ESM","summer","gbm"
0.5,5,20,3000,0.60776854856793,0.455867955803921,0.696549372976373,0.0887362116263181,0.207937712177942,0.25999863250268,"DMS","MIROC-ESM","summer","gbm"
0.01,1,20,4000,0.652142977569203,0.369877277132632,0.861048836321448,0.0511550314773934,0.0779992497294088,0.0849250925355888,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,4000,0.641773314930393,0.376879997938853,0.835837734033593,0.0608295942530524,0.0889060781256031,0.0712461507373577,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,4000,0.634804288258198,0.377641735667087,0.816496754137137,0.0581805780471423,0.0894816078342029,0.0884735152170632,"DMS","MIROC-ESM","summer","gbm"
0.01,3,20,4000,0.656910374939591,0.391823562256896,0.846053172831961,0.0471365152245061,0.0743982740345836,0.06088876357486,"DMS","MIROC-ESM","summer","gbm"
0.1,3,20,4000,0.652038701674972,0.375994875291248,0.839466882918442,0.0524144183943994,0.0904242243070556,0.0745962593189301,"DMS","MIROC-ESM","summer","gbm"
0.5,3,20,4000,0.648826769017873,0.42350145997504,0.790151261807759,0.0445407289528131,0.135619871847571,0.102321189208581,"DMS","MIROC-ESM","summer","gbm"
0.01,5,20,4000,0.64959981473849,0.347578216205723,0.866047765584425,0.0465111400855659,0.0925377967822939,0.0694876899494651,"DMS","MIROC-ESM","summer","gbm"
0.1,5,20,4000,0.655188309374575,0.407313908543136,0.824758317773485,0.0553050992572245,0.106964072215395,0.0674855178330686,"DMS","MIROC-ESM","summer","gbm"
0.5,5,20,4000,0.596069468123993,0.441949714729456,0.690203253123395,0.0948036543150366,0.21142303595392,0.258299007205495,"DMS","MIROC-ESM","summer","gbm"
0.01,1,20,5000,0.651950449506278,0.364473417145217,0.863149066495829,0.0518200051106006,0.0776443506606861,0.08370004235462,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,5000,0.641787389890893,0.370649844136397,0.84116750226735,0.0587837166211017,0.0907340329449655,0.0755037596058723,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,5000,0.633461397226772,0.368792535796074,0.825969674371445,0.0613119935930015,0.103435754099425,0.0884629072569071,"DMS","MIROC-ESM","summer","gbm"
0.01,3,20,5000,0.655768386792638,0.384763499575062,0.845033451594652,0.0478575158779477,0.0734693406099022,0.0594754283874593,"DMS","MIROC-ESM","summer","gbm"
0.1,3,20,5000,0.653820839046766,0.375929005114831,0.844805134474496,0.0528204008615967,0.10490584751838,0.0852760565717358,"DMS","MIROC-ESM","summer","gbm"
0.5,3,20,5000,0.645563459519925,0.43155564339926,0.779452609965427,0.0438306458754643,0.140022356800005,0.114280790477919,"DMS","MIROC-ESM","summer","gbm"
0.01,5,20,5000,0.649520633692291,0.348395737105094,0.86454282654544,0.0466942749056776,0.091494139801519,0.0696544966261355,"DMS","MIROC-ESM","summer","gbm"
0.1,5,20,5000,0.652552059256129,0.405661437886835,0.823497841296684,0.0565812626426056,0.108665244543981,0.0691218172243492,"DMS","MIROC-ESM","summer","gbm"
0.5,5,20,5000,0.594856365406147,0.44558421531046,0.686142276110022,0.0946351935949005,0.213211055988611,0.256301342705625,"DMS","MIROC-ESM","summer","gbm"
0.01,1,20,6000,0.651097723931528,0.362921801275841,0.864941405521189,0.0528094184610139,0.0790329412994096,0.0811620313161456,"DMS","MIROC-ESM","summer","gbm"
0.1,1,20,6000,0.64139672408418,0.373346208119902,0.836131678498394,0.0592916000095584,0.0897132239903154,0.072987367250125,"DMS","MIROC-ESM","summer","gbm"
0.5,1,20,6000,0.635257092096678,0.379998054750429,0.812135897328902,0.0585413668483013,0.0771493088247598,0.0759671292202293,"DMS","MIROC-ESM","summer","gbm"
