"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.668013640320776,0.45565306665741,0.743540620877313,0.0893038860262925,0.180428330796694,0.0913605538405717,"DMS","NorESM1-M","winter","gbm"
0.1,1,20,1000,0.62879751705717,0.349692496683676,0.758736640436741,0.0934385786421893,0.189063737116904,0.176221173689655,"DMS","NorESM1-M","winter","gbm"
0.5,1,20,1000,0.658048559900045,0.437499647371393,0.686009378310023,0.0599532185346136,0.221421337554549,0.262591044087867,"DMS","NorESM1-M","winter","gbm"
0.01,3,20,1000,0.5954227238625,0.414616068552479,0.662385238653705,0.139638469285542,0.219001235221299,0.254854423978213,"DMS","NorESM1-M","winter","gbm"
0.1,3,20,1000,0.654804154159883,0.431162601132461,0.691150240996011,0.0874355999353002,0.211618079958008,0.259724928796931,"DMS","NorESM1-M","winter","gbm"
0.5,3,20,1000,0.639982913801531,0.453112915045679,0.690885307176726,0.094299005376921,0.226372969743498,0.2228080589757,"DMS","NorESM1-M","winter","gbm"
0.01,5,20,1000,0.675086780654755,0.465833393136954,0.668662215821353,0.0772751806658028,0.262969096139205,0.289892655025849,"DMS","NorESM1-M","winter","gbm"
0.1,5,20,1000,0.61743896990758,0.311254814217212,0.786379884973684,0.0792977861302022,0.145061012334171,0.134481284645101,"DMS","NorESM1-M","winter","gbm"
0.5,5,20,1000,0.600846422951554,0.417194046200492,0.71269698518992,0.0837564731086703,0.216577841605375,0.136878198622075,"DMS","NorESM1-M","winter","gbm"
0.01,1,20,2000,0.669355931660201,0.48159665187523,0.735569781195601,0.0860436095321317,0.240849470000552,0.106527669495094,"DMS","NorESM1-M","winter","gbm"
0.1,1,20,2000,0.630609569484822,0.34439979446868,0.766890759161836,0.0887018967276243,0.17786307888045,0.161962267940679,"DMS","NorESM1-M","winter","gbm"
0.5,1,20,2000,0.668468382634525,0.398155694060207,0.755172152829282,0.0671834857149852,0.117134500530608,0.111580254775532,"DMS","NorESM1-M","winter","gbm"
0.01,3,20,2000,0.591728195988268,0.403795128327262,0.670182659273314,0.137937264478526,0.221126342482439,0.256596019703221,"DMS","NorESM1-M","winter","gbm"
0.1,3,20,2000,0.651356621979133,0.439068378073786,0.704311728472376,0.0855647445701919,0.209626039900115,0.244257982480291,"DMS","NorESM1-M","winter","gbm"
0.5,3,20,2000,0.607613230916452,0.471414581568418,0.678020892498469,0.103900858407057,0.281627766496125,0.219324808020144,"DMS","NorESM1-M","winter","gbm"
0.01,5,20,2000,0.673929642992155,0.463016738248374,0.667810973967327,0.0762013808150334,0.263258906503857,0.288325893795002,"DMS","NorESM1-M","winter","gbm"
0.1,5,20,2000,0.633561255076141,0.40353014004051,0.742049593765754,0.0773666978104286,0.21028367217014,0.135974909453546,"DMS","NorESM1-M","winter","gbm"
0.5,5,20,2000,0.586768515753229,0.477409497784566,0.667760645059171,0.0913162381684619,0.265426633904646,0.146939887861408,"DMS","NorESM1-M","winter","gbm"
0.01,1,20,3000,0.671301262761184,0.48182051499177,0.655484909246529,0.0824625324621477,0.260566301348073,0.284929090759671,"DMS","NorESM1-M","winter","gbm"
0.1,1,20,3000,0.630878469451343,0.348709449688228,0.763783256904532,0.0862177195314505,0.185919623197598,0.165259672134113,"DMS","NorESM1-M","winter","gbm"
0.5,1,20,3000,0.647794137029496,0.419368272693001,0.737237745659411,0.0662811963139633,0.125629647206388,0.11832621102284,"DMS","NorESM1-M","winter","gbm"
0.01,3,20,3000,0.588726860361948,0.400604647769596,0.670449488734503,0.139030643817377,0.222460995439013,0.257191852590023,"DMS","NorESM1-M","winter","gbm"
0.1,3,20,3000,0.64797892056656,0.439025568335213,0.685479194453874,0.0875587774691944,0.208658138030581,0.252870524087947,"DMS","NorESM1-M","winter","gbm"
0.5,3,20,3000,0.599668151511043,0.453074169442458,0.684461454177637,0.111925784307519,0.310616791473214,0.228860169588211,"DMS","NorESM1-M","winter","gbm"
0.01,5,20,3000,0.671315977284216,0.458818957044494,0.700039669416751,0.0759687255464405,0.266663802482898,0.257762750474853,"DMS","NorESM1-M","winter","gbm"
0.1,5,20,3000,0.633356284467385,0.402609877886139,0.744277521765893,0.080380126784594,0.210237207387844,0.132598687904068,"DMS","NorESM1-M","winter","gbm"
0.5,5,20,3000,0.581939462961302,0.48095355372819,0.62343438014053,0.0837200167674941,0.28772880135865,0.251976068590401,"DMS","NorESM1-M","winter","gbm"
0.01,1,20,4000,0.671755694637078,0.471193574067674,0.706237475338876,0.0799123796794392,0.249321811522334,0.187921578721302,"DMS","NorESM1-M","winter","gbm"
0.1,1,20,4000,0.633016297140095,0.333357062350449,0.772993346224888,0.0857617123648428,0.155422680509244,0.1352386578125,"DMS","NorESM1-M","winter","gbm"
0.5,1,20,4000,0.650688139901276,0.441862002734048,0.69655008961855,0.0648010847206143,0.189665506640707,0.195362318853316,"DMS","NorESM1-M","winter","gbm"
0.01,3,20,4000,0.593450625890174,0.400604382459027,0.693204005030916,0.122450504956546,0.223187721672905,0.244961087452785,"DMS","NorESM1-M","winter","gbm"
0.1,3,20,4000,0.64711952723908,0.439399024942298,0.682152717610814,0.0871944727200487,0.211746437147313,0.257845700500418,"DMS","NorESM1-M","winter","gbm"
0.5,3,20,4000,0.575797252947181,0.418321402940444,0.651710328827503,0.100859955470993,0.333133793817902,0.297702917796015,"DMS","NorESM1-M","winter","gbm"
0.01,5,20,4000,0.669965431312387,0.449786151597826,0.71140929616632,0.0770867409220441,0.266748499639656,0.259623673772915,"DMS","NorESM1-M","winter","gbm"
0.1,5,20,4000,0.62867663254164,0.401211058905754,0.742358496011997,0.083395917859482,0.20728786842973,0.133822801488516,"DMS","NorESM1-M","winter","gbm"
0.5,5,20,4000,0.580685520384551,0.486236203989526,0.646749965853305,0.0813019156238431,0.276845125512982,0.169994647301668,"DMS","NorESM1-M","winter","gbm"
