"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,2000,0.673635565912135,0.608156222768694,0.756819756489188,0.158309305877781,0.26832773077241,0.0678897266592287,"IYA","BCC-CSM1.1","summer","gbm"
0.1,1,20,2000,0.663745483141058,0.597736876716932,0.75210477945776,0.147211427050464,0.150681896045437,0.0267941331614415,"IYA","BCC-CSM1.1","summer","gbm"
0.5,1,20,2000,0.634909789188125,0.599548084107539,0.716605171506703,0.152934072478724,0.288718399289397,0.133836179827411,"IYA","BCC-CSM1.1","summer","gbm"
0.01,3,20,2000,0.659195405298667,0.522040222393669,0.781036306609414,0.145798949062948,0.227343880645899,0.0319175365133379,"IYA","BCC-CSM1.1","summer","gbm"
0.1,3,20,2000,0.660596570195173,0.546730128876052,0.786969317136022,0.144312058503851,0.149027584694215,0.0520857585220078,"IYA","BCC-CSM1.1","summer","gbm"
0.5,3,20,2000,0.580492021753192,0.523939095491734,0.652482491704467,0.109100475800581,0.228003109443262,0.245528977843235,"IYA","BCC-CSM1.1","summer","gbm"
0.01,5,20,2000,0.659772465260202,0.507532127330158,0.798408148398419,0.145673869213853,0.193420711133438,0.0451974871386498,"IYA","BCC-CSM1.1","summer","gbm"
0.1,5,20,2000,0.639030708885319,0.522866506173752,0.74927678806958,0.138016754764647,0.218839413262853,0.0437497549345458,"IYA","BCC-CSM1.1","summer","gbm"
0.5,5,20,2000,0.593637820839309,0.505358040652158,0.657355758341461,0.160153369705316,0.309775365317385,0.354939456827551,"IYA","BCC-CSM1.1","summer","gbm"
0.01,1,20,4000,0.672110992655429,0.617971507019727,0.764231227204248,0.157110509565445,0.254988592898156,0.065559565010172,"IYA","BCC-CSM1.1","summer","gbm"
0.1,1,20,4000,0.659486451316773,0.569236902213423,0.759130122947919,0.142474922350866,0.128772419069765,0.0302314113465926,"IYA","BCC-CSM1.1","summer","gbm"
