"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,2000,0.623728930601293,0.517108421678549,0.753551626479635,0.154798638094502,0.16801147148875,0.0425854822672675,"IYA","EC-EARTH","summer","gbm"
0.1,1,20,2000,0.63289240444473,0.539378871896927,0.750785146374301,0.143056640055566,0.184507396909827,0.0554081419187188,"IYA","EC-EARTH","summer","gbm"
0.5,1,20,2000,0.621144044733781,0.474149974679818,0.777256266278893,0.141492370398443,0.257249293981705,0.0806102749260158,"IYA","EC-EARTH","summer","gbm"
0.01,3,20,2000,0.649684629605936,0.629126790146586,0.726104340294038,0.170029581827063,0.212814856611653,0.0494684253306627,"IYA","EC-EARTH","summer","gbm"
0.1,3,20,2000,0.646733643966747,0.585568950581136,0.738616528122573,0.143897469893302,0.20991036478768,0.0648551706535687,"IYA","EC-EARTH","summer","gbm"
0.5,3,20,2000,0.590768321896024,0.577106555249653,0.656139850480984,0.131758409350983,0.151843565591983,0.211037517203263,"IYA","EC-EARTH","summer","gbm"
0.01,5,20,2000,0.63268235729713,0.565448507839851,0.745478053365689,0.158068370979234,0.257907346509762,0.0493272092177334,"IYA","EC-EARTH","summer","gbm"
0.1,5,20,2000,0.642800436618149,0.616134293182437,0.698267110876405,0.145152040661844,0.205819647665693,0.0702127542563804,"IYA","EC-EARTH","summer","gbm"
0.5,5,20,2000,0.604196785434986,0.575698797912345,0.666894209100936,0.120772285863036,0.221182367248244,0.166614807684058,"IYA","EC-EARTH","summer","gbm"
0.01,1,20,4000,0.627549803811793,0.537398256576781,0.757152312753419,0.156485714529409,0.192142201117789,0.0515220320450151,"IYA","EC-EARTH","summer","gbm"
0.1,1,20,4000,0.63602943623608,0.489883308252477,0.775129904590773,0.139390819950306,0.182159735904358,0.0172426926789594,"IYA","EC-EARTH","summer","gbm"
0.5,1,20,4000,0.61551579120866,0.482770363099038,0.767690626289458,0.140486151380673,0.26017366236595,0.0853023693269815,"IYA","EC-EARTH","summer","gbm"
0.01,3,20,4000,0.653898635272957,0.638660657058707,0.730476770362261,0.164026774082048,0.216309700855773,0.0423568092099893,"IYA","EC-EARTH","summer","gbm"
0.1,3,20,4000,0.643455182489354,0.60636852058624,0.721990649257244,0.143215656508421,0.241861836068886,0.0861997118688258,"IYA","EC-EARTH","summer","gbm"
0.5,3,20,4000,0.554976102946084,0.428877144696568,0.705168662902643,0.112531024867894,0.230388699349117,0.243695686391495,"IYA","EC-EARTH","summer","gbm"
0.01,5,20,4000,0.644336684096319,0.576919567577153,0.749964193619036,0.1492145955375,0.236517298971997,0.0653829441996921,"IYA","EC-EARTH","summer","gbm"
0.1,5,20,4000,0.641673063728512,0.612890215968652,0.694999668078867,0.144062034961721,0.206876462915803,0.037423369419642,"IYA","EC-EARTH","summer","gbm"
0.5,5,20,4000,0.609993284970687,0.66448650712155,0.602504638858146,0.121088901566091,0.167163818560402,0.21654177865287,"IYA","EC-EARTH","summer","gbm"
0.01,1,20,6000,0.62685859952856,0.535713492466189,0.767650841324912,0.157012522858562,0.191990978018157,0.0388909692388237,"IYA","EC-EARTH","summer","gbm"
0.1,1,20,6000,0.633875213370758,0.521822879406174,0.751727673683246,0.139321457581481,0.179004174948315,0.052753732107542,"IYA","EC-EARTH","summer","gbm"
0.5,1,20,6000,0.616331320222971,0.46256761428391,0.770359394592714,0.140252231313252,0.264200540111146,0.0840615475889109,"IYA","EC-EARTH","summer","gbm"
0.01,3,20,6000,0.653889262523075,0.637646513685415,0.729961052697261,0.162752594319747,0.210035409444818,0.0424962044160231,"IYA","EC-EARTH","summer","gbm"
0.1,3,20,6000,0.639714193609506,0.570962000800437,0.741352176764529,0.141806643210405,0.214945373313402,0.0654857983595001,"IYA","EC-EARTH","summer","gbm"
0.5,3,20,6000,0.552796527642632,0.403076528542814,0.706665634318003,0.107939427432952,0.236518323301128,0.244665116037948,"IYA","EC-EARTH","summer","gbm"
0.01,5,20,6000,0.647902331773911,0.579785496047191,0.747932630691661,0.14735872575515,0.231257268114785,0.0669579189167167,"IYA","EC-EARTH","summer","gbm"
0.1,5,20,6000,0.640266053759807,0.600731917630173,0.707777918889618,0.144045710503402,0.211927023923021,0.069387596463874,"IYA","EC-EARTH","summer","gbm"
0.5,5,20,6000,0.606052348276911,0.671675188404626,0.582892856240351,0.114658906279718,0.156182085992676,0.192287723270381,"IYA","EC-EARTH","summer","gbm"
0.01,1,20,8000,0.628624034264365,0.535569727131931,0.768523842456338,0.159175151536729,0.19481779839111,0.036994000299071,"IYA","EC-EARTH","summer","gbm"
0.1,1,20,8000,0.628593737217512,0.523149248274496,0.752998016626607,0.140707247282406,0.182235548762501,0.0560215424759699,"IYA","EC-EARTH","summer","gbm"
0.5,1,20,8000,0.616922095966773,0.479765971752294,0.771231992156952,0.1401614976177,0.255573085164675,0.0924243160238753,"IYA","EC-EARTH","summer","gbm"
0.01,3,20,8000,0.655179260409172,0.636839685361638,0.730198917289775,0.16059341098876,0.205097902919775,0.0413435237412823,"IYA","EC-EARTH","summer","gbm"
0.1,3,20,8000,0.645904812825104,0.583035605422216,0.741869268850429,0.139318333217597,0.196624982933663,0.0705581133455314,"IYA","EC-EARTH","summer","gbm"
0.5,3,20,8000,0.55114099293681,0.418380603709187,0.693421449379116,0.106367251753752,0.241646261080791,0.23635967523432,"IYA","EC-EARTH","summer","gbm"
0.01,5,20,8000,0.6503493697634,0.585004987310103,0.74938020552318,0.14664770863703,0.223111331718218,0.065892689203935,"IYA","EC-EARTH","summer","gbm"
