"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,2000,0.644985813086393,0.556159605218713,0.7774728003502,0.158675264424474,0.214528655187212,0.0281088926631217,"IYA","NorESM1-M","summer","gbm"
0.1,1,20,2000,0.62519867708237,0.536769498184985,0.744354722763787,0.137583340640952,0.225694934535603,0.0554101711758399,"IYA","NorESM1-M","summer","gbm"
0.5,1,20,2000,0.587217174937071,0.426594232170096,0.761171167597426,0.140337450184191,0.314018510497097,0.111345166269012,"IYA","NorESM1-M","summer","gbm"
0.01,3,20,2000,0.637452144262223,0.561816901340178,0.765117237121478,0.158617184291126,0.269867611549384,0.0560122117154191,"IYA","NorESM1-M","summer","gbm"
0.1,3,20,2000,0.63157247604067,0.53428369789373,0.779776997137794,0.140437456208432,0.232166813445242,0.0725598765184494,"IYA","NorESM1-M","summer","gbm"
0.5,3,20,2000,0.594484648365391,0.446392099361739,0.796498575409625,0.180882829393903,0.340912519740014,0.128716079689855,"IYA","NorESM1-M","summer","gbm"
0.01,5,20,2000,0.640976534727195,0.511182182257239,0.792297778578614,0.165651957571012,0.298246756143726,0.0801000113182893,"IYA","NorESM1-M","summer","gbm"
0.1,5,20,2000,0.64480448855407,0.530388169751836,0.772646193058666,0.140791327123049,0.16361129534169,0.0335588944862737,"IYA","NorESM1-M","summer","gbm"
0.5,5,20,2000,0.590333762003111,0.49100693489405,0.74045203235484,0.12598398092049,0.172652995319083,0.0702861821235388,"IYA","NorESM1-M","summer","gbm"
0.01,1,20,4000,0.646666879371352,0.519375243677337,0.79655618754545,0.155796102462164,0.195972217959848,0.031272152810293,"IYA","NorESM1-M","summer","gbm"
0.1,1,20,4000,0.629024664192347,0.548947656482405,0.732646057494027,0.136184224696313,0.223676396504481,0.056305542586622,"IYA","NorESM1-M","summer","gbm"
0.5,1,20,4000,0.584259060036329,0.411096749150181,0.773352254551909,0.137283123020776,0.297013688633818,0.0968151826331946,"IYA","NorESM1-M","summer","gbm"
0.01,3,20,4000,0.63556574960858,0.527265516946441,0.783438881543354,0.157592821482573,0.227866094463951,0.0380300169312838,"IYA","NorESM1-M","summer","gbm"
