"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.876031534631752,0.728050904816237,0.837815052773124,0.0290443569450817,0.106924802332669,0.0771525153345742,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,1000,0.850986357974494,0.694003292864323,0.831103243898792,0.0726419394442504,0.141247927496866,0.0733123186116516,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,1000,0.796618402587654,0.63111880762372,0.82516258690919,0.121290999330798,0.231231783202364,0.0592087988636342,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,1000,0.863028349015431,0.687768214026471,0.845273524317658,0.0461566528353562,0.126339670627906,0.0841958072918338,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,1000,0.835998102676965,0.661476202849824,0.831233629658155,0.0905585482502291,0.161202660126167,0.0734916524886434,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,1000,0.620622103567924,0.6284077106204,0.572374288653672,0.190500995586056,0.323257248115877,0.346628285033395,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,1000,0.864453557506553,0.734028965510514,0.829997093917103,0.063244782607693,0.11419927072501,0.0892653702397239,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,1000,0.862430546340158,0.69660040186531,0.84406115793209,0.0404144937810287,0.107077767397208,0.0821431291982347,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,1000,0.698706258822719,0.644974230044189,0.649649658551414,0.13897489829792,0.195793278921684,0.270611436069433,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,2000,0.874770413296487,0.727886563355365,0.841429597545488,0.0328925587219962,0.0969353045810939,0.0689034653149992,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,2000,0.844879001786234,0.693357567261204,0.823542908493743,0.0853578574475708,0.152989788811371,0.0767320075791836,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,2000,0.675162304613276,0.589334430044475,0.72362393228501,0.1409425258233,0.314754370990264,0.275355078376892,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,2000,0.852171968323574,0.66659144692869,0.847672939027918,0.0589939273956733,0.163926387317699,0.0807261158273281,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,2000,0.824916853483223,0.652489144142657,0.825926155757418,0.10423607793245,0.176161808565264,0.0772576621091136,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,2000,0.618364161896162,0.618270866343868,0.576801818282858,0.187599076435052,0.319371496946347,0.351280191820921,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,2000,0.858571547730871,0.700775767208439,0.831451266041599,0.0705342416784154,0.157511022755086,0.0853166100882256,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,2000,0.855924238655314,0.692647452506986,0.846500926188786,0.0347904845196462,0.108194917871122,0.0776432915342226,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,2000,0.664383534351322,0.630437541671802,0.647468612868693,0.121826946503442,0.188727145085194,0.27972920440019,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,3000,0.871960907325458,0.724752269079776,0.842384839033523,0.035673967824423,0.0972797914163206,0.0626264632388247,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,3000,0.841299885222594,0.688918802334485,0.824608076248905,0.0901582892213176,0.153922921854052,0.0780728675058028,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,3000,0.659911366893913,0.62859260031813,0.664660234670705,0.14822629771673,0.318882838220007,0.323248340633234,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,3000,0.846191768449136,0.657540294551959,0.848148536167769,0.0658582420801173,0.172999923511228,0.0809940719945222,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,3000,0.818027182141348,0.638895789397903,0.826450117060775,0.114794668558367,0.182725091529561,0.0785312521809158,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,3000,0.560532009145343,0.546463989932542,0.543276965246817,0.201505775995636,0.352453543272686,0.346685820880576,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,3000,0.855808051035677,0.690816571221646,0.834852558605287,0.0714455183924281,0.165425541963375,0.082654264721332,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,3000,0.851267829660251,0.686315889867534,0.847702693619843,0.0351396880933106,0.106854435967855,0.0751077950612765,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,3000,0.670323738970657,0.625815030945334,0.650108292175541,0.12760454287052,0.190995780393148,0.282051123417927,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,4000,0.86891337354667,0.720230057462607,0.846000711519409,0.0398799261084119,0.0945524933078976,0.0566019543650052,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,4000,0.839655481219631,0.689339352085044,0.828086876640195,0.0900169872407811,0.159856076033014,0.0660638316807009,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,4000,0.656369279438884,0.624965494186464,0.66501298086048,0.143419057693957,0.317373773004218,0.324478094275176,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,4000,0.844171886782329,0.657288223506663,0.849307560235958,0.0665304270715557,0.172633662729746,0.081890928009741,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,4000,0.812119731472169,0.638226839340779,0.828167094848772,0.118374419032768,0.191609707090138,0.0806872728227097,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,4000,0.559237717116006,0.543246168150364,0.544029581461877,0.199369843369734,0.35195888658941,0.347503935032589,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,4000,0.853307183988222,0.686539581512469,0.834315936727815,0.0708781085918616,0.171001051063793,0.0812173892178421,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,4000,0.847352619962629,0.681042970168453,0.844734141239925,0.0360713852880377,0.108450300189599,0.0785333873118961,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,4000,0.671090589643511,0.624167581128327,0.649843844686311,0.128373281453545,0.192134723772355,0.281718179575003,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,5000,0.86351486252904,0.686318139934918,0.846822777272656,0.0485140392850435,0.132716171908781,0.052587417068992,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,5000,0.835177507835311,0.691154259973126,0.821685309999577,0.0963644888337407,0.160097499491968,0.0736577614790377,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,5000,0.657259765553617,0.62249296074891,0.664181640751891,0.144345504707768,0.316413854225319,0.324557483226405,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,5000,0.841933946020793,0.653500505079307,0.84824505712274,0.0677234820517503,0.175680676130831,0.0832874506205845,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,5000,0.806639528969912,0.633290046309083,0.831645856517853,0.12537074206032,0.186208952498699,0.0836331932664135,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,5000,0.557953227950556,0.541926036137163,0.543998280372335,0.197304369852273,0.351819989541107,0.347449581172004,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,5000,0.850732207473622,0.682833286827189,0.835594182107353,0.0727371174923828,0.174049942790645,0.0804258435285605,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,5000,0.842743014775095,0.675192884760913,0.847981565000065,0.0394147648210328,0.111218619893298,0.0749942590973028,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,5000,0.66982514469976,0.621198503751433,0.649427484610578,0.126622352372165,0.193996716721772,0.281398382461074,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,6000,0.860478330430776,0.687716236821917,0.845935824240631,0.051031763505666,0.130932961459374,0.0524791091261533,"IYA","NorESM1-M","winter","gbm"
0.1,1,20,6000,0.834347157922216,0.689186623380039,0.822462706406342,0.103895555912785,0.173680474502494,0.0704420431228227,"IYA","NorESM1-M","winter","gbm"
0.5,1,20,6000,0.65586529501624,0.623065361739009,0.663619646779835,0.142490609569002,0.317231298477727,0.324548011596935,"IYA","NorESM1-M","winter","gbm"
0.01,3,20,6000,0.840772630277091,0.653168901042952,0.847433285635828,0.068698174946689,0.176628444293275,0.0837711124631994,"IYA","NorESM1-M","winter","gbm"
0.1,3,20,6000,0.800980436206984,0.612470007977571,0.834421139256321,0.131948975173391,0.186334937173429,0.0845400888995167,"IYA","NorESM1-M","winter","gbm"
0.5,3,20,6000,0.556206509207052,0.540358379371486,0.543912633440096,0.194523287524594,0.35171675938696,0.347334524748875,"IYA","NorESM1-M","winter","gbm"
0.01,5,20,6000,0.849724413407135,0.684970825966107,0.83428304313956,0.0702339554956003,0.172490362626268,0.0797443860116367,"IYA","NorESM1-M","winter","gbm"
0.1,5,20,6000,0.83838889289419,0.664555001622974,0.849685549758237,0.0407134252127488,0.113342852754865,0.0759876253088261,"IYA","NorESM1-M","winter","gbm"
0.5,5,20,6000,0.668286411532738,0.619297955789184,0.649658250249955,0.124662975476137,0.195229129359282,0.281515832152712,"IYA","NorESM1-M","winter","gbm"
0.01,1,20,7000,0.858671768872795,0.68615895994734,0.846163681571907,0.0531673714944184,0.131358470584111,0.0506977175968399,"IYA","NorESM1-M","winter","gbm"
