"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.703004086564912,0.448688340560446,0.851807157498505,0.0994873321540271,0.106778022766103,0.0743915487576381,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.706880550046714,0.369288338310068,0.888097457452199,0.0930540755707617,0.14815272566251,0.0431607507513899,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.693155796652411,0.360332080114432,0.882558949362659,0.092159732269145,0.110101417829481,0.0501129851472203,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.702571663466041,0.37314067743347,0.889906387611074,0.0986506344625749,0.139730757548274,0.0536650107476029,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.693399349351985,0.317160600595225,0.900839517404668,0.0975916901112288,0.149795094176903,0.0573349749471823,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.691432857920148,0.315716099012778,0.899781911022524,0.0998758364921894,0.143182705845906,0.0406587843825167,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.700228734540184,0.335655563338076,0.909440054259615,0.101064055503327,0.163717334020377,0.0393157851677741,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.697350561717924,0.319407410766727,0.896420551932547,0.100387417174015,0.139987052356142,0.0502552304702892,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.677932118429082,0.316151851321766,0.883257355692021,0.105876521781804,0.131520658473443,0.0566925451802928,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.703982749609038,0.407949179005543,0.869456559728075,0.0934389299582293,0.108833987556367,0.054999920197422,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.706008979811436,0.362493006025285,0.891728380590999,0.0924936638379369,0.149449574120655,0.0457376867718931,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.684456932237922,0.342376199007477,0.878227404333471,0.0908755261285973,0.100481726825712,0.0599673039287137,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.699589041660669,0.346020512031991,0.898169616299902,0.0998907152769204,0.154171733845217,0.0558829133040784,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.693222185478423,0.315479584795424,0.903944668123828,0.0960834441736869,0.151021086575563,0.0527769794975942,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.682516158787385,0.31504809868038,0.891744577015832,0.0993951623346906,0.131152116458408,0.0454139641111656,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.697861154713549,0.315694706482795,0.9108864480078,0.100839746025888,0.165879113033226,0.0427785035672848,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,2000,0.696422916734818,0.32003007421645,0.895490595535841,0.0979484413578291,0.127983731624495,0.0496105498953215,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,2000,0.679558072368326,0.316235058741631,0.884673531543818,0.104406528738676,0.125631626984475,0.0549437350355903,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,3000,0.703778307177564,0.404522886155772,0.86141093141484,0.0911278808623197,0.110395956715376,0.0512728429217545,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,3000,0.701754505358686,0.352271948662049,0.895216609854695,0.0911495575071527,0.144661171208504,0.0455647939267377,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,3000,0.69263271719521,0.341817467534158,0.879848759371303,0.0941201249895632,0.101458797948975,0.0570498360123948,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,3000,0.698873980689528,0.338819985948521,0.898409651589207,0.0998778561889579,0.153455082202913,0.0565036565270431,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,3000,0.69268024685783,0.313267760148137,0.903655265860906,0.0938261414121655,0.144833975385191,0.057668244210045,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,3000,0.683953949270353,0.317166399000745,0.887945059742225,0.101152336589164,0.128050512727762,0.0418908941384794,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,3000,0.698056523010264,0.309374528508777,0.908901539046178,0.0997316123915619,0.162811458219265,0.043089338501821,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,3000,0.694583963732387,0.320336161151764,0.892134772945639,0.0983614096828804,0.130467603219438,0.0522523448154993,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,3000,0.658900332432748,0.287315683968949,0.883669347223824,0.104837634776346,0.116147207273827,0.0547734844618513,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,4000,0.703992767934785,0.396387832176503,0.867747371261915,0.0898897663696089,0.111474389961143,0.0466965442484837,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,4000,0.700594674637622,0.359267927918583,0.88501993727945,0.0918705493886714,0.143788813134681,0.0431390808464047,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,4000,0.694659878526432,0.344990368572884,0.87425505100875,0.0931656326709826,0.111217876126704,0.0553277899652515,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,4000,0.699892111791783,0.334476616043438,0.899517744598258,0.0990157155367508,0.151470676770964,0.0554101356641451,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,4000,0.695225600316886,0.321875733674118,0.898865912517092,0.0932701680939164,0.150158604501936,0.0638253297595706,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,4000,0.682789423315631,0.316874289304281,0.886800339380416,0.0983228646746148,0.11412021535152,0.0454155506369247,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,4000,0.697562946475393,0.30536096789064,0.909277495549643,0.100283545467551,0.16148163533616,0.0428738191227556,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,4000,0.693437869892579,0.310170986319058,0.898307903475632,0.0989120901229148,0.128894226824725,0.0465531199368187,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,4000,0.632994396890256,0.300478308590562,0.84228061092207,0.0984790795554199,0.144325967700236,0.150134401657921,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,5000,0.703901449004636,0.391294204320517,0.870019108355565,0.0896179863056512,0.113912334789689,0.0460832909849088,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,5000,0.700940892857226,0.351369058017688,0.891498828545218,0.0926531950587519,0.140094872779065,0.045646527076537,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,5000,0.694847187925061,0.354063547628789,0.872216924491678,0.0891496563404988,0.0901992538883061,0.0673218977814018,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,5000,0.699386829808824,0.333376161913281,0.89876536211918,0.0996483430384022,0.150113790777712,0.0563194328290108,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,5000,0.694610379365832,0.323516702316452,0.897840949464869,0.0948951302914882,0.148971362133927,0.0642356317260262,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,5000,0.682914487295372,0.317548329260177,0.887403203131845,0.0934856308762843,0.122511915488763,0.0485675440513027,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,5000,0.697689608796557,0.303860366571164,0.909978294050514,0.101055857439769,0.161154681941951,0.0429916876750377,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,5000,0.693333452138809,0.320769667694593,0.891635720376123,0.096293913882932,0.126624435881903,0.052886726608713,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,5000,0.633726279522219,0.293290263439909,0.845834932857601,0.100606494999256,0.132980718201308,0.159326315173499,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,6000,0.704421200690425,0.387696026663482,0.872817352868572,0.0898139750961123,0.115101937214796,0.0456561297974499,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,6000,0.698594226847973,0.354080431667988,0.886169995333452,0.09354793153297,0.136911464409756,0.044457185804196,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,6000,0.694672965850321,0.354687386489737,0.870174526093465,0.0899795930911983,0.107968284392103,0.0798966245078346,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,6000,0.699668449583608,0.332154433473556,0.899166028883754,0.0986988712117966,0.148514461032583,0.056472310306834,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,6000,0.69179459045938,0.315449902201611,0.90238488429879,0.0955669739384571,0.141535208284511,0.0587991395627906,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,6000,0.681385177024224,0.305074831223425,0.893993661576163,0.0943319813904224,0.103532632914639,0.0388846768016879,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,6000,0.696496139313169,0.301302897804738,0.909438208713274,0.101688292106569,0.156201238476623,0.0428195828521864,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,6000,0.691813479588747,0.317268820207507,0.893082775935379,0.0961112734668152,0.120962490672357,0.0493886961196581,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,6000,0.634320872853585,0.296889246843168,0.844725041298546,0.0995399323410904,0.131278741980683,0.159185962457813,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,7000,0.704017722801407,0.38528144814944,0.87297374610457,0.0894836997407964,0.113977413563014,0.0453105504260357,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,7000,0.69991401698683,0.353499833437669,0.88499751634128,0.0916385247605554,0.136821778860896,0.0480508635464268,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,7000,0.691609787797027,0.348220789310222,0.870495859021576,0.0901920802850299,0.100914729264545,0.0663324078329863,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,7000,0.699904418385108,0.329174052354418,0.90045624550314,0.0981015074950986,0.146845383557122,0.0548021459777519,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,7000,0.693877000472611,0.320236140169349,0.896882480348244,0.093584568072571,0.140018438524596,0.0580164872038937,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,7000,0.680627370437726,0.300314733089243,0.897290683257332,0.0951262103013779,0.110631851615795,0.0386439247467725,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,7000,0.695798717520091,0.301074195556134,0.909297074096327,0.102133190057173,0.156385717784963,0.0432267442069438,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,7000,0.6931090286369,0.322724958052834,0.889108696273348,0.0944549099174745,0.122077058618814,0.0568869924076579,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,7000,0.627145082662164,0.299839586065557,0.837120729191959,0.10205493939417,0.133696821365487,0.158072886888661,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,8000,0.703540880336092,0.385334235384471,0.872719255871728,0.0895821341004159,0.116231998025399,0.0449822563731845,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,8000,0.698310504154856,0.351810869329355,0.885104190558103,0.0927728568667204,0.13739757170411,0.0459351455263678,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,8000,0.692900160452126,0.351259255993825,0.867092563261187,0.0887354149488157,0.0946703675309615,0.068696112343914,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,8000,0.69942967665384,0.326867025652659,0.899776212936468,0.098289712083258,0.149002186857828,0.0548048603678719,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,8000,0.691630956618173,0.32582667522681,0.891187384231684,0.0935550549403967,0.146175004844548,0.0663265089533666,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,8000,0.680199074160246,0.299900210644564,0.897160078548457,0.0943450978900707,0.110216501238748,0.0351517396198695,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,8000,0.695498818791688,0.298384734906784,0.911321543902563,0.102306489410373,0.157882933184832,0.0418942746570239,"KIN","ACCESS1-0","winter","gbm"
0.1,5,20,8000,0.692205748814821,0.321598051755723,0.888099375727964,0.0943934779925427,0.115291415696686,0.048983653558204,"KIN","ACCESS1-0","winter","gbm"
0.5,5,20,8000,0.627173558370109,0.295277124893865,0.841317943837912,0.0984779879510868,0.130628378046306,0.158517526528349,"KIN","ACCESS1-0","winter","gbm"
0.01,1,20,9000,0.703640969928909,0.380976672873541,0.874406215985176,0.0897053277529219,0.116595756142194,0.0432679402526007,"KIN","ACCESS1-0","winter","gbm"
0.1,1,20,9000,0.697008363889961,0.346088280359297,0.887787993971545,0.0930013460861365,0.135356271414287,0.0459509503810348,"KIN","ACCESS1-0","winter","gbm"
0.5,1,20,9000,0.694464594373644,0.357589573853055,0.866119311982425,0.0881452063941448,0.105677244431572,0.0707178846277322,"KIN","ACCESS1-0","winter","gbm"
0.01,3,20,9000,0.699059188266513,0.325376871998321,0.899961124372417,0.098323775908019,0.147310086467664,0.0543918306513908,"KIN","ACCESS1-0","winter","gbm"
0.1,3,20,9000,0.690986184079006,0.323259627450891,0.891830243278277,0.094299612862264,0.143978023692824,0.0659382040164837,"KIN","ACCESS1-0","winter","gbm"
0.5,3,20,9000,0.681039687313325,0.300925406099108,0.892051514520404,0.0930982144874401,0.115368394254389,0.0339645978792841,"KIN","ACCESS1-0","winter","gbm"
0.01,5,20,9000,0.694706876739024,0.296955162106855,0.911196535365285,0.103459743091353,0.1560882079609,0.0415980505865266,"KIN","ACCESS1-0","winter","gbm"
