"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.696170896627578,0.500920431708556,0.779819708203961,0.19519244798073,0.32141206807527,0.119097186331343,"LMS","CMCC-CM","summer","gbm"
0.1,1,20,1000,0.663367943832027,0.478809143971544,0.800849802497257,0.207901842584646,0.307142856015154,0.0656794650597263,"LMS","CMCC-CM","summer","gbm"
0.5,1,20,1000,0.699846128629134,0.613268682701635,0.753979564804487,0.176839711432468,0.254823556198432,0.108485211424119,"LMS","CMCC-CM","summer","gbm"
0.01,3,20,1000,0.694285534973607,0.51079211754299,0.788616258818574,0.214637790566796,0.286192066929752,0.0757336885268447,"LMS","CMCC-CM","summer","gbm"
0.1,3,20,1000,0.626751614651941,0.476495630640614,0.798784833881988,0.235376304147759,0.310949030728291,0.0632929983500697,"LMS","CMCC-CM","summer","gbm"
0.5,3,20,1000,0.589904427649298,0.470802305254369,0.640530663892141,0.176191225612481,0.317166066820424,0.271933991237532,"LMS","CMCC-CM","summer","gbm"
0.01,5,20,1000,0.709666305382257,0.53453115974436,0.772014608668225,0.180522981139873,0.26948351453469,0.123342270635135,"LMS","CMCC-CM","summer","gbm"
0.1,5,20,1000,0.662876864779704,0.485979020267585,0.795755105624251,0.201612893209286,0.270190198995499,0.0619881874343772,"LMS","CMCC-CM","summer","gbm"
0.5,5,20,1000,0.610891485899128,0.473938087441809,0.735157166330318,0.168817607726371,0.254941436245392,0.132418881863168,"LMS","CMCC-CM","summer","gbm"
0.01,1,20,2000,0.694462241772093,0.502076489030946,0.783207535241708,0.198313195352908,0.309935264571554,0.0935214463944526,"LMS","CMCC-CM","summer","gbm"
0.1,1,20,2000,0.671296103756359,0.478011893453208,0.800034060370977,0.192301877918979,0.296873117692401,0.070386411903117,"LMS","CMCC-CM","summer","gbm"
0.5,1,20,2000,0.693149251024894,0.607572581245719,0.765541348407208,0.176180278688967,0.245573524914968,0.0952753407698782,"LMS","CMCC-CM","summer","gbm"
0.01,3,20,2000,0.689936757927047,0.516986905744103,0.799271593696997,0.213074334893622,0.271274275331239,0.0632729879215002,"LMS","CMCC-CM","summer","gbm"
0.1,3,20,2000,0.62059678243983,0.473076664511025,0.796868803757451,0.236860170918949,0.310669908264502,0.0637659914049982,"LMS","CMCC-CM","summer","gbm"
0.5,3,20,2000,0.550674294522587,0.421564042788644,0.630860356037167,0.169753984792441,0.3225822890292,0.269717679229241,"LMS","CMCC-CM","summer","gbm"
0.01,5,20,2000,0.697066442792295,0.525627509632168,0.786022539539214,0.190935053091443,0.268418790493863,0.0884035608719733,"LMS","CMCC-CM","summer","gbm"
0.1,5,20,2000,0.67582409914901,0.492520727267474,0.788609614254656,0.180610246763729,0.259587107547646,0.0658698287620082,"LMS","CMCC-CM","summer","gbm"
0.5,5,20,2000,0.56998998940892,0.387267660526694,0.723354805565527,0.165213741584586,0.232536119289708,0.138934930913667,"LMS","CMCC-CM","summer","gbm"
0.01,1,20,3000,0.685641597634729,0.495644283266799,0.786229903686693,0.209071670837597,0.298511824206366,0.087081372339852,"LMS","CMCC-CM","summer","gbm"
0.1,1,20,3000,0.669998251554113,0.48225661193496,0.792386707903933,0.191294573612514,0.289928378126073,0.0658271223978399,"LMS","CMCC-CM","summer","gbm"
0.5,1,20,3000,0.688265779930348,0.605905452968078,0.742052609524905,0.151721727267623,0.237015757597486,0.113641424845838,"LMS","CMCC-CM","summer","gbm"
0.01,3,20,3000,0.686248977766529,0.515083636280169,0.801633253662237,0.212857511814558,0.272616736783993,0.0598823153954725,"LMS","CMCC-CM","summer","gbm"
