"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.613919583661261,0.417965757198395,0.800316787018409,0.218290662731573,0.32376317324889,0.0975674839354749,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,1000,0.609564987211815,0.421323082501151,0.782968065920548,0.218959797493999,0.298643882735865,0.0828791182378366,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,1000,0.603757813732274,0.415804583174022,0.808376632028975,0.2061270470862,0.305609055849666,0.051213796326512,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,1000,0.620769650896738,0.423881733663548,0.792236787712217,0.211309325669709,0.313948336314786,0.0914152568073698,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,1000,0.609314356039461,0.396930961641634,0.824933996211649,0.213034329635463,0.332725986850691,0.06812129422882,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,1000,0.597919377871569,0.403315603742209,0.789474539270137,0.205396081553406,0.295119331424786,0.0588130046333314,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,1000,0.613348963858832,0.424059494675259,0.801515726195995,0.228479755860513,0.325105649128616,0.0767556193337907,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,1000,0.625911592557177,0.408433595402316,0.807470045452217,0.200118976407247,0.298245757586923,0.0681250230420282,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,1000,0.576968253986124,0.43167722462264,0.722267005248433,0.193951266055151,0.298234559583586,0.143671935732343,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,2000,0.608230958097149,0.419184519577032,0.804199083891894,0.223514436758951,0.326635212308917,0.0794490536021799,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,2000,0.611972017516103,0.419089756862233,0.785063838527853,0.214515531015981,0.294087357312709,0.0790423117042418,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,2000,0.600762118336519,0.395533153911742,0.821806547416187,0.205791848404643,0.32041141805182,0.0783926985470384,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,2000,0.620408639452887,0.414986640666019,0.796430598657837,0.208993764315134,0.307029613650659,0.0886514893365173,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,2000,0.619252696017298,0.390895382558474,0.82692813899953,0.204011185166214,0.335339392246534,0.0711692775291884,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,2000,0.589742221906487,0.426802897312461,0.71328806519683,0.17281932081091,0.324384379015718,0.23488359598988,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,2000,0.61455456964986,0.418210860061288,0.80694598787188,0.222858807396444,0.32464530375485,0.0742551795265143,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,2000,0.625307423740198,0.417854204712718,0.81108569232499,0.206379557030279,0.294529982720507,0.0684978608516283,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,2000,0.536915061741832,0.312477542520059,0.747969387524151,0.171125953031056,0.243855762557153,0.0953126332842906,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,3000,0.609815366985592,0.412989123405817,0.80975380459169,0.221977007151882,0.323475706929872,0.0774015998587591,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,3000,0.608227805328967,0.411716867108991,0.777649770193477,0.216005895708553,0.285676666193993,0.0897163386684278,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,3000,0.604105142944219,0.403687542159974,0.814052817398656,0.196898998729294,0.312413512379128,0.0851637101761648,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,3000,0.621804028992396,0.410743436197989,0.798004768227506,0.206082282124507,0.304665672648326,0.0829943776393305,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,3000,0.608692988004566,0.389915681332468,0.826447328498589,0.212487260817155,0.333789283561077,0.0696642755719084,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,3000,0.540545811665458,0.419175883579445,0.623061545659236,0.1820093828208,0.315887617933002,0.316692300416862,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,3000,0.618612768000918,0.416487581461048,0.808932475910019,0.216435584333645,0.322793772659292,0.0720843808394077,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,3000,0.628334804393952,0.413605929809638,0.809327517448434,0.198709477728753,0.296088116237037,0.0661913786532235,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,3000,0.531013083098547,0.313026252403965,0.747807891889321,0.172249637242279,0.232106264142288,0.0944578852660479,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,4000,0.608593787557612,0.409625992137595,0.81831861031262,0.222647918834206,0.320819096539662,0.0710403261525469,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,4000,0.605735404267724,0.40844420520946,0.776658275162502,0.217696612424854,0.286939232810209,0.0903302482821744,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,4000,0.606639641246574,0.397073365476508,0.81432881319031,0.191023256054574,0.306764913901284,0.0819256136855026,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,4000,0.624632346535054,0.409513489105178,0.802163609804711,0.202542696588471,0.302413881322383,0.0784641232915845,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,4000,0.605483111103902,0.386581465874733,0.827707381969068,0.214509025209761,0.332985497001738,0.0730675140828427,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,4000,0.552677225013359,0.413640439138933,0.624995811697138,0.168996695743755,0.315811959174793,0.318797614389434,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,4000,0.623185601852506,0.4151449618048,0.812780637480522,0.209890547445406,0.322509359703582,0.0725647839288521,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,4000,0.629612569837761,0.415718056615342,0.808660747654163,0.197453874870238,0.294520284164537,0.0630616274027407,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,4000,0.525426503234364,0.310005789101526,0.747230390095832,0.173764113511718,0.224954918301679,0.0936089516730956,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,5000,0.608493129864961,0.410676182029884,0.816312381417658,0.221102642711375,0.319891658707606,0.0691115857807389,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,5000,0.606174641815453,0.406410363892774,0.774937145366553,0.215773714916715,0.284216883671793,0.0867496813250292,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,5000,0.613167244546141,0.402143042152209,0.816092821818813,0.180694764928787,0.304265384606581,0.0843391222404275,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,5000,0.625654467583227,0.404319285233261,0.803100810685873,0.199877336602463,0.304111207991456,0.0766727702633736,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,5000,0.604724403972992,0.384191167176428,0.825973200255705,0.21402024112351,0.330819040114645,0.0719592426697624,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,5000,0.537881856848696,0.41275234337265,0.626251510397139,0.182646064721529,0.313204891948727,0.319401282006588,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,5000,0.625793520651387,0.413912271684706,0.813633801683046,0.20656038898723,0.321578049475046,0.0715517514249524,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,5000,0.62958580252046,0.413890120718908,0.810630480335932,0.196579961053271,0.291162181172663,0.0565230916801776,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,5000,0.525241315067499,0.309393133217984,0.736753191433831,0.170475505601641,0.21902104092616,0.110965687425429,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,6000,0.609557203797733,0.409400535126938,0.818553229405552,0.219373284018659,0.319908996264782,0.068855454343075,"LMS","EC-EARTH","summer","gbm"
0.1,1,20,6000,0.601568034258262,0.406368307073593,0.772935322722642,0.221073900257336,0.286755015842023,0.0877182165739906,"LMS","EC-EARTH","summer","gbm"
0.5,1,20,6000,0.607629409394555,0.395491187255852,0.821804923095989,0.19096149204782,0.302015703929688,0.0836361177104016,"LMS","EC-EARTH","summer","gbm"
0.01,3,20,6000,0.626410450067695,0.405499688869505,0.802181238916988,0.198630605795606,0.303933625384365,0.0752327259374238,"LMS","EC-EARTH","summer","gbm"
0.1,3,20,6000,0.59912146200041,0.384667904693896,0.819931274995435,0.219538444900037,0.329636206136283,0.07863969313213,"LMS","EC-EARTH","summer","gbm"
0.5,3,20,6000,0.541183306069224,0.411999934376489,0.621315137770968,0.179375109784784,0.314091599230569,0.319569645627451,"LMS","EC-EARTH","summer","gbm"
0.01,5,20,6000,0.626568271361316,0.41084306353371,0.813494585881812,0.205639139207684,0.321535075146156,0.0727644556837985,"LMS","EC-EARTH","summer","gbm"
0.1,5,20,6000,0.624597851786841,0.40071573855137,0.815979194467308,0.198797451952453,0.292490784196225,0.0478275620189465,"LMS","EC-EARTH","summer","gbm"
0.5,5,20,6000,0.518549630662891,0.304758136715534,0.746031253838138,0.176127380534086,0.214458987404529,0.0981505819605924,"LMS","EC-EARTH","summer","gbm"
0.01,1,20,7000,0.610333322782867,0.408217888843567,0.820500392602574,0.217440864396185,0.319582499615028,0.0666359916856688,"LMS","EC-EARTH","summer","gbm"
