"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.649607329330736,0.470279187387332,0.738537210937747,0.206259937845953,0.342023808397955,0.163120749628835,"LMS","MIROC-ESM","summer","gbm"
0.1,1,20,1000,0.642429586780419,0.51330549412467,0.724789489973331,0.180421995524308,0.304818185042008,0.133549795783521,"LMS","MIROC-ESM","summer","gbm"
0.5,1,20,1000,0.651211474528439,0.488434432543711,0.75485906354948,0.171899870800696,0.325197140484104,0.168946620414005,"LMS","MIROC-ESM","summer","gbm"
0.01,3,20,1000,0.63928293435017,0.472718047582701,0.73830613945037,0.207116281371171,0.340503617143334,0.173960554810257,"LMS","MIROC-ESM","summer","gbm"
0.1,3,20,1000,0.626496442327898,0.45788881974978,0.759583276841882,0.179446329961972,0.342787203231531,0.151765610581813,"LMS","MIROC-ESM","summer","gbm"
0.5,3,20,1000,0.542801790628002,0.354632694286767,0.698375660614708,0.138819655324495,0.247746871696425,0.148834618515013,"LMS","MIROC-ESM","summer","gbm"
0.01,5,20,1000,0.628480255742683,0.482155134624013,0.707901857890998,0.209707265734096,0.336138592808481,0.211474643860137,"LMS","MIROC-ESM","summer","gbm"
0.1,5,20,1000,0.620975212783807,0.463083739739977,0.728090456775729,0.179320687674765,0.313947763119173,0.151727144940287,"LMS","MIROC-ESM","summer","gbm"
0.5,5,20,1000,0.582551011674009,0.529337023248015,0.636689315946916,0.142431101617373,0.301887837781936,0.167424071897679,"LMS","MIROC-ESM","summer","gbm"
0.01,1,20,2000,0.641701674893476,0.490630904650609,0.745417479708498,0.2014053253753,0.327526767646086,0.137102839438911,"LMS","MIROC-ESM","summer","gbm"
0.1,1,20,2000,0.647287534918676,0.504152076477054,0.734947771011886,0.165032376874396,0.298071660571674,0.118710271552997,"LMS","MIROC-ESM","summer","gbm"
0.5,1,20,2000,0.653714205550005,0.490092205398504,0.737793719070185,0.164907983561405,0.318702663145693,0.171937372986842,"LMS","MIROC-ESM","summer","gbm"
0.01,3,20,2000,0.636441815323724,0.468650495596818,0.744306285849836,0.20041364253276,0.335714370681587,0.161679897066368,"LMS","MIROC-ESM","summer","gbm"
0.1,3,20,2000,0.618993624902126,0.388760118584948,0.783597193962686,0.181464111180263,0.327645779402704,0.101229564349961,"LMS","MIROC-ESM","summer","gbm"
0.5,3,20,2000,0.521762639721324,0.365463179434246,0.663243104099942,0.144932103363419,0.266283035676171,0.143359746411003,"LMS","MIROC-ESM","summer","gbm"
0.01,5,20,2000,0.617971958696469,0.463423166198089,0.731585429699198,0.208621260477943,0.335047277704327,0.183672481905582,"LMS","MIROC-ESM","summer","gbm"
0.1,5,20,2000,0.620061945807656,0.459633425883606,0.74511780841687,0.177648487836813,0.306835232709996,0.128006437031835,"LMS","MIROC-ESM","summer","gbm"
0.5,5,20,2000,0.564372524628429,0.413582352731832,0.665895666676317,0.139403313729727,0.292232162117845,0.174992653317558,"LMS","MIROC-ESM","summer","gbm"
0.01,1,20,3000,0.638251984765681,0.488982378080785,0.756465978342024,0.198905450334162,0.321002493886569,0.120932895644197,"LMS","MIROC-ESM","summer","gbm"
0.1,1,20,3000,0.648079565584899,0.502934146338821,0.730750240480406,0.159333706022433,0.292037626880488,0.115600493787445,"LMS","MIROC-ESM","summer","gbm"
0.5,1,20,3000,0.654351210623325,0.496089133232073,0.734509034877725,0.163202817366358,0.312895598094059,0.164208123741229,"LMS","MIROC-ESM","summer","gbm"
0.01,3,20,3000,0.634977070348504,0.462792882627202,0.765797531753582,0.196568099673793,0.333958570858499,0.140556574086413,"LMS","MIROC-ESM","summer","gbm"
0.1,3,20,3000,0.617852550875239,0.380974375586259,0.798915866975631,0.171982672851926,0.332142160203342,0.0847995232638286,"LMS","MIROC-ESM","summer","gbm"
0.5,3,20,3000,0.520891702367801,0.371919131652722,0.661444761609342,0.143912379775564,0.266228262564333,0.142675144159574,"LMS","MIROC-ESM","summer","gbm"
0.01,5,20,3000,0.614867750652456,0.455131857205524,0.737993375646768,0.205343076790746,0.335352091174808,0.18006408648295,"LMS","MIROC-ESM","summer","gbm"
0.1,5,20,3000,0.620859204601008,0.459151191009491,0.743275760382883,0.163217825799828,0.31145107072359,0.152034518423466,"LMS","MIROC-ESM","summer","gbm"
0.5,5,20,3000,0.549063048746985,0.349551767660716,0.678149000225143,0.143326846725956,0.272036627950744,0.178344879514408,"LMS","MIROC-ESM","summer","gbm"
0.01,1,20,4000,0.638602545200951,0.485979510114445,0.762881820793782,0.195632326176937,0.323555639328369,0.117608799032981,"LMS","MIROC-ESM","summer","gbm"
0.1,1,20,4000,0.641244556313916,0.49702082782441,0.736980063722555,0.166278417232959,0.292907574230006,0.111050531106835,"LMS","MIROC-ESM","summer","gbm"
0.5,1,20,4000,0.648798575405831,0.489740629649752,0.732215825343375,0.172705983517741,0.312862344787098,0.169949729090959,"LMS","MIROC-ESM","summer","gbm"
0.01,3,20,4000,0.634456992193082,0.456181142670678,0.772777108836838,0.194335506405814,0.325786740574175,0.12445400772434,"LMS","MIROC-ESM","summer","gbm"
0.1,3,20,4000,0.615862915121314,0.392155593809812,0.782141738871757,0.169163405105958,0.321547149007795,0.102197146927762,"LMS","MIROC-ESM","summer","gbm"
0.5,3,20,4000,0.525635083472214,0.373992764773734,0.666736576565677,0.142932514159457,0.265220204142987,0.148855461263177,"LMS","MIROC-ESM","summer","gbm"
0.01,5,20,4000,0.614085744715741,0.450952215821424,0.747747669960603,0.202539373290064,0.337039087004963,0.177181975848504,"LMS","MIROC-ESM","summer","gbm"
0.1,5,20,4000,0.603743575792977,0.379687241418123,0.768762350117905,0.174471773866976,0.280586614059218,0.104677725040461,"LMS","MIROC-ESM","summer","gbm"
0.5,5,20,4000,0.544949183870285,0.342210575712978,0.683012348059777,0.142075237009116,0.273994082475026,0.178615004739618,"LMS","MIROC-ESM","summer","gbm"
0.01,1,20,5000,0.637313386038035,0.481446802970568,0.768421247633077,0.194238715077458,0.318062549033601,0.106206622053514,"LMS","MIROC-ESM","summer","gbm"
0.1,1,20,5000,0.637541530838818,0.490175383761247,0.738210435523481,0.166803848267094,0.28727463272276,0.103997092669852,"LMS","MIROC-ESM","summer","gbm"
0.5,1,20,5000,0.644108843736726,0.488458513851983,0.735639171123124,0.166521919701943,0.314119427627082,0.156360897108651,"LMS","MIROC-ESM","summer","gbm"
0.01,3,20,5000,0.636563302921307,0.455868320608021,0.771807853460303,0.189288689680484,0.328579609569079,0.132047093314862,"LMS","MIROC-ESM","summer","gbm"
0.1,3,20,5000,0.614676844625063,0.390609522515113,0.783335772406978,0.167057187653802,0.319855560358104,0.105325988977376,"LMS","MIROC-ESM","summer","gbm"
0.5,3,20,5000,0.536072088043645,0.368730437366972,0.670803088878483,0.138358330629482,0.26288571205754,0.148346757825039,"LMS","MIROC-ESM","summer","gbm"
0.01,5,20,5000,0.612603095467649,0.445629325698617,0.757247978844265,0.201018398253877,0.337087114914986,0.168700906028073,"LMS","MIROC-ESM","summer","gbm"
0.1,5,20,5000,0.608379524916403,0.37954079450388,0.770941129642566,0.172781588936379,0.27494238391651,0.107461021619395,"LMS","MIROC-ESM","summer","gbm"
0.5,5,20,5000,0.526437204633913,0.34568107829591,0.672454174228235,0.160926182101038,0.265638024938135,0.176891297213879,"LMS","MIROC-ESM","summer","gbm"
0.01,1,20,6000,0.636723117951823,0.481535136296921,0.769590234413584,0.192627410151211,0.316461925630975,0.107265641655447,"LMS","MIROC-ESM","summer","gbm"
