"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.620524075546134,0.339000917933417,0.789689618080611,0.0978791884736049,0.179618914611374,0.0518750768324733,"LMS","CMCC-CM","winter","gbm"
0.1,1,20,1000,0.613151467173326,0.310157865407733,0.818085281667553,0.10619960026341,0.119886826596938,0.0645511259682944,"LMS","CMCC-CM","winter","gbm"
0.5,1,20,1000,0.602109545323565,0.293943625366317,0.815751349100267,0.100368637652284,0.104677974563195,0.0653935406776878,"LMS","CMCC-CM","winter","gbm"
0.01,3,20,1000,0.631424571705068,0.269991024998995,0.832280420687246,0.0909032725557476,0.11838727417075,0.058124766074599,"LMS","CMCC-CM","winter","gbm"
0.1,3,20,1000,0.620481331597832,0.26078596942373,0.845241528214875,0.0932316696076198,0.096416364744851,0.0589712891420636,"LMS","CMCC-CM","winter","gbm"
0.5,3,20,1000,0.598532099299203,0.315363003951634,0.776618333269239,0.104502285066624,0.195156692065736,0.224060500618495,"LMS","CMCC-CM","winter","gbm"
0.01,5,20,1000,0.623644698584956,0.248970127580595,0.844865417342622,0.104298608586283,0.118544677014875,0.0676761945341267,"LMS","CMCC-CM","winter","gbm"
0.1,5,20,1000,0.614445498661625,0.236984806148903,0.853988002070971,0.101335134927051,0.106145860184567,0.0615768728114956,"LMS","CMCC-CM","winter","gbm"
0.5,5,20,1000,0.585957992279175,0.261622796118334,0.815719396454998,0.114737547899726,0.14617884270666,0.170179049826762,"LMS","CMCC-CM","winter","gbm"
0.01,1,20,2000,0.61470088886125,0.310745598025835,0.805783156049482,0.106051068288066,0.15249546230361,0.0504173115566216,"LMS","CMCC-CM","winter","gbm"
0.1,1,20,2000,0.60937371838037,0.302258589698798,0.815989050900165,0.10655093284491,0.111959660672869,0.0679149040013283,"LMS","CMCC-CM","winter","gbm"
0.5,1,20,2000,0.613008177427276,0.308275550545795,0.815942519910372,0.0928305727297731,0.106926055356647,0.0601409548140763,"LMS","CMCC-CM","winter","gbm"
0.01,3,20,2000,0.628566494484309,0.250704894348037,0.840722855510098,0.090540799572999,0.112802590814684,0.0668990521567303,"LMS","CMCC-CM","winter","gbm"
