"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.785706975239576,0.416862779565423,0.895069765523466,0.0386850930445448,0.163677967735932,0.0694786491863915,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.769529080025392,0.308671593175107,0.914462508234421,0.0537431467974656,0.160129421448963,0.0576592554743593,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.753996248067328,0.27318047264992,0.91061553356271,0.0530901600941031,0.187628841438544,0.0629402845562339,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.742844193511216,0.28746987436758,0.92495091415484,0.0364428070256638,0.194908036382642,0.0688734748085628,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.744542824359577,0.228188991456693,0.929030469845302,0.0575831984689077,0.200983611964855,0.0687265463946121,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.742904467519792,0.260454771393235,0.927289724937261,0.0498662064498862,0.190707685335533,0.0700158945679416,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.741178123812011,0.287985475398514,0.927165766761985,0.0426739588655095,0.197227359272746,0.0659005578942845,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.758027542355938,0.264805860554352,0.927983479432573,0.0382583901231517,0.197379139966812,0.0674629950325073,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.753056638087305,0.261432891669026,0.923675384841667,0.049547367283484,0.171702814550734,0.0677227062836798,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.779035808951892,0.391861851836982,0.901543915220453,0.0471834762785862,0.1646342371746,0.0644648093160818,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.764197077003648,0.295738253037521,0.917813647410192,0.0502734570124722,0.160643944501534,0.0620719551543316,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.749140092881382,0.276050961850094,0.914252944045935,0.0618970092970898,0.181187242887075,0.0650618319163697,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.747058236926688,0.258092810624507,0.925338026758267,0.0346010613437431,0.183640483979387,0.0659803528020559,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.750326041042246,0.228106851011024,0.928988832552093,0.0551658903892222,0.199204716082529,0.0691098091167516,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.738200511310979,0.248494675692939,0.930371076375381,0.0480954199239481,0.18443282378842,0.0689532028280108,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.749324250527662,0.252578802692654,0.928250617679851,0.0432411656552597,0.210791165590754,0.0658555310077579,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,2000,0.758505168925741,0.267322661577798,0.927125957745994,0.0404127107498183,0.190547831588342,0.0685351339204418,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,2000,0.720962504225702,0.285232134931782,0.876331986745686,0.0858717848871521,0.188529001754075,0.125424289898347,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,3000,0.772754252300547,0.353838506931362,0.908339113944265,0.049285932726123,0.15263829971942,0.0582031378872934,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,3000,0.763007908105387,0.282851459386415,0.916165623746366,0.0504805870266532,0.159375123329919,0.0630480761574086,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,3000,0.743182445567136,0.278261058810226,0.906846767680181,0.0635728908490348,0.18671028578638,0.0639071201519921,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,3000,0.749851776068164,0.247916255663717,0.926952358306501,0.0352263135135515,0.17231944293071,0.0656037517262,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,3000,0.752672538387936,0.229470048314439,0.928191403282097,0.0535538503356761,0.198600384510756,0.0700053413736281,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,3000,0.730820279273542,0.260441609127664,0.928805175850012,0.0580968798376959,0.182978709464039,0.0701868676680651,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,3000,0.755627640348379,0.254976406461663,0.92565115460763,0.0456457307321859,0.20728908304861,0.0647173703834158,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,3000,0.757698721224878,0.274642675292733,0.924361961148027,0.0404207143111238,0.189893056355078,0.0666557784201827,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,3000,0.694785920082601,0.260079877461462,0.87262202012137,0.0875228628709291,0.193568377447642,0.118295449243962,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,4000,0.768143375737722,0.338410571867548,0.90814589998939,0.0507692623320804,0.150861362690588,0.0579972030388483,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,4000,0.762724667215104,0.276232601177343,0.918645353338402,0.0523996548671676,0.157148172301586,0.0630422131478311,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,4000,0.744271246259429,0.269322953108362,0.910550272911266,0.0559706556110495,0.179401494323477,0.0651788968636036,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,4000,0.752825040187151,0.241906275755711,0.927118682939195,0.0336407895433069,0.17244567049247,0.0659107130418374,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,4000,0.755490662559301,0.228748887452998,0.930456567385152,0.0532414444782154,0.198251618412374,0.0707032032685863,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,4000,0.737192330866617,0.248353593644722,0.925037776110943,0.0527454263828276,0.186143239226407,0.0729790812106564,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,4000,0.758100177330177,0.255256703805683,0.925295329034179,0.044911411519474,0.20676974599211,0.065499280783281,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,4000,0.761663383453207,0.2771797676853,0.925721903203608,0.0353345491567034,0.190392934826071,0.0674062482757648,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,4000,0.685535907831386,0.275655622721991,0.860227270318401,0.082944962865579,0.179234310722618,0.114495356113681,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,5000,0.766202411712005,0.321125539087031,0.910770251360964,0.0496566460185325,0.149043723780925,0.0580986601409363,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,5000,0.764453998222353,0.276163463718822,0.919287553843804,0.0522965600862285,0.157094221301975,0.0641867559773804,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,5000,0.745318625694691,0.250594952059414,0.916726730479008,0.0557521796876992,0.193198652618477,0.0668891154286084,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,5000,0.753948433240299,0.237568729282187,0.927243607689919,0.0343634789232974,0.176316881897845,0.0661965631623554,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,5000,0.754415281021995,0.230823168739191,0.930103190592106,0.0555299497846718,0.195326258594956,0.0711968575411238,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,5000,0.737218310301772,0.256037412107419,0.9245934510945,0.0513466995524593,0.179065362287698,0.0708708439464354,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,5000,0.760426810438311,0.259707109571907,0.924978564493904,0.0438975883237892,0.202808298324095,0.0655765382145523,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,5000,0.76373139498564,0.278637843258614,0.923413554559132,0.0346395083983194,0.188606974009832,0.0653326450690399,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,5000,0.683357929077268,0.272524005927335,0.861604049074049,0.0849103061726544,0.184759656531691,0.114650862468683,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,6000,0.764907363061524,0.307738922185924,0.912479746995272,0.0492728804948402,0.150597346803225,0.0569389011988395,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,6000,0.762670416221968,0.270639760073134,0.919842943033878,0.0530112749973266,0.160359068386107,0.0659063131232178,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,6000,0.74633582678288,0.26230490845561,0.911173410291327,0.0558964764522051,0.20340390970172,0.068624969058167,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,6000,0.754177805241119,0.235685364786204,0.927479239867162,0.0341791312450594,0.177288457776148,0.0661955223267774,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,6000,0.751546893931356,0.23258925847014,0.929057448967696,0.0562185785320061,0.195447000804926,0.0712891740550255,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,6000,0.735853073083183,0.252895911517457,0.92360059938264,0.04984871010595,0.180594555498401,0.0718980622747945,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,6000,0.762555088530103,0.257705939707564,0.924875044890442,0.0427854457600957,0.200612205728455,0.0658763497753564,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,6000,0.76491753883822,0.280380352978843,0.922146783713066,0.0293756130583314,0.188538682442156,0.0674390543811403,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,6000,0.680953371437471,0.281314193538751,0.859137453642211,0.0853673888700698,0.187937850323008,0.11943959462149,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,7000,0.763036407693056,0.302031706264851,0.913064679753609,0.0488290807426635,0.152778670031304,0.0573435828303115,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,7000,0.761939304614594,0.273344671391848,0.917630560962103,0.0553821566756887,0.161615943685323,0.0661432596083471,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,7000,0.745304889914558,0.261258718656857,0.911968171068334,0.0567687685820878,0.205042706313649,0.069168437350995,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,7000,0.755475625407299,0.23511303665129,0.927727000026717,0.0323991155004243,0.180713453395128,0.0661258445772342,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,7000,0.751666684834394,0.234318530436851,0.929449359298836,0.0584458219356244,0.193617230944929,0.0711174376971528,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,7000,0.730871117864631,0.261027863927398,0.919376770921186,0.0519234638846507,0.18251070303924,0.070233393343585,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,7000,0.764002560901055,0.259336029373494,0.924685073028015,0.0420115691561582,0.199210332281752,0.0657738884933287,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,7000,0.763687965960023,0.282537841705532,0.922236279470459,0.0316737872014612,0.184012986441207,0.0649149171296663,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,7000,0.678769031545734,0.270175306238944,0.861274798715636,0.0880541974931698,0.178185382526859,0.112109788686777,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,8000,0.761197925949058,0.29736966030523,0.911148273333875,0.0476162890625703,0.151507576006617,0.0614246148086614,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,8000,0.761637935693454,0.271568869647966,0.919893643087947,0.0574916988959285,0.161204522284538,0.0668880673178161,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,8000,0.743561707698611,0.257345086606814,0.91494803201297,0.0599307212484417,0.20621145139982,0.0711786527942504,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,8000,0.757186004254441,0.234076043828172,0.927547092347755,0.0305161857995896,0.183617721105379,0.0668278443158656,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,8000,0.753895969906023,0.234177928401545,0.929131542669014,0.0522910586999647,0.192011052156178,0.0709202548938033,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,8000,0.722729246459266,0.255515863223007,0.914373507813948,0.0432282717331272,0.180326204165679,0.0692874491237661,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,8000,0.765560693765076,0.260048127961368,0.924116555669281,0.040714070278583,0.198370495481481,0.0655537500924108,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,8000,0.764140814913948,0.284274136474954,0.917678930961324,0.0338909769075586,0.182494594805938,0.0642622757268711,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,8000,0.671016259029559,0.267195995750688,0.859453920400998,0.0844025092231491,0.17878712981103,0.114694607734299,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,9000,0.760235290010692,0.29386123376722,0.911791191117807,0.0477395097763672,0.152548423424352,0.062114054087224,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,9000,0.760794929693876,0.276265316170553,0.91530422664583,0.056196844327068,0.159656166155693,0.0663621046822187,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,9000,0.746051938514206,0.259613885667455,0.904992473607167,0.0594336655623052,0.207679477848309,0.0667863414240095,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,9000,0.757619863524432,0.23595504261344,0.927397971616195,0.0294603893914405,0.187549138361786,0.0670263523643298,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,9000,0.752475061810106,0.23788585184436,0.923195811705213,0.0537152806607906,0.197364585653684,0.0760897755576954,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,9000,0.723115002217175,0.253554670428331,0.91099818273571,0.0440012951225617,0.185558974729012,0.0716856558473707,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,9000,0.767084269977003,0.260744310943841,0.924207373956791,0.0396322593578675,0.197046907294858,0.0655124480817285,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,9000,0.765394158475664,0.285193529243396,0.921487569363127,0.0289211270449006,0.182348094630878,0.0643002789369611,"MAC","ACCESS1-0","winter","gbm"
0.5,5,20,9000,0.671327988755886,0.25673688508059,0.866711026904288,0.0873552113234827,0.181668216539097,0.115503680408562,"MAC","ACCESS1-0","winter","gbm"
0.01,1,20,10000,0.759238533811707,0.290907633060717,0.912647821457135,0.0467192073937625,0.151147967980456,0.061903079807758,"MAC","ACCESS1-0","winter","gbm"
0.1,1,20,10000,0.761786118367875,0.272928785960275,0.918248209903533,0.0549565568241586,0.161078549899624,0.0651133112080643,"MAC","ACCESS1-0","winter","gbm"
0.5,1,20,10000,0.743766203688609,0.263789064795597,0.905159263201667,0.0600262251112451,0.198346962768699,0.0649905902512584,"MAC","ACCESS1-0","winter","gbm"
0.01,3,20,10000,0.757954119009491,0.23437995480845,0.927462265814236,0.029693692502646,0.188398467341495,0.0673438147484658,"MAC","ACCESS1-0","winter","gbm"
0.1,3,20,10000,0.755070962450603,0.234766901244498,0.929657838078642,0.0533737917403213,0.191771602924911,0.0702712629301801,"MAC","ACCESS1-0","winter","gbm"
0.5,3,20,10000,0.727135748343232,0.260664012975158,0.909949400992182,0.0446281482735902,0.176088707242775,0.0703228940614184,"MAC","ACCESS1-0","winter","gbm"
0.01,5,20,10000,0.767590464798019,0.259647626515966,0.924158221510736,0.039649060670195,0.195939185668756,0.0655518058437091,"MAC","ACCESS1-0","winter","gbm"
0.1,5,20,10000,0.764760141548464,0.284280782734482,0.921856323872927,0.0302798671034001,0.181726310997188,0.064147405681459,"MAC","ACCESS1-0","winter","gbm"
