"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.697714637599989,0.33090637239135,0.876583997885839,0.0497891797082368,0.137732576411081,0.0969541495932691,"MAC","CanESM2","winter","gbm"
0.1,1,20,1000,0.696865354765104,0.257255978817242,0.898993659343635,0.0580339885881208,0.125395388957796,0.100525022755745,"MAC","CanESM2","winter","gbm"
0.5,1,20,1000,0.694348161914346,0.233254568632354,0.903690911359536,0.071904719596779,0.118292345085141,0.102560767822896,"MAC","CanESM2","winter","gbm"
0.01,3,20,1000,0.684212821031091,0.251492445972462,0.909366973763871,0.0686538416951195,0.122047817703869,0.0958580377210463,"MAC","CanESM2","winter","gbm"
0.1,3,20,1000,0.708543787588398,0.198763124765663,0.928107481461512,0.0707602319126921,0.114405400536181,0.0788098814370896,"MAC","CanESM2","winter","gbm"
0.5,3,20,1000,0.728577964078177,0.19940588862692,0.929762547477378,0.0431660348795961,0.103569487560988,0.0671636378631305,"MAC","CanESM2","winter","gbm"
0.01,5,20,1000,0.700284847078893,0.245895455773177,0.92516225017259,0.0638975579718046,0.126043402665208,0.0797452502137517,"MAC","CanESM2","winter","gbm"
0.1,5,20,1000,0.708531412759687,0.212590689685815,0.93224263140137,0.0654706578236995,0.124934252735604,0.0733065256531915,"MAC","CanESM2","winter","gbm"
0.5,5,20,1000,0.715896230973017,0.229699941773053,0.928717337234802,0.0624502184819219,0.129578147075717,0.0707236342219747,"MAC","CanESM2","winter","gbm"
0.01,1,20,2000,0.698676723230006,0.291123721551718,0.892382360405694,0.045974617801263,0.137241789759131,0.0940591975924233,"MAC","CanESM2","winter","gbm"
0.1,1,20,2000,0.68914240127296,0.244916124335046,0.897808672378935,0.0600711562762304,0.123398895070111,0.0967567462954591,"MAC","CanESM2","winter","gbm"
0.5,1,20,2000,0.697415116655875,0.218806969973198,0.912403164706785,0.0683051413603123,0.125414905996545,0.104035966289983,"MAC","CanESM2","winter","gbm"
0.01,3,20,2000,0.690548539128325,0.220671164318359,0.920825701889869,0.0765622106915322,0.102378069037604,0.0804856831601076,"MAC","CanESM2","winter","gbm"
0.1,3,20,2000,0.709261377277681,0.193066585858986,0.931606652206938,0.0714376689394845,0.108934350803281,0.0779963230907539,"MAC","CanESM2","winter","gbm"
0.5,3,20,2000,0.723268007980012,0.199415224547067,0.931472762583928,0.047731860827696,0.0990912686194153,0.0670204991468863,"MAC","CanESM2","winter","gbm"
0.01,5,20,2000,0.706477612134759,0.223391658500919,0.929227726974746,0.0645625498597224,0.119265073835659,0.0738912900717448,"MAC","CanESM2","winter","gbm"
0.1,5,20,2000,0.711415464754071,0.212040097114743,0.933598534775352,0.059029545387714,0.117391598073897,0.0715764149302035,"MAC","CanESM2","winter","gbm"
0.5,5,20,2000,0.70903601716979,0.247929405996558,0.912294063216393,0.0660027937824658,0.119200740883733,0.0731982429996204,"MAC","CanESM2","winter","gbm"
0.01,1,20,3000,0.699930452992906,0.280078448212226,0.892757955877826,0.0491249932119559,0.125414165446785,0.0942710543559315,"MAC","CanESM2","winter","gbm"
0.1,1,20,3000,0.689926078881756,0.237813718164503,0.904965927377881,0.0595516990019839,0.120754081081648,0.098691882221676,"MAC","CanESM2","winter","gbm"
0.5,1,20,3000,0.697431897471209,0.231511359322708,0.908542042620773,0.0682796291227223,0.123526390661724,0.0998795812161582,"MAC","CanESM2","winter","gbm"
0.01,3,20,3000,0.698084188680781,0.21551852586353,0.926698367955601,0.0741970666863312,0.10064973552164,0.0777782552765526,"MAC","CanESM2","winter","gbm"
0.1,3,20,3000,0.710968607986954,0.196682981016661,0.928208852522029,0.0632649599527946,0.110382326852717,0.0771510451269372,"MAC","CanESM2","winter","gbm"
0.5,3,20,3000,0.731765322062738,0.204316717816676,0.927729129132815,0.0443811353868421,0.0996490843235666,0.0666083932162405,"MAC","CanESM2","winter","gbm"
0.01,5,20,3000,0.713142760395322,0.219794760336587,0.932303683007442,0.0580164793186779,0.119513948095492,0.0735649041727597,"MAC","CanESM2","winter","gbm"
0.1,5,20,3000,0.709738304120413,0.210888877192218,0.932975811407545,0.0600292133928606,0.116180640756254,0.0723782708425033,"MAC","CanESM2","winter","gbm"
0.5,5,20,3000,0.712346741237619,0.250619805710529,0.903086516835387,0.062683444233668,0.118097628967848,0.0735320468825351,"MAC","CanESM2","winter","gbm"
0.01,1,20,4000,0.699475482437478,0.277596366296538,0.894067298761213,0.0513508950026096,0.127067411575145,0.0962370407118951,"MAC","CanESM2","winter","gbm"
0.1,1,20,4000,0.687969550214333,0.237839612793399,0.904480789410337,0.0603668419149506,0.123402126825067,0.09792341822451,"MAC","CanESM2","winter","gbm"
0.5,1,20,4000,0.69997747843965,0.230862668159763,0.912448963187142,0.0735348625510509,0.119896061610984,0.0998364942468619,"MAC","CanESM2","winter","gbm"
0.01,3,20,4000,0.702925185077869,0.211896692020826,0.925818177342888,0.0748320274490217,0.104622887345596,0.0826716224001975,"MAC","CanESM2","winter","gbm"
0.1,3,20,4000,0.714671348928723,0.196939905952092,0.929568889098745,0.06129225421049,0.106045297658628,0.0761567186729945,"MAC","CanESM2","winter","gbm"
0.5,3,20,4000,0.730365779195746,0.200376005332057,0.924805926869705,0.0423307479198017,0.0971483543976281,0.0656822457243711,"MAC","CanESM2","winter","gbm"
0.01,5,20,4000,0.716842211192449,0.217247154087132,0.931121408441481,0.055952973507005,0.11465583135512,0.0717010345020782,"MAC","CanESM2","winter","gbm"
0.1,5,20,4000,0.707120057310194,0.214071550921233,0.932848816557184,0.0640061849354761,0.116543630435079,0.072751519952988,"MAC","CanESM2","winter","gbm"
0.5,5,20,4000,0.708700791270387,0.255577414894241,0.89232694036863,0.0568331802758058,0.117365051591016,0.0710069756535682,"MAC","CanESM2","winter","gbm"
