"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.65817889463564,0.258027415226224,0.86836295059991,0.0862791430094725,0.0573807651805087,0.067226715564111,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,1000,0.666427832801149,0.184828926797991,0.910242094410132,0.0810658015517016,0.0926152443220613,0.0630473648943319,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,1000,0.658353011489096,0.160372122133536,0.919198349386317,0.0729872282400915,0.0834277277610046,0.0547048153885991,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,1000,0.643967418928021,0.178280958638738,0.912000916941234,0.0823003494230681,0.0754531613247663,0.0604119401410242,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,1000,0.645449379211914,0.141224981999283,0.928887672388406,0.0923266087048867,0.0685051963565755,0.0502825102673376,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,1000,0.665510970100685,0.14104463405585,0.933446495959392,0.0690574492791288,0.0614243787645396,0.0406506182937054,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,1000,0.628279132206418,0.174515188576299,0.916695830132924,0.0771688027879915,0.0695599387098974,0.0604767593071258,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,1000,0.667516506373743,0.137056113211875,0.933352260450507,0.0725121020411003,0.0656287988989956,0.0470773746293015,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,1000,0.688605365873963,0.144885075317633,0.934243517641933,0.0561503140857401,0.0535085691689179,0.0398100199479343,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,2000,0.663182587874316,0.220295129154378,0.888240878737332,0.0866543465784286,0.074679922594839,0.0667604317742472,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,2000,0.665848016377205,0.166815255745719,0.916672241608375,0.0786771351409211,0.0860930358921292,0.0604500973961574,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,2000,0.660135900154768,0.155881542763316,0.917992932766241,0.0676888740855853,0.0828629036971023,0.0535106159402493,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,2000,0.644263840849676,0.165325019168091,0.91916539847125,0.0853034907184984,0.0870776268136709,0.0583666788138736,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,2000,0.657751067305229,0.139488613649476,0.93146622591693,0.0827951557714104,0.0727624735168942,0.0457663634564111,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,2000,0.672912242799207,0.139471189532697,0.933605930698039,0.0659687466539513,0.0705559545724974,0.0371441079298541,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,2000,0.643637879724551,0.169187617057875,0.921084103323267,0.0860744305413806,0.0687688078388932,0.0589589590677612,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,2000,0.683810781006285,0.135279320757722,0.934492918338161,0.0698942781143772,0.0655505415993996,0.0440671699243103,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,2000,0.683148522200258,0.132745933829416,0.930109541898988,0.0514838239768572,0.0377909915432406,0.0401343769228633,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,3000,0.663610462820902,0.212766298672866,0.895694082014925,0.0829016354356218,0.0850871586549743,0.0639546402393862,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,3000,0.664495937295888,0.160658934212956,0.919249847318438,0.0774439983429935,0.0843437767596168,0.0581937345626114,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,3000,0.662959965542302,0.155350174728111,0.922885845651186,0.0690440344516285,0.085190653588993,0.0541116322217195,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,3000,0.64677302430809,0.156122536676704,0.923229730001273,0.0856176475735919,0.0828536608714923,0.0542394136144048,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,3000,0.665086659258349,0.138091194125635,0.932577361512577,0.0793963305536182,0.0743062166019032,0.0472005456394715,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,3000,0.679796612845058,0.1465807964229,0.926484243796185,0.0618622219612283,0.0731987109837541,0.042656119041823,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,3000,0.653910728246808,0.163901719814534,0.922833658642189,0.0880472759106498,0.0704143587186022,0.0572049108109542,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,3000,0.687671662256587,0.133732009025075,0.934608582886584,0.0648537697178743,0.0653940257604819,0.0436291631356867,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,3000,0.679284817816975,0.145094034338552,0.922969879584956,0.0576357716196624,0.0480114748910563,0.0495065271914859,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,4000,0.663576663224583,0.198511157945139,0.900433506078583,0.0813816244219142,0.084649588664642,0.0605859668123397,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,4000,0.66411932711504,0.157811850433397,0.920884021770795,0.0767522105985099,0.0852825808142292,0.0564405823649909,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,4000,0.659325444707434,0.15222354243435,0.924241451027484,0.0674287914503794,0.0804326312677253,0.0483762129737594,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,4000,0.650655769490503,0.152866410619095,0.924234169693079,0.0868065385265034,0.0800928394545661,0.0527932150816455,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,4000,0.670118610204171,0.138933059049205,0.93305916490687,0.0773192307383518,0.0764632729093783,0.0467515021479978,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,4000,0.686719508057778,0.137075978049652,0.933748036532237,0.0553679869300738,0.0685358371824557,0.0397744185133414,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,4000,0.660338358383164,0.162323993056938,0.923723799970731,0.0883126090445369,0.0708086194254548,0.0565334496975827,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,4000,0.693651205715519,0.136437318908499,0.932939088177681,0.0645864109415042,0.068648128728086,0.0446682916299536,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,4000,0.655925902728345,0.149811790172954,0.913468978168726,0.0712562211991944,0.0627470598376606,0.0501120982232247,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,5000,0.66402202478972,0.196801439912264,0.902043406220608,0.0802640445019657,0.0868183207708181,0.0605830881528038,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,5000,0.661443126571031,0.153312215105979,0.923681827260392,0.0761644482264484,0.0888824051197,0.0565941463136515,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,5000,0.65959335132001,0.164321219782037,0.921241428617359,0.0649261527159745,0.077202635720183,0.0466548991040249,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,5000,0.652582007496371,0.151523781756663,0.925450864459959,0.0886896975199827,0.0789223663867886,0.0525041943726394,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,5000,0.673741683742419,0.13971198227526,0.93349936069746,0.0740530484395063,0.0765129556510107,0.0462173686226245,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,5000,0.683215174292271,0.148765809678336,0.925548209519077,0.0536263570201472,0.070560056786492,0.0362703331591797,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,5000,0.664777534549394,0.160490742982078,0.924714889784614,0.0887401782264476,0.0703333118341079,0.0555024466932037,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,5000,0.695012960464252,0.135712169781577,0.930773234552011,0.0606475881978186,0.07061802880564,0.049733758520573,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,5000,0.638724828336387,0.161205041615134,0.905044356466415,0.0490295674844284,0.057799963142275,0.0515695695260285,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,6000,0.663295094834199,0.194464868513336,0.905557985715308,0.0796752041874322,0.087303330843543,0.0588728085441671,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,6000,0.663864570338168,0.156904904233803,0.922314407447011,0.0729268023195021,0.0878133215205683,0.0547172449947307,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,6000,0.661004689008918,0.155389074875827,0.926777427562593,0.0613732853138833,0.0778718952734725,0.0502541902841651,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,6000,0.655947804522766,0.151873281139887,0.925738282079367,0.0891196370556114,0.0790307816107507,0.0517104844240482,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,6000,0.672506066500485,0.136972127331142,0.934232137194927,0.072263140526796,0.0779042994401312,0.0445491135136332,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,6000,0.687729298695556,0.137282340790389,0.930982166946153,0.0476206216587344,0.0601377757328085,0.0359306263038033,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,6000,0.66781597548107,0.158162772504661,0.924752689673878,0.087377887882057,0.0721180839473251,0.0548664976804989,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,6000,0.69180095072715,0.135284390110908,0.930944238830977,0.0662502475485897,0.0748002622317821,0.0502927803198146,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,6000,0.632128521368966,0.158728166278347,0.888629790163997,0.0519671027342337,0.0614060909162342,0.0785747719388088,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,7000,0.662909884493661,0.188750385963851,0.905788392893892,0.0791065846042616,0.0833351991791466,0.0577516513340036,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,7000,0.663699060082661,0.15416898480074,0.925488656834421,0.0725458301567931,0.0895441694069705,0.0560157217899713,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,7000,0.665739969760385,0.16193239149029,0.922697353098748,0.0646226769630938,0.0787835743722621,0.0467519241114149,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,7000,0.658137045156097,0.150669093167318,0.926001589546873,0.0889248252218904,0.0788609771049558,0.0512572150976946,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,7000,0.677201847135543,0.138023659570663,0.933923936485229,0.0717260280027765,0.0744520423807475,0.0438329785505071,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,7000,0.68873704497191,0.166662085068027,0.926427305857319,0.0444909746811947,0.049321734578989,0.0361041950533378,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,7000,0.67108763381375,0.157261541418969,0.924836291652992,0.0866182812719259,0.0735044670882005,0.0542266096749061,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,7000,0.694709495958104,0.135229561768557,0.934017383537225,0.0630090041796119,0.0682732315249083,0.0435401203652022,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,7000,0.631396057163833,0.159137251990338,0.889552505132164,0.055628244059486,0.0629822772084091,0.0777074762090682,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,8000,0.663620929409324,0.186366859981731,0.908593101540422,0.0780664406091961,0.0826851527154544,0.0555441820427081,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,8000,0.663643687003092,0.155806958456152,0.924002663428986,0.0712470137844308,0.0884010218944314,0.0535280257025075,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,8000,0.663718770612368,0.158103072275373,0.924111223213904,0.0673009450134364,0.078788148229289,0.0465143062853024,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,8000,0.659205621179719,0.151984226583048,0.92413703856118,0.0893488413338006,0.0818956476104123,0.0566937647206203,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,8000,0.681201861686722,0.139660001981309,0.93422084428014,0.0674458750118554,0.0742620010423062,0.0428653157414026,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,8000,0.684381822317862,0.142039188522295,0.931193041194794,0.0465774155210926,0.0698550348543151,0.0400510322366132,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,8000,0.673352375705774,0.15648782116872,0.924347812674582,0.0872253475346006,0.0742215592627151,0.0540745083443641,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,8000,0.691457537105596,0.137978199075342,0.931502123003041,0.0639844289396205,0.0721945192792068,0.0497480531255855,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,8000,0.632057967444908,0.157018433127614,0.888884838446779,0.0600895497858514,0.0580286276346045,0.0759885052631882,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,9000,0.66262411907703,0.184047537036283,0.9101976968038,0.0776067014884381,0.0817368456092289,0.0546840242967985,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,9000,0.662146471895026,0.150589421016168,0.925596475269224,0.0721396491449975,0.0859176298180479,0.0544642219571562,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,9000,0.666006097525235,0.160549151251384,0.923406100146767,0.0637614870103659,0.0746374348901396,0.0445741280515029,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,9000,0.661172479106239,0.152787680621145,0.924466079053771,0.088191398960101,0.0803671395590158,0.0565839345490744,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,9000,0.681208551021562,0.139667352132776,0.932395872069515,0.0680426305809633,0.0735809741469283,0.0415720894395039,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,9000,0.685893013219152,0.14952798038695,0.926699690267878,0.0481627194460724,0.063157157396942,0.0348952736960585,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,9000,0.67628309163919,0.154007648419398,0.924676728550888,0.0861635165409546,0.0757484993382698,0.0537159646732511,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,9000,0.696232347029377,0.136269104008291,0.931001821980347,0.06060096816457,0.0734301191138784,0.04989875280743,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,9000,0.633026958915654,0.153570569846417,0.887902612430033,0.0556982907596979,0.0689966374519651,0.0737074224631431,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,1,20,10000,0.662932787902206,0.180568042450405,0.910851141896057,0.0772875880599059,0.0824264431356375,0.0564208744666426,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,1,20,10000,0.662639409757709,0.152678681407125,0.924375158784559,0.0713331882382159,0.0844182424031662,0.0527364332975339,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,1,20,10000,0.664573084370379,0.154361946510788,0.926861078281894,0.064616418378326,0.0794184146375879,0.0444931167542417,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,3,20,10000,0.661986031723714,0.152996742004084,0.924824789618531,0.0885328496227492,0.0798887837854989,0.0560988993878538,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,3,20,10000,0.68427488398776,0.138389992374002,0.934785138119514,0.0653266663927703,0.0746951481833581,0.0414425565525233,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,3,20,10000,0.690452478586732,0.15682400405918,0.921941327055491,0.0433514776985475,0.0609914843736867,0.0358001696043683,"MAC","GISS-E2-H-CC","winter","gbm"
0.01,5,20,10000,0.678782273540358,0.151388720190518,0.927612983531403,0.0860005743367965,0.0715583774988439,0.0468838112734566,"MAC","GISS-E2-H-CC","winter","gbm"
0.1,5,20,10000,0.693948654697962,0.137309324608171,0.931437291742386,0.061443303092643,0.0717620324550137,0.048629300610225,"MAC","GISS-E2-H-CC","winter","gbm"
0.5,5,20,10000,0.628931612222339,0.15082290008545,0.888715684332195,0.0630831524185739,0.0729986369718334,0.0773411408704884,"MAC","GISS-E2-H-CC","winter","gbm"
