"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.544714062634092,0.369761131614695,0.709088135523798,0.037751821331077,0.218325219752076,0.175032718012682,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.550507090031718,0.378061285356639,0.726000465472029,0.0414729775781733,0.122607034924293,0.0985415938641818,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.538030371012156,0.316596659457266,0.725093908539398,0.031167950391747,0.0768291775979062,0.0817423048973293,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.547995787940795,0.350471473161806,0.745647458678021,0.037389399237252,0.142521279243446,0.10380250565699,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.551503294873732,0.354851253598193,0.738734034811436,0.0435892805145962,0.0910869474935413,0.0675979302108633,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.542521540233569,0.328512656658407,0.749934980936387,0.0430537256873153,0.0737078463268567,0.0909842322088502,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.56204421355162,0.365437495501431,0.752312955898892,0.0399781507757291,0.141458228276446,0.0924970116677005,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.570368910391564,0.335707340162569,0.77296090905013,0.047965397731652,0.088794368527788,0.055978126424619,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.559639501428728,0.424637953721643,0.710649077777096,0.0502332028476875,0.137707476676339,0.10097800782324,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.545246722555053,0.370370918922713,0.718092417842118,0.0398329260733997,0.210449182153574,0.151490545591725,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.549133732910972,0.380431956233856,0.724796173245805,0.0384078517035752,0.114521895726401,0.091477102366228,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.538065533785965,0.330998855020069,0.722623966032326,0.0316754282149318,0.0817513692969762,0.0914985315682325,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.549630409111162,0.304988864278498,0.781905140104762,0.0379838056095697,0.0605696529427509,0.0605389095663264,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.554164819149579,0.356686749910219,0.744731006858125,0.0480008860776548,0.114705623459189,0.0877202197649754,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.53477967064775,0.27032073470936,0.777583370769593,0.0629797026889412,0.112053531472791,0.0780020095129943,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.565691319509772,0.36509589566794,0.75657950396586,0.0425541401966725,0.140333727445213,0.085213635947221,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,2000,0.573448429779256,0.341036846456764,0.772664813595522,0.0528501288327579,0.0790891985646011,0.0629810268874666,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,2000,0.532535399268791,0.412234713316673,0.652642914488984,0.0540945897822184,0.161927607058688,0.182749254887317,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,3000,0.547165757753163,0.339702485530039,0.731540594543804,0.0418581521295532,0.162909670993553,0.128796439635808,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,3000,0.549032131812071,0.351898598253064,0.739906075625601,0.0403951764544678,0.0807082451647217,0.0717475241345146,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,3000,0.536300283196524,0.330347842833034,0.724831710701854,0.0351163447512304,0.059009061885688,0.0802243974346282,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,3000,0.549680008462724,0.29118182346526,0.788085996753756,0.0387226742830648,0.0814764245768444,0.0569042228580326,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,3000,0.558079649005186,0.366241760451893,0.739377993551738,0.0449743027664776,0.0717620515188365,0.0899374166362448,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,3000,0.524349351017577,0.420887494541857,0.619900560943832,0.0529412908949718,0.319553314388808,0.335539511410846,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,3000,0.566033594099738,0.350252753904624,0.764178028090578,0.043805620971588,0.148622591988784,0.0817477842486698,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,3000,0.571235322635904,0.320207786897176,0.772980706288692,0.0520516569630523,0.0604635770501391,0.0610690259943726,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,3000,0.525028676858001,0.384412696463,0.671528816720786,0.0545445479818617,0.220726967796186,0.226278976813621,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,4000,0.54738641827694,0.34301749368107,0.730602582660325,0.0439233214312811,0.136058234719798,0.113292245113437,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,4000,0.550264218893986,0.344802020941437,0.742865279231808,0.03905839242017,0.0864250718948408,0.0794760444509033,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,4000,0.534801165285182,0.343058248432206,0.716171530655781,0.0343015035044114,0.107007963952157,0.092001715116982,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,4000,0.549891973238379,0.288992762585191,0.787031788688551,0.039310029082419,0.0818897856885424,0.0597269277718276,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,4000,0.558427870128765,0.367075218646782,0.736311399711175,0.0449242271975042,0.0891672319781089,0.0925827894284137,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,4000,0.524411371571771,0.418457478864039,0.622300012583902,0.0534116626731165,0.319882880778999,0.33652842290183,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,4000,0.567786266736913,0.364558510765617,0.759032972511096,0.0441876331937502,0.140077814154727,0.0813814290965125,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,4000,0.57104178379423,0.326670246413555,0.7742524422613,0.0558786244124487,0.0869236548140779,0.0676376410333677,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,4000,0.523082307687838,0.394813074769427,0.666898142204874,0.0513853799925149,0.238310607042874,0.230356545614768,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,5000,0.547573934953399,0.340373698804994,0.731219850245676,0.0448566545436242,0.132462643684831,0.110667676428954,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,5000,0.548961625835985,0.349216937090292,0.741195395984777,0.0406361305722147,0.0876499963706985,0.0817548819808737,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,5000,0.534684175970402,0.361342827549343,0.704471140422878,0.0313507621124305,0.110167316065809,0.102787297536669,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,5000,0.549487794375661,0.287835474789739,0.785850042574974,0.0393272564810366,0.0809410034709996,0.0619200944043823,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,5000,0.5587164773718,0.363134403429057,0.744713474918167,0.0465298496688047,0.0949481036242866,0.0894409973887923,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,5000,0.524870631287048,0.42600266294014,0.621669115237884,0.0546306280856572,0.317914598015909,0.335864719751148,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,5000,0.568661831318818,0.368488162866528,0.758486824449003,0.0445025302043196,0.131638083038014,0.0821271679600691,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,5000,0.570536066641824,0.346717698206356,0.765916474338771,0.0579344427503814,0.0846986695574044,0.059895507811178,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,5000,0.521503901789906,0.396945455984473,0.661430715713121,0.0500601613109061,0.241361097439889,0.231736342768577,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,6000,0.54739306964901,0.345539523885408,0.727384651959698,0.0445644680756706,0.12215014703123,0.111165121723146,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,6000,0.548034147571736,0.36312736030245,0.736970715612781,0.0408943485742077,0.10107112786519,0.0822786558133751,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,6000,0.532603191305084,0.355900024925828,0.699291055556775,0.0348226941577068,0.109064300909896,0.105030084345275,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,6000,0.549055505472383,0.299409286266947,0.779246406059829,0.0396932204091693,0.0810124258239919,0.0628066018581377,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,6000,0.556966510151473,0.341356841871385,0.749970911683944,0.0487888999341772,0.0992859432848299,0.0816538229947179,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,6000,0.525638263835304,0.418537285943396,0.626369343026376,0.0556749554189332,0.319861014778401,0.338713512003602,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,6000,0.568132815624806,0.380718311584139,0.751600126099595,0.044194833078022,0.128396831125325,0.0855532261174812,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,6000,0.567752722997522,0.326718452883283,0.773999976702307,0.0599274582004359,0.0591259072471741,0.0621345354576848,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,6000,0.518400654112638,0.384861906192414,0.661174598984471,0.0457874232014447,0.225960953328352,0.230616741742999,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,7000,0.547141254885687,0.350558559332842,0.725852496743405,0.0445564120451488,0.120077338654852,0.109441992081022,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,7000,0.547095327918112,0.355059582967228,0.737924976232622,0.0412901771494977,0.0959028696593022,0.0873411511577904,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,7000,0.533520133816497,0.37619440087182,0.693398477098744,0.0363585827782025,0.0931140552204101,0.108042830502597,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,7000,0.549096025655569,0.301153136383855,0.777662377615767,0.0402811557433109,0.0816807050271334,0.0683382616052562,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,7000,0.558285432338399,0.336989934844093,0.749320373514214,0.0491978468360971,0.0882675555331111,0.0822828456809464,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,7000,0.527347939873392,0.422087276593558,0.625175974889131,0.0584291946672446,0.318958213012971,0.337955609369175,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,7000,0.568436870976246,0.389527713213641,0.746103290433208,0.0436485285018509,0.120291402234713,0.0836729272026368,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,7000,0.567697202807712,0.316468740853279,0.774910194045961,0.0599533450092813,0.0694917536914745,0.0642705556719995,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,7000,0.516886092091384,0.383663967224033,0.663213370186812,0.0439031338386477,0.228103855756712,0.233693075659094,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,8000,0.546437911600832,0.35720301945569,0.721111756863793,0.0449428472719507,0.114531109277169,0.107528683477647,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,8000,0.546936581927217,0.358139986661683,0.734969807663117,0.0419285405172014,0.10759920423201,0.0863821484163675,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,8000,0.537601324238619,0.358425367899866,0.703334487820862,0.0382883314714138,0.065944315027294,0.0947364948025282,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,8000,0.549529043740521,0.310217058689628,0.771158182131767,0.0397316098907925,0.0643210145924436,0.0714783110984851,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,8000,0.558975310497963,0.364839078394531,0.735698200094314,0.0469727738348615,0.0593161237931876,0.0778897800883588,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,8000,0.527587064299979,0.425534479868861,0.623975828814407,0.0589799736515878,0.318023979682078,0.337335028600038,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,8000,0.568898742745787,0.39182821974368,0.742561497237153,0.0442751601917425,0.0999879273562158,0.0814305938699302,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,8000,0.56707079528147,0.330530490367285,0.768123160977596,0.0608395499752181,0.0938085215036522,0.071041528024838,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,8000,0.516712609564078,0.381926762401845,0.664447464223679,0.0437956205933052,0.228722933447858,0.234599897434931,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,9000,0.546145516190603,0.360897386722475,0.718716801875084,0.0453330268551808,0.113412331288131,0.107802585079359,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,9000,0.546472934376612,0.35959138266057,0.731051836345521,0.0406362112276442,0.097179245229042,0.0820894484383342,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,9000,0.53207462919615,0.351696092524761,0.69825108742426,0.0390955867112967,0.098239036694507,0.10708280145131,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,9000,0.549567321260458,0.310063922943602,0.771751421022906,0.0396945202277396,0.0693113144771715,0.0747973813026182,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,9000,0.560589204737875,0.357530586368713,0.73524609618601,0.0459585420785426,0.0472829059593162,0.0765034295338535,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,9000,0.528587641992549,0.425135610026289,0.623813297524076,0.0596492498997517,0.318181641199538,0.337253951507409,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,9000,0.569084769301276,0.400740921046762,0.738261254135764,0.0436877525629009,0.0998625704228468,0.086204195586545,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,9000,0.566078019989943,0.328400320621432,0.77162305410465,0.0612318942957276,0.0630625349110379,0.0674690142104939,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,9000,0.516073468768635,0.385282956701656,0.661441840366289,0.042797929178103,0.228603214834362,0.23306300109236,"NGP","ACCESS1-0","winter","gbm"
0.01,1,20,10000,0.545766540477966,0.362983768350564,0.716314918701723,0.0451438440299059,0.113118625335175,0.107952044352214,"NGP","ACCESS1-0","winter","gbm"
0.1,1,20,10000,0.545587339949407,0.364318208214699,0.729104186366221,0.0404801318748545,0.096566328574651,0.0859438910847225,"NGP","ACCESS1-0","winter","gbm"
0.5,1,20,10000,0.535878010530988,0.34663989468769,0.704484841701709,0.0370351215556671,0.0933396521488941,0.107125007994315,"NGP","ACCESS1-0","winter","gbm"
0.01,3,20,10000,0.550348999653892,0.314056260620339,0.76888913783288,0.0401132646138988,0.0650365597057946,0.0767757425446997,"NGP","ACCESS1-0","winter","gbm"
0.1,3,20,10000,0.560363114435423,0.365388619982546,0.731436053072157,0.0448406345176386,0.0525394719238324,0.0865949380973606,"NGP","ACCESS1-0","winter","gbm"
0.5,3,20,10000,0.528423451806165,0.417197177851648,0.628586208643407,0.0596495046029509,0.320892890124005,0.340310984103641,"NGP","ACCESS1-0","winter","gbm"
0.01,5,20,10000,0.569365172934742,0.391128381613307,0.740082648778899,0.0442188897743387,0.0879284916427679,0.0811032951632719,"NGP","ACCESS1-0","winter","gbm"
0.1,5,20,10000,0.565737033121411,0.340622773221443,0.769132130591542,0.0643706598544624,0.0862885408290781,0.069270268358825,"NGP","ACCESS1-0","winter","gbm"
0.5,5,20,10000,0.510577113643474,0.369901296286752,0.665305057362341,0.0349572247457177,0.21708076320691,0.229384440497737,"NGP","ACCESS1-0","winter","gbm"
