"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.564063092224625,0.393144357658227,0.704517840786274,0.041127302477312,0.174492062504709,0.138060059413017,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,1000,0.54906921518924,0.290031040913229,0.767315058316072,0.0401385341337339,0.0565343428462838,0.056727182850878,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,1000,0.548411332893352,0.360346007612077,0.732900734469426,0.0325221382766469,0.143474250460172,0.10861368619515,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,1000,0.564281557406353,0.342838018397386,0.761802119921508,0.0410870182224873,0.171199703601892,0.113517259292002,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,1000,0.573844642455955,0.411872241817611,0.716591160521257,0.0459498912037622,0.206774434262948,0.152286061827508,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,1000,0.572842203830518,0.427456820094438,0.708238354651008,0.0464178778202001,0.154276231355829,0.114947726706427,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,1000,0.566314979511416,0.40155940656048,0.713884931154704,0.0394796469760836,0.144912482106203,0.124899324755548,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,1000,0.567542083258968,0.3068014187581,0.790569796739284,0.0453538762542844,0.118477576518477,0.0690606419010584,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,1000,0.567001376655524,0.402256315181182,0.711317274964291,0.0446627842179077,0.115695803255606,0.104534376712182,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,2000,0.559416253366541,0.396366408698557,0.713547605318501,0.0413806407590203,0.137240508478385,0.114231760140532,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,2000,0.554581956662587,0.295648206664815,0.775367426534193,0.0416194109030979,0.125542930727623,0.0716512892556513,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,2000,0.547037411200629,0.386193429930478,0.711926132860346,0.0313503970530443,0.141266265173132,0.124219882133212,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,2000,0.566625319898787,0.349781704847148,0.760167779350004,0.0405957375446453,0.184883908750208,0.111787045510076,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,2000,0.57547417904998,0.427807060167549,0.715408341054743,0.0448498587976211,0.187713178235231,0.140658588963487,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,2000,0.54996158201033,0.398414726796931,0.696555200789522,0.0531443864463353,0.182113866746751,0.12400497116788,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,2000,0.567323185731873,0.363772937586738,0.739894321290014,0.0422512258227911,0.0815410049251492,0.0783523228357495,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,2000,0.571183318737175,0.336761927118168,0.777268918633867,0.0439771381993951,0.112880170213505,0.0783008903660137,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,2000,0.559489902180844,0.395736603056582,0.710925818431982,0.0409704357331991,0.104929746942553,0.0913590435942483,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,3000,0.555044924440822,0.384889176623536,0.72306875906259,0.042177145094192,0.121617205562716,0.104285736906365,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,3000,0.555654982422115,0.296191337786718,0.777098389785808,0.0414477491600597,0.0762709210720188,0.0574549443777983,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,3000,0.54784869948049,0.36294103777235,0.719354027376964,0.0308748735806728,0.15607097812046,0.133762596837434,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,3000,0.567317907018264,0.336621268928224,0.770395831682182,0.0407657219816999,0.167273152382017,0.0975163435613629,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,3000,0.576466822489754,0.417402821584376,0.719923518097519,0.0449190228694189,0.192991454348324,0.143304997056826,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,3000,0.550832182557809,0.396254575988156,0.707086637460303,0.0547659632176635,0.176069925652556,0.11305944977533,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,3000,0.568106233849326,0.356905266941461,0.747803367633736,0.0446457888921133,0.0822675023983883,0.078149128942027,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,3000,0.570569751332129,0.326728700605412,0.777181619445784,0.0460981162152613,0.113610628222279,0.0709463490230556,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,3000,0.553204239378083,0.391162867284616,0.704163651562967,0.0555962545583508,0.0698519001048129,0.103906188553169,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,4000,0.554005199722329,0.355224053593452,0.737064899910867,0.0420392224936519,0.0749670094089401,0.0800738092902706,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,4000,0.555077120636895,0.305370902111688,0.772663989603052,0.0416547493941527,0.0801296197759502,0.0593527345083244,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,4000,0.551188418288928,0.362373351069193,0.719373233943321,0.0344952505729607,0.136242590422065,0.116898668895766,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,4000,0.567837705641596,0.324384898477162,0.775506952861439,0.0415538413137025,0.135885620240698,0.0823028168172182,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,4000,0.575465333171842,0.416995557768718,0.714672924093785,0.0447627416496696,0.19265522952046,0.142948178023299,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,4000,0.547590570804815,0.378662473769323,0.703396914883636,0.0543310497689765,0.160747090138441,0.116733610690498,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,4000,0.569282471505791,0.357471191888812,0.747608122774749,0.0451067887917855,0.0828131688495681,0.0756888884828534,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,4000,0.569577333290199,0.313311624494247,0.777642688811064,0.0468131000752345,0.0876236470848139,0.07063591334864,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,4000,0.547177090807276,0.394440983018264,0.692329493153536,0.0479971928451441,0.0833707696406208,0.111960935161694,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,5000,0.553535253162723,0.357250377981604,0.735606706339565,0.0411971537910039,0.078065912970283,0.0838356715910918,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,5000,0.556268732411889,0.32893887155177,0.761549562878535,0.0459574028266516,0.119428261603385,0.0734006015263458,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,5000,0.54419837881331,0.388110518734122,0.705006236387557,0.0331790876903802,0.137887431348053,0.135535517242168,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,5000,0.568918761883541,0.341596597826532,0.765728186759026,0.0413732039484847,0.156548262088214,0.0920904667526479,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,5000,0.574008117748735,0.40441005585634,0.723183535488773,0.0451902486137794,0.199481205149164,0.143293394651279,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,5000,0.532075072920543,0.379197611893649,0.676216328963446,0.0465082580438637,0.280708567004884,0.239517583797768,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,5000,0.5685064651397,0.345703730618921,0.749874778282535,0.0450906700594206,0.112711537232142,0.0883418164877024,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,5000,0.570864018563409,0.325978329420786,0.775063375002184,0.045633840633419,0.0942834482560725,0.0816778775330547,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,5000,0.535059487133132,0.419033366395741,0.648841303250415,0.0507196355339866,0.246637342061312,0.276987072647737,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,6000,0.551961988718964,0.337178155267892,0.743051443748072,0.0417561955410102,0.0688998420427183,0.0823346620677869,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,6000,0.55676405288634,0.323010533128564,0.763284480660144,0.043112741820066,0.0765630137974572,0.0618420054345205,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,6000,0.551298788199538,0.422069039457658,0.684035991709805,0.0344428048753648,0.16536215996213,0.159992350151814,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,6000,0.568831383548368,0.327599093069398,0.769700859959759,0.0421736534561946,0.139781465904359,0.0834675761470552,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,6000,0.574468946032074,0.403527087432197,0.724676045070485,0.0445214184371901,0.182036621805046,0.13128060934187,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,6000,0.531023031263493,0.364538699787129,0.682276936483674,0.0448241973014151,0.276278651921599,0.239182992951529,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,6000,0.569199799047722,0.342458805725555,0.753337093516901,0.0450573580884623,0.106042259028951,0.082338219319994,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,6000,0.569814850759042,0.32015566716299,0.771846864000357,0.0454805368735677,0.123682225279731,0.0933140359948034,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,6000,0.533815892836981,0.437016204835927,0.636639816293617,0.0479712632282018,0.230915425177473,0.270406208780796,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,7000,0.551171272055251,0.330904918412996,0.746521409131987,0.041522904127976,0.0690366454603855,0.0821061204919063,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,7000,0.558055868820162,0.29450148124197,0.778630737785108,0.0450445431581268,0.0912184111052432,0.061591031980479,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,7000,0.546500183547965,0.377773428867096,0.694292255841253,0.0384066555151239,0.163229099569503,0.140915891404387,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,7000,0.569161148016585,0.327963666442553,0.771397346260854,0.0425817022438217,0.141500125093252,0.0846352078260341,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,7000,0.57362143080262,0.396633389570052,0.72575185166839,0.0436487922830914,0.200556847763327,0.14166901087375,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,7000,0.530898482727292,0.36709001016149,0.679653912565761,0.0439506046917622,0.275168615836749,0.239307204944444,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,7000,0.569129941130823,0.345292244663416,0.752489085592057,0.0458208031553666,0.106330191179655,0.0850622438342202,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,5,20,7000,0.570460263466709,0.334723257619435,0.767859714013375,0.0444558574707804,0.0823183926681859,0.07070326376584,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,5,20,7000,0.533858822505419,0.442949991268588,0.633603522161728,0.0442196096154687,0.261772061122917,0.2919578602954,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,1,20,8000,0.551214817332996,0.324607985137612,0.749879171953659,0.041122863238202,0.0746446472997123,0.0861238619577983,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,1,20,8000,0.559221006993876,0.331784980416276,0.761014904283237,0.045310824211276,0.115641600989412,0.0719266291645246,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,1,20,8000,0.547783213154832,0.398652852498293,0.699778207135277,0.0388254334279695,0.147848869628827,0.126677222876983,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,3,20,8000,0.569197159923385,0.33150057037722,0.769074495293609,0.0428065441902421,0.139025082388201,0.0839075201386646,"NGP","GISS-E2-H-CC","winter","gbm"
0.1,3,20,8000,0.572815230562856,0.405334603248669,0.721931251861534,0.0424846496831379,0.191756244323191,0.138519808331378,"NGP","GISS-E2-H-CC","winter","gbm"
0.5,3,20,8000,0.522252287627154,0.396414606615776,0.656670592400349,0.0495876947221108,0.275099342847524,0.246256274720649,"NGP","GISS-E2-H-CC","winter","gbm"
0.01,5,20,8000,0.569689804086262,0.341967648504159,0.755928907971297,0.0464332700267199,0.106532723299119,0.07822675118076,"NGP","GISS-E2-H-CC","winter","gbm"
