"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.832018346465075,0.589192824344111,0.877952923272048,0.0603730938813352,0.135144008020015,0.0663539640289994,"ORC","CMCC-CM","summer","gbm"
0.1,1,20,1000,0.763724523011365,0.539625635132639,0.896302488752661,0.0425759060388374,0.107398460690058,0.0613764263285156,"ORC","CMCC-CM","summer","gbm"
0.5,1,20,1000,0.774716178203136,0.499314790485074,0.889603979374982,0.0703742139772389,0.217437959355032,0.0614992505704144,"ORC","CMCC-CM","summer","gbm"
0.01,3,20,1000,0.818063656750428,0.563256047980263,0.890126015921861,0.0581615544487554,0.100039700604267,0.0643338625153725,"ORC","CMCC-CM","summer","gbm"
0.1,3,20,1000,0.827489286662249,0.517480153917752,0.914204037257412,0.0383699694379248,0.0956630627828043,0.0388293445219713,"ORC","CMCC-CM","summer","gbm"
0.5,3,20,1000,0.663009329435395,0.459518734514269,0.833373185494269,0.143652521511861,0.149897946696917,0.130150324987793,"ORC","CMCC-CM","summer","gbm"
0.01,5,20,1000,0.842471315476845,0.572012780116359,0.897084466334509,0.0304226452746458,0.119823391291551,0.0519282680348494,"ORC","CMCC-CM","summer","gbm"
0.1,5,20,1000,0.816470171500645,0.45415378192427,0.898094267769827,0.0601065471892387,0.169906157218716,0.0693366624301215,"ORC","CMCC-CM","summer","gbm"
0.5,5,20,1000,0.722902803049921,0.460874726373606,0.846102971755691,0.168685617335287,0.177806993283046,0.141787003611885,"ORC","CMCC-CM","summer","gbm"
0.01,1,20,2000,0.826762317471053,0.579341605759968,0.883181614890632,0.0565318462403402,0.137713328462624,0.0703172880111542,"ORC","CMCC-CM","summer","gbm"
0.1,1,20,2000,0.766374829910532,0.526346799239365,0.885146434822176,0.0327352151366625,0.112006420749325,0.0788292325934735,"ORC","CMCC-CM","summer","gbm"
0.5,1,20,2000,0.782157888548303,0.503480349511874,0.8855243911178,0.0594064721992511,0.22142982991605,0.06831451650748,"ORC","CMCC-CM","summer","gbm"
0.01,3,20,2000,0.818849187511305,0.538363855425265,0.902533043087432,0.0581538889884106,0.0911151196058367,0.0556891471890057,"ORC","CMCC-CM","summer","gbm"
0.1,3,20,2000,0.822828776716276,0.523637110846816,0.911878703398759,0.0467330215072317,0.0927622609708935,0.0394018248379452,"ORC","CMCC-CM","summer","gbm"
0.5,3,20,2000,0.539535806543385,0.463226360827589,0.661726321499818,0.0540879284442119,0.325620917787782,0.358645056998964,"ORC","CMCC-CM","summer","gbm"
0.01,5,20,2000,0.838173256411683,0.525161852019554,0.903307068190585,0.0286807461606522,0.101378858957087,0.0510002213363802,"ORC","CMCC-CM","summer","gbm"
0.1,5,20,2000,0.815684513542877,0.458220700510117,0.899343180154875,0.0670081099222727,0.182517311226816,0.0670180667078397,"ORC","CMCC-CM","summer","gbm"
0.5,5,20,2000,0.630928134374604,0.465927876443189,0.74928428590744,0.167114473293127,0.161058735230089,0.290131945399141,"ORC","CMCC-CM","summer","gbm"
0.01,1,20,3000,0.820504349417584,0.570995244372761,0.886419277864702,0.0547310757037504,0.140915693985587,0.0694217584445009,"ORC","CMCC-CM","summer","gbm"
0.1,1,20,3000,0.76994339309882,0.530543362588837,0.885120509868086,0.0340504703565103,0.113567546101505,0.0721989386415504,"ORC","CMCC-CM","summer","gbm"
0.5,1,20,3000,0.655720678844104,0.574320032278896,0.648156797308092,0.154501600519359,0.270135842807829,0.383905165147298,"ORC","CMCC-CM","summer","gbm"
0.01,3,20,3000,0.820989848358462,0.529500987471006,0.90531122953963,0.0616222666685427,0.0925004086557978,0.0532352259596636,"ORC","CMCC-CM","summer","gbm"
0.1,3,20,3000,0.819893330831955,0.513925413928263,0.911459330303973,0.0462113811103737,0.0975692693880985,0.0396043634933268,"ORC","CMCC-CM","summer","gbm"
0.5,3,20,3000,0.539840388010215,0.462801732377483,0.662412406991281,0.0539846123967021,0.325789254252536,0.35934375097768,"ORC","CMCC-CM","summer","gbm"
0.01,5,20,3000,0.836338701030906,0.523930206653622,0.902762670060524,0.0273948542396379,0.0980504643502399,0.0499418605454713,"ORC","CMCC-CM","summer","gbm"
0.1,5,20,3000,0.815645549070993,0.480311059750052,0.896941569072473,0.0673290374032371,0.149819928229872,0.0654544684643209,"ORC","CMCC-CM","summer","gbm"
0.5,5,20,3000,0.629769975820761,0.451278194914526,0.751967835487972,0.165245318045703,0.142858834385247,0.291684868681989,"ORC","CMCC-CM","summer","gbm"
0.01,1,20,4000,0.81773875629906,0.55588926756599,0.891900320896659,0.0529000188828557,0.119837334857559,0.0616628566598348,"ORC","CMCC-CM","summer","gbm"
0.1,1,20,4000,0.78793563078035,0.528639066350314,0.888456998500661,0.0389324787806829,0.122635914094827,0.0671664858454225,"ORC","CMCC-CM","summer","gbm"
0.5,1,20,4000,0.651882975823703,0.524208100413981,0.654996099424716,0.153615327001295,0.279993840546498,0.387001487074178,"ORC","CMCC-CM","summer","gbm"
0.01,3,20,4000,0.82392801804163,0.530413376608666,0.90255523588253,0.0618191817864051,0.100804103327527,0.0594061568481731,"ORC","CMCC-CM","summer","gbm"
0.1,3,20,4000,0.808866916707116,0.516559579397595,0.908679649768812,0.0513245958607119,0.103509344233692,0.042988326780508,"ORC","CMCC-CM","summer","gbm"
0.5,3,20,4000,0.562612308366991,0.462801732377483,0.662577414894291,0.0723361730293948,0.325789254252536,0.359512760637844,"ORC","CMCC-CM","summer","gbm"
0.01,5,20,4000,0.83501654457544,0.520427454685138,0.902831007068475,0.0267668120355005,0.101810811980691,0.0486806162674899,"ORC","CMCC-CM","summer","gbm"
0.1,5,20,4000,0.820928928718849,0.483774258509416,0.90036251585177,0.0664509988197073,0.138188555204624,0.0616885973702346,"ORC","CMCC-CM","summer","gbm"
0.5,5,20,4000,0.596106021446202,0.447922051194995,0.687416542700323,0.167836832830114,0.145325995703043,0.271550417492006,"ORC","CMCC-CM","summer","gbm"
0.01,1,20,5000,0.81138302855321,0.55020406707204,0.892891352807589,0.0498183200900601,0.118730217272317,0.0619525450743842,"ORC","CMCC-CM","summer","gbm"
0.1,1,20,5000,0.78650128798884,0.536009689858803,0.884590746689326,0.033806971986187,0.112775486952764,0.065770664225637,"ORC","CMCC-CM","summer","gbm"
