"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.808207513032564,0.545398842950508,0.885465692597892,0.070288544624139,0.0963295617879965,0.0646039345444761,"ORC","CanESM2","summer","gbm"
0.1,1,20,1000,0.760395719446551,0.431364392969601,0.919455622157736,0.0978503821993382,0.10384683578831,0.0413846725042535,"ORC","CanESM2","summer","gbm"
0.5,1,20,1000,0.805290426057039,0.452244365544168,0.904244472264648,0.0695743373443523,0.173598157967644,0.046913489981368,"ORC","CanESM2","summer","gbm"
0.01,3,20,1000,0.828082839296591,0.59548136480217,0.873841453536408,0.0505113816728137,0.134881896989054,0.079724524646249,"ORC","CanESM2","summer","gbm"
0.1,3,20,1000,0.786726123608141,0.497942964763994,0.892357178058478,0.0734296290592059,0.139123390095369,0.0663979933994593,"ORC","CanESM2","summer","gbm"
0.5,3,20,1000,0.70367891309373,0.490689432266769,0.765627536415711,0.156262542167191,0.219293671556034,0.34738985687082,"ORC","CanESM2","summer","gbm"
0.01,5,20,1000,0.83563509046059,0.552283353379519,0.901304487258162,0.0214912486851385,0.073592255849479,0.0429795793574798,"ORC","CanESM2","summer","gbm"
0.1,5,20,1000,0.778882050661748,0.472811400708425,0.896076937930616,0.0688528455369787,0.111772018529464,0.0635900106296464,"ORC","CanESM2","summer","gbm"
0.5,5,20,1000,0.681550413252102,0.545678754907248,0.776981702424532,0.169469832161233,0.286918675311619,0.207930805714859,"ORC","CanESM2","summer","gbm"
0.01,1,20,2000,0.808744240335296,0.527116499193593,0.897321052556606,0.0737904680431283,0.105448559497539,0.060535412851112,"ORC","CanESM2","summer","gbm"
0.1,1,20,2000,0.751102908251139,0.452355805835309,0.904525563154425,0.0904679962490527,0.110825309608728,0.0542890358308303,"ORC","CanESM2","summer","gbm"
0.5,1,20,2000,0.744083087175368,0.388989397407036,0.908996620001205,0.0920395221534728,0.106578327649547,0.0423829866032482,"ORC","CanESM2","summer","gbm"
0.01,3,20,2000,0.8240171506508,0.601525249116863,0.876189032082817,0.0537481895423013,0.144968207490702,0.0768300574195373,"ORC","CanESM2","summer","gbm"
0.1,3,20,2000,0.764938772751027,0.508526509659963,0.882821277637011,0.0993312618419762,0.128469181466467,0.0765965965632693,"ORC","CanESM2","summer","gbm"
0.5,3,20,2000,0.643093269630933,0.611514512499973,0.549196946303452,0.21530777089105,0.181677048975049,0.399523521297831,"ORC","CanESM2","summer","gbm"
0.01,5,20,2000,0.842771876368512,0.527225816109381,0.907079155468216,0.0182340879965231,0.0663321391681646,0.0413226107637733,"ORC","CanESM2","summer","gbm"
0.1,5,20,2000,0.776073016325794,0.453239508288783,0.899656641390553,0.0708211891001028,0.113294162234274,0.0666651124536081,"ORC","CanESM2","summer","gbm"
0.5,5,20,2000,0.625037973672363,0.621154110289182,0.644146394752357,0.147276209847433,0.28636687291123,0.276831609922243,"ORC","CanESM2","summer","gbm"
0.01,1,20,3000,0.798841352186149,0.491866901277836,0.90147528230304,0.0744935110897119,0.140788216343539,0.0614448073739184,"ORC","CanESM2","summer","gbm"
0.1,1,20,3000,0.7550725421794,0.454928395030015,0.901892935147407,0.0911459793543985,0.118928599941254,0.0615186387065663,"ORC","CanESM2","summer","gbm"
0.5,1,20,3000,0.711978359175275,0.493551904393851,0.751382540943338,0.137380948606571,0.260019085886775,0.371664191395588,"ORC","CanESM2","summer","gbm"
0.01,3,20,3000,0.820174424921749,0.596221068232153,0.878578421259202,0.0598582043010686,0.145417773246199,0.0731532704400981,"ORC","CanESM2","summer","gbm"
0.1,3,20,3000,0.756421951206768,0.506524890638264,0.87935653912483,0.0983198256937405,0.131077739629702,0.0820973961153735,"ORC","CanESM2","summer","gbm"
0.5,3,20,3000,0.642512172290565,0.589314954404233,0.552528988055103,0.218764973927656,0.213727494232934,0.403004531151713,"ORC","CanESM2","summer","gbm"
0.01,5,20,3000,0.843784284324028,0.537270564657876,0.905987403914859,0.0150224490077121,0.0798695046628047,0.0430695765144214,"ORC","CanESM2","summer","gbm"
0.1,5,20,3000,0.775879168567106,0.452391519776032,0.897955408272154,0.0715130961156893,0.125400091588657,0.0731740404956562,"ORC","CanESM2","summer","gbm"
0.5,5,20,3000,0.638184877035219,0.620088963924376,0.649218731378171,0.12859296124353,0.286659314470842,0.281837209738213,"ORC","CanESM2","summer","gbm"
0.01,1,20,4000,0.79736343537835,0.462384452819674,0.904473161493192,0.0764400784900883,0.183090486435903,0.0617386818357667,"ORC","CanESM2","summer","gbm"
0.1,1,20,4000,0.742418514189495,0.439451060313201,0.901719194782603,0.092785234776771,0.146737554029536,0.0596969568443209,"ORC","CanESM2","summer","gbm"
0.5,1,20,4000,0.71939763506406,0.480863686305059,0.767723523115903,0.127562389104319,0.265011897691564,0.377427672293429,"ORC","CanESM2","summer","gbm"
0.01,3,20,4000,0.816454193673804,0.590024340105814,0.877896737912236,0.0658149845695415,0.141472433755779,0.0735736723398396,"ORC","CanESM2","summer","gbm"
0.1,3,20,4000,0.75048912498552,0.502279521907295,0.882470991288222,0.0971106769607166,0.131052475978854,0.0781864099986428,"ORC","CanESM2","summer","gbm"
0.5,3,20,4000,0.649858408692302,0.578835456117117,0.569439466788432,0.222947003278005,0.250167017973902,0.419853239005269,"ORC","CanESM2","summer","gbm"
0.01,5,20,4000,0.843478300248566,0.52578705476724,0.906381353555264,0.010273944085456,0.083080150578794,0.0434961067027362,"ORC","CanESM2","summer","gbm"
0.1,5,20,4000,0.777935984921892,0.452395569406029,0.897324923704239,0.0701349456659355,0.126894320789077,0.0753376369908035,"ORC","CanESM2","summer","gbm"
0.5,5,20,4000,0.642424773071364,0.617318153280063,0.650894440500203,0.123748531334684,0.287672731741711,0.283536097814075,"ORC","CanESM2","summer","gbm"
0.01,1,20,5000,0.795928125588907,0.436538746815042,0.906552827326302,0.0757982872892318,0.186996243042997,0.0621230987397198,"ORC","CanESM2","summer","gbm"
0.1,1,20,5000,0.739586837062256,0.467656923384956,0.898857929666538,0.0923699597115855,0.165528868661088,0.0576355159970447,"ORC","CanESM2","summer","gbm"
0.5,1,20,5000,0.700684438292558,0.492583007926696,0.762936792002996,0.131015447838024,0.262145144364594,0.375289905080964,"ORC","CanESM2","summer","gbm"
0.01,3,20,5000,0.812764606648219,0.575815661612898,0.878253084642812,0.0698286437384909,0.125433665623964,0.0736814362662849,"ORC","CanESM2","summer","gbm"
0.1,3,20,5000,0.74674050156458,0.50051468431879,0.885786366250456,0.101473009015064,0.122962363014763,0.0794245952845963,"ORC","CanESM2","summer","gbm"
0.5,3,20,5000,0.643287844553251,0.572455010379174,0.571530916994089,0.216703282841648,0.256368399074851,0.422064874168291,"ORC","CanESM2","summer","gbm"
0.01,5,20,5000,0.843675195765487,0.522450235490118,0.90709557264098,0.00862572048104947,0.110509643293249,0.0438364702149118,"ORC","CanESM2","summer","gbm"
0.1,5,20,5000,0.782005823769717,0.475921033562903,0.896874179186304,0.0645553817613161,0.141845561206376,0.0732990733583637,"ORC","CanESM2","summer","gbm"
0.5,5,20,5000,0.658672329400633,0.613694510495996,0.653988154173944,0.107368516729243,0.289164650817593,0.286486255005343,"ORC","CanESM2","summer","gbm"
0.01,1,20,6000,0.791712996434749,0.434159084909666,0.906249045249707,0.0769227466101578,0.193969045549861,0.0631800157984231,"ORC","CanESM2","summer","gbm"
0.1,1,20,6000,0.732920342123483,0.461728404386533,0.8969404751778,0.0929601241374392,0.159766888286181,0.0618117352580449,"ORC","CanESM2","summer","gbm"
0.5,1,20,6000,0.695622226254749,0.496501399292014,0.750587538323885,0.131509617174516,0.258104702464644,0.370053032320754,"ORC","CanESM2","summer","gbm"
