"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.634991011762134,0.409096091578588,0.804765353812278,0.0793917186844378,0.138056961509631,0.0987724068047679,"SES","ACCESS1-0","summer","gbm"
0.1,1,20,1000,0.641927336112584,0.385434469917362,0.83324630029604,0.0750450449316735,0.0963994237379119,0.0536210676893697,"SES","ACCESS1-0","summer","gbm"
0.5,1,20,1000,0.645582246792756,0.396616641209418,0.813329376177339,0.0726724917339701,0.126110981058452,0.0769433813090659,"SES","ACCESS1-0","summer","gbm"
0.01,3,20,1000,0.651468245973428,0.374661671640658,0.839626880680909,0.0766924047688642,0.130150995260296,0.0875752979456134,"SES","ACCESS1-0","summer","gbm"
0.1,3,20,1000,0.645057471163651,0.342480180688722,0.866427688283272,0.0823349293865157,0.114849922493531,0.0492114361977831,"SES","ACCESS1-0","summer","gbm"
0.5,3,20,1000,0.585614357355245,0.331251020619038,0.783725478164966,0.0958693571062018,0.202887214509536,0.168832093122728,"SES","ACCESS1-0","summer","gbm"
0.01,5,20,1000,0.65404331838804,0.365911911693192,0.858021936509073,0.077364314889387,0.084472669730972,0.052857224165602,"SES","ACCESS1-0","summer","gbm"
0.1,5,20,1000,0.635425994880617,0.326694242414421,0.855244647370867,0.0713907362353012,0.0867114401222829,0.0379168186284197,"SES","ACCESS1-0","summer","gbm"
0.5,5,20,1000,0.581916769585417,0.410546497115764,0.716009431861682,0.0706438321953756,0.16272029878319,0.202095251935127,"SES","ACCESS1-0","summer","gbm"
0.01,1,20,2000,0.633483062405109,0.398601301306707,0.813847141809715,0.0788948807335174,0.13680435231455,0.0921648109857769,"SES","ACCESS1-0","summer","gbm"
0.1,1,20,2000,0.640225413214251,0.377772484450918,0.832531417448504,0.0727117501348532,0.0951524108256545,0.0496736219975073,"SES","ACCESS1-0","summer","gbm"
0.5,1,20,2000,0.644187445356036,0.388683523608681,0.815530049350303,0.068360393390527,0.119508601579223,0.0656221665204352,"SES","ACCESS1-0","summer","gbm"
0.01,3,20,2000,0.649731687752758,0.356263829831062,0.846676505167309,0.0771399795543549,0.111636099155453,0.0725784012803775,"SES","ACCESS1-0","summer","gbm"
0.1,3,20,2000,0.640906715598874,0.338068565530822,0.864221558841274,0.0762839997163818,0.0942862701648714,0.0419726042365295,"SES","ACCESS1-0","summer","gbm"
0.5,3,20,2000,0.571371055749071,0.390784821823668,0.717929609489987,0.0850303877669838,0.261477389556034,0.274252207901576,"SES","ACCESS1-0","summer","gbm"
0.01,5,20,2000,0.65280376262553,0.351764513576816,0.861531323668001,0.0764803754903592,0.0755288686847615,0.0495642148425041,"SES","ACCESS1-0","summer","gbm"
0.1,5,20,2000,0.632316635453941,0.320509910116476,0.857860938007084,0.0693078483418769,0.0975999417722638,0.0411836458046644,"SES","ACCESS1-0","summer","gbm"
0.5,5,20,2000,0.561170015290715,0.484651840610316,0.635914246307482,0.0661987768775006,0.219340347782584,0.212630385505439,"SES","ACCESS1-0","summer","gbm"
0.01,1,20,3000,0.633572952590028,0.394777135588736,0.816245410361549,0.0796071556272302,0.1324843567079,0.0818953586013399,"SES","ACCESS1-0","summer","gbm"
0.1,1,20,3000,0.639816141459651,0.378505083462113,0.831937549609084,0.0717498207176549,0.0948715100454186,0.050377003693364,"SES","ACCESS1-0","summer","gbm"
0.5,1,20,3000,0.641686163243733,0.380959471308451,0.816756367883901,0.0685380847071098,0.115135741999914,0.0672109827559149,"SES","ACCESS1-0","summer","gbm"
0.01,3,20,3000,0.650131233737394,0.350927235910445,0.852480998371822,0.0774796109919499,0.10746266298365,0.0683400657219644,"SES","ACCESS1-0","summer","gbm"
0.1,3,20,3000,0.639927153207951,0.334680160500848,0.866556478687519,0.0744718601835589,0.0893392055450862,0.0423438918663902,"SES","ACCESS1-0","summer","gbm"
0.5,3,20,3000,0.522209965923777,0.357228511741263,0.674904837402605,0.0698870481222257,0.266655220909528,0.263659442107977,"SES","ACCESS1-0","summer","gbm"
