"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.673219874094519,0.453205595569477,0.838452075532702,0.0860466916531603,0.125170090779912,0.061560019712868,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,1000,0.664169654502367,0.38617329280961,0.873836598303642,0.0763578304737845,0.0841215550554675,0.0245934765009182,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,1000,0.657971524117536,0.370400241229706,0.850153019974486,0.0727502738010015,0.0712915038420799,0.0350515269723841,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,1000,0.689100581360983,0.420406632364091,0.879354694386293,0.0842772059013013,0.0964581445932446,0.0295151297235142,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,1000,0.670072377874282,0.374368795442272,0.878286591551411,0.0768985130718333,0.122324187736863,0.0281167336513416,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,1000,0.602035041808428,0.399114425658028,0.741462316479688,0.104954662810107,0.156940834588436,0.234353356602041,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,1000,0.683100754707786,0.405730760990563,0.87094726570775,0.0871735584875615,0.126878369674858,0.0314010777958294,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,1000,0.665532832968512,0.371382787031026,0.873849222093955,0.0785550299212902,0.106902100506807,0.0180544275570428,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,1000,0.577749143002187,0.458335751185404,0.656753427891954,0.0849117161372143,0.211905204409465,0.272581105463337,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,2000,0.674342205064601,0.423986447708778,0.860784463276961,0.0860057634565277,0.108066799634886,0.0413425964930362,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,2000,0.664433487694464,0.392187254744021,0.867483962970605,0.0739667647843584,0.0756562436237116,0.0221094344753791,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,2000,0.652649757973594,0.384403961805799,0.836138342858466,0.0702526419605422,0.0808960760573842,0.035382727521767,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,2000,0.68488424114558,0.408296886678716,0.881388990172563,0.0825449214612529,0.0998898325263846,0.0259192388051585,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,2000,0.667634223232579,0.3721215788537,0.874552730045853,0.075507088387393,0.115169448711308,0.0262155453639122,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,2000,0.568853168013245,0.388673463537664,0.713588339059374,0.0907260160281646,0.154247686699833,0.220697285648982,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,2000,0.680086126508433,0.388405019614217,0.870983885563664,0.08465271926349,0.123652687995354,0.0245357785239965,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,2000,0.661142142076168,0.36628814990732,0.871082952808561,0.0774724449989485,0.0996066456598459,0.0186192756069111,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,2000,0.545949591915859,0.430033521682152,0.643062588016826,0.0654661327991016,0.230223765370064,0.262535829604093,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,3000,0.672485415789024,0.412496585463207,0.863993362168984,0.0839561774152188,0.0973724780062245,0.0304867042865684,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,3000,0.662491771050068,0.390020647220492,0.865499820969549,0.0736602741970745,0.0760676588041657,0.0239448309445426,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,3000,0.648438447572919,0.371599568826881,0.838531169635334,0.0707735468729253,0.0860120114700299,0.03886336361769,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,3000,0.683873433610985,0.40276882056975,0.881973662774161,0.08184598600085,0.0967412635460256,0.0244986683380069,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,3000,0.666345113557027,0.379151775433637,0.865950415095193,0.0743635416600859,0.117169323908266,0.027768533505089,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,3000,0.560150445193289,0.392782029975604,0.693237494439749,0.090315721718388,0.146246277837473,0.211781939202076,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,3000,0.678343985871372,0.381811379394954,0.872078993159673,0.0835215636970021,0.120729985946963,0.0235295232648551,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,3000,0.659700063268602,0.371758402006028,0.868999407560419,0.0771823709439437,0.100673962904191,0.0190375936893561,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,3000,0.532166978117397,0.421820058760634,0.629265434431147,0.0631836899489469,0.236717628135072,0.252754524584417,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,4000,0.669595351099703,0.401363516953685,0.86874891909379,0.083012821054508,0.0956619569532611,0.0262084117933445,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,4000,0.661476375335936,0.395172906918858,0.860410833497914,0.0752621060950354,0.0776559853567404,0.022932649402302,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,4000,0.645471853942867,0.372714986038629,0.834345553685118,0.0686284479182302,0.0816055617877761,0.0385814881384417,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,4000,0.683197390998062,0.397619461142832,0.882946564126832,0.0810071849475255,0.0971760175912353,0.0240570814433682,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,4000,0.665485186771125,0.37944522783842,0.865553091922635,0.0729272345134069,0.118239545052105,0.0310270108563257,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,4000,0.536523243832336,0.374239095873077,0.681676675632288,0.0732727954287063,0.18408707601571,0.218359311663966,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,4000,0.676672463118247,0.379208223556917,0.870329134168405,0.0825143710059719,0.114873847100845,0.0228121046976396,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,4000,0.657380505315022,0.372857808918154,0.866239686924778,0.0776553312267257,0.0968958258297148,0.0192289524220159,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,4000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,5000,0.669187630055355,0.39795358197479,0.870920405128044,0.0811750071857073,0.0872074180142311,0.0239857492513686,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,5000,0.662079246678998,0.39296206341996,0.860215833703118,0.0749166100702233,0.0805062520543464,0.0230041033104887,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,5000,0.647275909023484,0.379454881402413,0.828567104869183,0.0677726325738486,0.0834229942940688,0.037707892203384,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,5000,0.683187280053114,0.394939569786854,0.883320817435344,0.0806997819433914,0.0968141547085076,0.023399967943692,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,5000,0.66267387488938,0.381883604601722,0.862405027274103,0.0712533602428745,0.111362844433135,0.0327300185418706,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,5000,0.539868556512499,0.376775692932045,0.684093988014238,0.0733664022841457,0.182554203137898,0.218560380432566,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,5000,0.675288070043196,0.378383003673776,0.869980388338118,0.0817495213826112,0.113846312791626,0.023113558504555,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,5000,0.656509410575703,0.371841385115292,0.867302712513498,0.0772950310306085,0.0993742304240855,0.0174634818531474,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,5000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,6000,0.667391885274029,0.391303984550357,0.869844052359393,0.0800622103222951,0.0824398960203666,0.0237409771021418,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,6000,0.660233117459171,0.398951948416286,0.854969293925215,0.0745413872758078,0.0797601424705139,0.0274152246551618,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,6000,0.646416754301045,0.381848716602035,0.825594485918197,0.0669684196644547,0.0866434253820574,0.0363739546167686,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,6000,0.681993522437536,0.394169518119958,0.880841824359384,0.0801223851691567,0.0967302963106912,0.0266125619633857,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,6000,0.661180718150385,0.381886459172068,0.860589162473189,0.0700005747081856,0.11601965728249,0.0365451828554589,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,6000,0.539785902421508,0.373556444546173,0.684804301415265,0.0732261756508656,0.18641142243825,0.218592941981119,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,6000,0.674615664702683,0.376857750442453,0.8701991972639,0.0812795937905681,0.111539705666441,0.0222544309012003,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,6000,0.65591611739247,0.372039334866323,0.867648688773537,0.07565645302673,0.103000458038507,0.0216698525911057,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,6000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,7000,0.666780030600485,0.391126475503694,0.86851446369982,0.0799953871618163,0.0820754349319325,0.02443782281341,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,7000,0.659338425389169,0.396207908317244,0.857533462623097,0.074563762105975,0.0797517866926913,0.0233630517718233,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,7000,0.64297200110826,0.386540964223304,0.819485305255162,0.0663938147212611,0.0814887931342189,0.0333283814763187,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,7000,0.681328123330772,0.392076565036879,0.882785320935639,0.0794930670783956,0.0985173706264995,0.0233602289112301,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,7000,0.662105388051818,0.381466420958815,0.861405065561587,0.0701480570245863,0.116452933300066,0.0382599087218251,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,7000,0.53985337589182,0.375308109149606,0.684136086765774,0.0733463953328277,0.184443803619847,0.21848656489715,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,7000,0.673548495978723,0.375395562244404,0.87010615265453,0.0806316013968422,0.108835560723727,0.0220760459982041,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,7000,0.654190534542585,0.368503021470063,0.864202165433521,0.0764286179625395,0.0939079014380823,0.0178508913547484,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,7000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,8000,0.665716768057698,0.388122755456243,0.868723512788804,0.0795886358330287,0.0831841080573986,0.025086894916483,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,8000,0.65854129982025,0.396161086807113,0.854208246975207,0.0735580735579004,0.0815969820012061,0.0281815793729832,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,8000,0.644305612548684,0.378022290434582,0.828988653371946,0.0671540100004892,0.0839569631488421,0.0359652858924446,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,8000,0.681089284086638,0.391244953591512,0.883238364533983,0.0792329918037664,0.0987595457957599,0.0232198858036759,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,8000,0.662149415477154,0.378156594250849,0.863744957846374,0.0702173991092997,0.116016934361185,0.0373753054491736,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,8000,0.532615984754037,0.373962422913238,0.682843297394442,0.0752230523607863,0.187440843181339,0.217878225266043,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,8000,0.672727217928586,0.373571778104336,0.870023382187986,0.0803457784923697,0.10810248969133,0.022244246603895,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,8000,0.653635879534151,0.364184981868477,0.864071172381582,0.077674490961365,0.0908775151641422,0.0155885240614994,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,8000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,9000,0.664982628089739,0.386684121985607,0.868477402606661,0.0791166396046549,0.0800308455119196,0.0241904343773913,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,9000,0.659471741154407,0.397109283931429,0.852956002956831,0.073234781489418,0.083321451487594,0.0263160890962531,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,9000,0.633749053698583,0.385293143138786,0.81533562935255,0.0662357202383804,0.0789595111906745,0.0336164777664831,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,9000,0.680983254542973,0.393181188079485,0.880565971209593,0.0787803256512637,0.103433604581463,0.0287255533123429,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,9000,0.66239940068196,0.385612561099916,0.858024068725676,0.0706938272107994,0.125053545630767,0.0422111101901557,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,9000,0.539526948184054,0.433777617709966,0.642908522599527,0.0730829399703287,0.2105705613607,0.241803529518343,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,9000,0.672099760213918,0.374373863339455,0.869484633042486,0.0802146491052644,0.106022527515105,0.0218558770592581,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,9000,0.653224369387677,0.355890307816063,0.868112228164537,0.0765511613257328,0.0901787999498561,0.01888216008012,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,9000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
0.01,1,20,10000,0.663999997387409,0.383556250914312,0.868928889768301,0.0787126415263048,0.0784469353798776,0.0233840143850229,"SES","BCC-CSM1.1","summer","gbm"
0.1,1,20,10000,0.65902935111926,0.391924473859061,0.858330735873566,0.0736957804318708,0.0860763648640036,0.0259489106100387,"SES","BCC-CSM1.1","summer","gbm"
0.5,1,20,10000,0.621666570631536,0.44059674528716,0.733496158505774,0.0762858820005196,0.220350258301547,0.27608661569954,"SES","BCC-CSM1.1","summer","gbm"
0.01,3,20,10000,0.680876473444288,0.391504358991504,0.882174765529708,0.0787645667428135,0.0992167711260458,0.0237179786308173,"SES","BCC-CSM1.1","summer","gbm"
0.1,3,20,10000,0.66126601532606,0.385317025812295,0.856594152531647,0.0698459814088442,0.121510859744866,0.0414963746423578,"SES","BCC-CSM1.1","summer","gbm"
0.5,3,20,10000,0.539614593838234,0.432321703502374,0.644766920200213,0.0732389993009156,0.210417653283435,0.242820914967069,"SES","BCC-CSM1.1","summer","gbm"
0.01,5,20,10000,0.671362922600912,0.372497452176013,0.869460644198347,0.0795687290935306,0.10517496373549,0.0214979516262478,"SES","BCC-CSM1.1","summer","gbm"
0.1,5,20,10000,0.653582540113189,0.351279702781472,0.869282598082296,0.0775846838737222,0.0828405279131276,0.0208596824790174,"SES","BCC-CSM1.1","summer","gbm"
0.5,5,20,10000,0.508906162757972,0.40722540658209,0.612398824891016,0.0373890020307676,0.249401921033754,0.237038632335749,"SES","BCC-CSM1.1","summer","gbm"
