"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.635614045926534,0.380914071459771,0.79728428277796,0.107762133934828,0.168058611911135,0.0971710281069501,"SES","CanESM2","summer","gbm"
0.1,1,20,1000,0.634868321618208,0.363024420385868,0.814211086215842,0.0942541498165033,0.120222114549672,0.0796162759464875,"SES","CanESM2","summer","gbm"
0.5,1,20,1000,0.62994616501488,0.373942047330553,0.803351442466819,0.0957517651804095,0.138926215884045,0.0923573493859738,"SES","CanESM2","summer","gbm"
0.01,3,20,1000,0.641120387549662,0.380078060833404,0.816687830374589,0.0997242030199116,0.155001511117575,0.0769930290216282,"SES","CanESM2","summer","gbm"
0.1,3,20,1000,0.635943613224579,0.3538446810423,0.820869020418361,0.0916914556420246,0.135983252739249,0.0746177350948703,"SES","CanESM2","summer","gbm"
0.5,3,20,1000,0.61495502983685,0.347740160851491,0.795673805757093,0.128615192063843,0.159307374658504,0.0930784823064695,"SES","CanESM2","summer","gbm"
0.01,5,20,1000,0.632593639973537,0.349322985398014,0.83482071173216,0.103309127072135,0.125879123271605,0.075855746622788,"SES","CanESM2","summer","gbm"
0.1,5,20,1000,0.636856337286062,0.334277285929288,0.828142115708389,0.0949340205542309,0.134545392704256,0.0697715121061399,"SES","CanESM2","summer","gbm"
0.5,5,20,1000,0.607208599605196,0.451195559846176,0.700061433479132,0.0673267140798758,0.15602368138653,0.195171889335949,"SES","CanESM2","summer","gbm"
0.01,1,20,2000,0.638643403856483,0.384630378836873,0.804441392941207,0.100838681498014,0.15927296950984,0.0892378098592321,"SES","CanESM2","summer","gbm"
0.1,1,20,2000,0.631577567713181,0.353103762054827,0.816253080650252,0.0960585846255063,0.12573139514947,0.0760673959793242,"SES","CanESM2","summer","gbm"
0.5,1,20,2000,0.633031682040012,0.365404386192253,0.805850265438598,0.0821304006889825,0.120019711306206,0.086700815951419,"SES","CanESM2","summer","gbm"
0.01,3,20,2000,0.639152724074857,0.364303300306705,0.817335084508692,0.0979363075527049,0.145307302525657,0.076302368706764,"SES","CanESM2","summer","gbm"
0.1,3,20,2000,0.629687212656447,0.351244525476015,0.822336192652474,0.090982728634491,0.128762878041513,0.0640202955056437,"SES","CanESM2","summer","gbm"
0.5,3,20,2000,0.611055622069758,0.384822056910545,0.742945798490626,0.100322530767775,0.193217509337986,0.211612461451132,"SES","CanESM2","summer","gbm"
0.01,5,20,2000,0.632216195371938,0.338412641585576,0.834350275377508,0.100510714912686,0.117818170429422,0.0722797541805001,"SES","CanESM2","summer","gbm"
0.1,5,20,2000,0.634548325597085,0.335197921985256,0.828231007841414,0.0918438513858116,0.133652282868348,0.0685661855725172,"SES","CanESM2","summer","gbm"
0.5,5,20,2000,0.546632523897688,0.43855151116932,0.629438765194204,0.0512336844056811,0.166706334100323,0.157354010842756,"SES","CanESM2","summer","gbm"
