"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.643069076554755,0.421548220430509,0.781963887943745,0.102240899982152,0.171304182330041,0.090041317151501,"SES","EC-EARTH","summer","gbm"
0.1,1,20,1000,0.638303203513244,0.382536625446993,0.794895728395192,0.0673003971332009,0.151217341029081,0.101441716462001,"SES","EC-EARTH","summer","gbm"
0.5,1,20,1000,0.614064464786267,0.305878921966217,0.821279369250231,0.0806175853213476,0.0953891755995605,0.0732269304732931,"SES","EC-EARTH","summer","gbm"
0.01,3,20,1000,0.637328808344359,0.352612466108559,0.820655049014493,0.0688181545550142,0.128286716044196,0.0771515346452159,"SES","EC-EARTH","summer","gbm"
0.1,3,20,1000,0.633893975534689,0.355812447801077,0.805774582713328,0.053974748125235,0.133709022523742,0.0948277651364838,"SES","EC-EARTH","summer","gbm"
0.5,3,20,1000,0.599561382664707,0.344699046691344,0.791120113762375,0.0686926766933668,0.174554464326958,0.141072626178407,"SES","EC-EARTH","summer","gbm"
0.01,5,20,1000,0.641621062240353,0.357057627070056,0.824865501910259,0.0719399984299699,0.15840383120222,0.107866652228674,"SES","EC-EARTH","summer","gbm"
0.1,5,20,1000,0.625173882737881,0.321520478319281,0.824176918783104,0.0598650017818909,0.122366231061479,0.0769548049622687,"SES","EC-EARTH","summer","gbm"
0.5,5,20,1000,0.564388513058302,0.385165765027476,0.703717642980835,0.0683215917870002,0.191834259850261,0.219172708601997,"SES","EC-EARTH","summer","gbm"
0.01,1,20,2000,0.641175001467494,0.390182966317268,0.8036791994984,0.0969142418042564,0.153617952430473,0.0815335557917868,"SES","EC-EARTH","summer","gbm"
0.1,1,20,2000,0.636657043587948,0.371795520999526,0.798209376632068,0.0660076851821947,0.14989515357741,0.099104054989973,"SES","EC-EARTH","summer","gbm"
0.5,1,20,2000,0.614542678377297,0.300604909340742,0.828331309793357,0.0799877327727747,0.109608923347595,0.0761611760033519,"SES","EC-EARTH","summer","gbm"
0.01,3,20,2000,0.633358437829741,0.325182501954822,0.836873414301774,0.0678107485364198,0.116138627959335,0.0585540240258381,"SES","EC-EARTH","summer","gbm"
0.1,3,20,2000,0.62857553798755,0.346567890320217,0.810327214237783,0.0543050929374593,0.133847577775549,0.0917405937295676,"SES","EC-EARTH","summer","gbm"
0.5,3,20,2000,0.564946396867251,0.399711404519066,0.692037181401627,0.0845802451274084,0.228417768794643,0.260377999769703,"SES","EC-EARTH","summer","gbm"
0.01,5,20,2000,0.635779606602986,0.326423741206376,0.839203602476811,0.0689103877730298,0.146934832589829,0.0994243846920662,"SES","EC-EARTH","summer","gbm"
0.1,5,20,2000,0.622160012466162,0.317633737867865,0.821327643069493,0.0588268685597446,0.115445081160203,0.0845540465196667,"SES","EC-EARTH","summer","gbm"
0.5,5,20,2000,0.562612112883648,0.384512968292136,0.702920616163001,0.0674344137902095,0.19468331284934,0.219271429606615,"SES","EC-EARTH","summer","gbm"
0.01,1,20,3000,0.640326906731035,0.37260725341892,0.812052971002282,0.0906171690162556,0.138574870347724,0.0769344302295145,"SES","EC-EARTH","summer","gbm"
0.1,1,20,3000,0.633788754898499,0.366804683348594,0.800739895689138,0.0677896791856633,0.14134749412915,0.0909095100663942,"SES","EC-EARTH","summer","gbm"
0.5,1,20,3000,0.611118112926611,0.297053813302755,0.827522316875911,0.0783837489364676,0.107797702201865,0.0683679687688702,"SES","EC-EARTH","summer","gbm"
0.01,3,20,3000,0.631051290167656,0.311224328140884,0.84036233600005,0.0684682921447104,0.112075442436286,0.0561096213242927,"SES","EC-EARTH","summer","gbm"
0.1,3,20,3000,0.63035032272725,0.345620954247883,0.810578099449322,0.0484528940076616,0.133055305430589,0.0912074834477607,"SES","EC-EARTH","summer","gbm"
0.5,3,20,3000,0.551709614395172,0.457583597665532,0.620350891395318,0.0921950547306434,0.222321145855453,0.298390253173636,"SES","EC-EARTH","summer","gbm"
0.01,5,20,3000,0.633932812986951,0.324605522984992,0.839392189245149,0.066464540982282,0.142825187341358,0.0979639839851738,"SES","EC-EARTH","summer","gbm"
0.1,5,20,3000,0.616579372129663,0.324284780973827,0.813031808667125,0.0618104369708759,0.127349338946111,0.087713672387306,"SES","EC-EARTH","summer","gbm"
0.5,5,20,3000,0.544840831151535,0.438083849733086,0.652587516272486,0.0554088517565382,0.222536396218712,0.223986632590118,"SES","EC-EARTH","summer","gbm"
0.01,1,20,4000,0.641594695982642,0.365213953533858,0.816746657864829,0.0882688857924166,0.13858906903724,0.0760539329812329,"SES","EC-EARTH","summer","gbm"
0.1,1,20,4000,0.633291867511432,0.36785410575109,0.798687340067789,0.0672598424385374,0.145678704756497,0.0953830453576697,"SES","EC-EARTH","summer","gbm"
0.5,1,20,4000,0.611293300110602,0.304121452013933,0.823235073308824,0.0748892761516368,0.101933730561782,0.0641738272037828,"SES","EC-EARTH","summer","gbm"
0.01,3,20,4000,0.629745904837595,0.309185002782858,0.843619918339881,0.0688278189807999,0.115125138181773,0.0538340560640473,"SES","EC-EARTH","summer","gbm"
0.1,3,20,4000,0.630449704604232,0.344386476271682,0.811938908155999,0.050201410663436,0.126129619782044,0.0845479282543522,"SES","EC-EARTH","summer","gbm"
0.5,3,20,4000,0.552073207381035,0.456249440153973,0.611544256001547,0.0880589760148185,0.222723296783465,0.292807529624036,"SES","EC-EARTH","summer","gbm"
0.01,5,20,4000,0.63146544234546,0.320496019238071,0.839415843413472,0.0658779623691013,0.141035708359219,0.0949830719566985,"SES","EC-EARTH","summer","gbm"
0.1,5,20,4000,0.608795523242749,0.323137981553203,0.810473475391635,0.0694462491350778,0.125122228104458,0.0812748699315579,"SES","EC-EARTH","summer","gbm"
0.5,5,20,4000,0.543251123128012,0.440014009240556,0.65105020397415,0.0563846714938901,0.219942073892491,0.222093141423387,"SES","EC-EARTH","summer","gbm"
0.01,1,20,5000,0.64141297958998,0.357135535314185,0.820062013611789,0.0860655919281299,0.133865832228063,0.0708297672711799,"SES","EC-EARTH","summer","gbm"
0.1,1,20,5000,0.631695758487226,0.366491116601572,0.796907837816107,0.0688314115640726,0.14140176135376,0.0875317523679286,"SES","EC-EARTH","summer","gbm"
0.5,1,20,5000,0.613990470919475,0.305169439610296,0.820259108338823,0.0744162791882648,0.108506659079264,0.0642599216487372,"SES","EC-EARTH","summer","gbm"
0.01,3,20,5000,0.628772842204719,0.309812382193202,0.842552213021206,0.0678602529387878,0.113802407991051,0.0535893383164289,"SES","EC-EARTH","summer","gbm"
0.1,3,20,5000,0.62939573184769,0.342427057786488,0.81087341678695,0.0500763503816642,0.127003304372994,0.0825044702726786,"SES","EC-EARTH","summer","gbm"
0.5,3,20,5000,0.553735211262374,0.458556312854973,0.610637360176062,0.0901959961451564,0.221262237563292,0.291917632854554,"SES","EC-EARTH","summer","gbm"
0.01,5,20,5000,0.630199522729755,0.313762118672374,0.838970682085433,0.0664004563510066,0.139576071760954,0.101419258155594,"SES","EC-EARTH","summer","gbm"
0.1,5,20,5000,0.607292588415195,0.311638233575885,0.820995166347386,0.0727466014655098,0.119472349859185,0.0798488349683046,"SES","EC-EARTH","summer","gbm"
0.5,5,20,5000,0.542482290517766,0.442266845455877,0.648465000529379,0.0567238533261411,0.216511073844156,0.219038817811462,"SES","EC-EARTH","summer","gbm"
