"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.629250037400597,0.367997748463074,0.815756965131553,0.0276159296768931,0.122893928519108,0.0839546323443254,"SES","GISS-E2-H-CC","summer","gbm"
0.1,1,20,1000,0.611029504821312,0.317069802118364,0.835172536030864,0.0516525027688678,0.107020275595897,0.066485602446324,"SES","GISS-E2-H-CC","summer","gbm"
0.5,1,20,1000,0.593030782472502,0.311409293472187,0.814115291997425,0.0533370615507974,0.098094381217584,0.0600288644735993,"SES","GISS-E2-H-CC","summer","gbm"
0.01,3,20,1000,0.624221784711114,0.310928388874203,0.84814714120603,0.0585793162756067,0.105557935540595,0.0578538151218029,"SES","GISS-E2-H-CC","summer","gbm"
0.1,3,20,1000,0.616581718279153,0.286079753297221,0.858618163598025,0.0595534326441569,0.0805400883720181,0.0386992305310822,"SES","GISS-E2-H-CC","summer","gbm"
0.5,3,20,1000,0.583112910500676,0.3618056717387,0.760743341316312,0.0632688769643333,0.141524892420437,0.164374974248007,"SES","GISS-E2-H-CC","summer","gbm"
0.01,5,20,1000,0.631444072383264,0.319513331851983,0.854447008199321,0.0472407738101787,0.110240802207104,0.0706826157980696,"SES","GISS-E2-H-CC","summer","gbm"
0.1,5,20,1000,0.630450099658828,0.316120894691772,0.864392445057071,0.0610159600285205,0.0925480129902366,0.0383918726265355,"SES","GISS-E2-H-CC","summer","gbm"
0.5,5,20,1000,0.545198463114254,0.289215586622963,0.782182603538521,0.0847289196264658,0.0886156990435593,0.113410438352224,"SES","GISS-E2-H-CC","summer","gbm"
0.01,1,20,2000,0.625351192150351,0.358470173281013,0.823425174106302,0.0379657223556526,0.108161133415551,0.0711903387654369,"SES","GISS-E2-H-CC","summer","gbm"
0.1,1,20,2000,0.609118991965875,0.314904541333227,0.833272272099832,0.0495187574923051,0.100067306707633,0.0652012870577236,"SES","GISS-E2-H-CC","summer","gbm"
0.5,1,20,2000,0.590854710757547,0.318419599347159,0.805625904853538,0.0556045475993874,0.0889245708248999,0.0594972420716468,"SES","GISS-E2-H-CC","summer","gbm"
0.01,3,20,2000,0.62020341029985,0.293755931127747,0.859353056152282,0.0579752755103126,0.10165963872386,0.0515914353579759,"SES","GISS-E2-H-CC","summer","gbm"
0.1,3,20,2000,0.61241406428936,0.288946849776972,0.855084554831353,0.0576613913312817,0.0805785865820112,0.038834564024105,"SES","GISS-E2-H-CC","summer","gbm"
0.5,3,20,2000,0.582520849799373,0.365410138151438,0.755475199841915,0.0591090790990855,0.13129040528947,0.15958566379206,"SES","GISS-E2-H-CC","summer","gbm"
0.01,5,20,2000,0.631637661958625,0.309894385803355,0.86060294555322,0.0561978654567302,0.0956016776799191,0.0566792725573609,"SES","GISS-E2-H-CC","summer","gbm"
0.1,5,20,2000,0.627962317995051,0.309247584079091,0.86567465122661,0.0578590248659997,0.0861322503024491,0.0330322265045495,"SES","GISS-E2-H-CC","summer","gbm"
0.5,5,20,2000,0.547100691998019,0.362951758029656,0.708784037273674,0.0876459071201344,0.195589206647843,0.177621880644904,"SES","GISS-E2-H-CC","summer","gbm"
0.01,1,20,3000,0.623970317516576,0.360400038130822,0.824179258698887,0.0426220769279089,0.104950733422347,0.0651694057515677,"SES","GISS-E2-H-CC","summer","gbm"
0.1,1,20,3000,0.607038831240414,0.314228858922364,0.83077487067969,0.0475101746162253,0.0984156894821601,0.0679513475907561,"SES","GISS-E2-H-CC","summer","gbm"
0.5,1,20,3000,0.593243684875074,0.308512628294414,0.813980335769737,0.0603830851496188,0.0897410874721606,0.0650847016144478,"SES","GISS-E2-H-CC","summer","gbm"
0.01,3,20,3000,0.618051537709623,0.284502178337727,0.861270735822597,0.0567545131260598,0.09385462925902,0.0469348367969571,"SES","GISS-E2-H-CC","summer","gbm"
0.1,3,20,3000,0.610827443530412,0.295046035575996,0.848252571116055,0.059380555956493,0.0770841094335492,0.0368606729431329,"SES","GISS-E2-H-CC","summer","gbm"
0.5,3,20,3000,0.583672554881021,0.36405784305309,0.758392767467075,0.0620058807648925,0.133997286955427,0.161958078638171,"SES","GISS-E2-H-CC","summer","gbm"
0.01,5,20,3000,0.630859552579433,0.305700612029637,0.86449538978518,0.0589930583305354,0.0883075012288904,0.0495440605638015,"SES","GISS-E2-H-CC","summer","gbm"
0.1,5,20,3000,0.624254502223383,0.306291981010272,0.863632894273955,0.0579378522956252,0.079090931122521,0.0313059616277001,"SES","GISS-E2-H-CC","summer","gbm"
0.5,5,20,3000,0.527146727626697,0.346768893416583,0.69420586490856,0.0745923158950332,0.203366340530538,0.170661293115872,"SES","GISS-E2-H-CC","summer","gbm"
0.01,1,20,4000,0.622308610824594,0.355722354982753,0.825371638433522,0.046162676616219,0.101962058781098,0.0598289401251845,"SES","GISS-E2-H-CC","summer","gbm"
0.1,1,20,4000,0.607720108767988,0.31584364428915,0.830727723645294,0.0467568271568235,0.099821450839998,0.0652380646392763,"SES","GISS-E2-H-CC","summer","gbm"
0.5,1,20,4000,0.596337534190135,0.314231099237541,0.814316737268094,0.0533564258169493,0.0849150085106065,0.0639414094276241,"SES","GISS-E2-H-CC","summer","gbm"
0.01,3,20,4000,0.617980524171556,0.28367843387466,0.862083694525053,0.0554674947936773,0.0913144236361644,0.0460600754599791,"SES","GISS-E2-H-CC","summer","gbm"
0.1,3,20,4000,0.611441849506896,0.291821388894629,0.850841650344578,0.0598382816781989,0.0762988870442253,0.0370793233623041,"SES","GISS-E2-H-CC","summer","gbm"
0.5,3,20,4000,0.574428030379059,0.354151203879112,0.75643274496836,0.0664347811544097,0.145556918473081,0.160078606695112,"SES","GISS-E2-H-CC","summer","gbm"
0.01,5,20,4000,0.629954769639103,0.307233685515388,0.86063232091228,0.0614500850504888,0.0915356024734878,0.0537385321777525,"SES","GISS-E2-H-CC","summer","gbm"
0.1,5,20,4000,0.622629397319199,0.305002912493604,0.86040369304318,0.0550402772115791,0.0768799311504566,0.031581861171714,"SES","GISS-E2-H-CC","summer","gbm"
0.5,5,20,4000,0.528047745248505,0.337336951408945,0.697596874180925,0.0773636179246639,0.205275992647681,0.174893895888269,"SES","GISS-E2-H-CC","summer","gbm"
0.01,1,20,5000,0.621159433285485,0.352176870252839,0.827215878502338,0.0471929211399251,0.100108395752942,0.0586060042255452,"SES","GISS-E2-H-CC","summer","gbm"
0.1,1,20,5000,0.608418930748472,0.316128084699164,0.83015674893395,0.0487717300577899,0.0992079985508771,0.0653768368212618,"SES","GISS-E2-H-CC","summer","gbm"
0.5,1,20,5000,0.59314509413029,0.316055444974024,0.80863158899281,0.0509597879736425,0.0769777528412241,0.0612242389088036,"SES","GISS-E2-H-CC","summer","gbm"
0.01,3,20,5000,0.617154713098236,0.28113897254974,0.863678816691428,0.0547863631979689,0.0885135881823387,0.0436209308333228,"SES","GISS-E2-H-CC","summer","gbm"
