"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.652615422731376,0.419237459718411,0.786074515012541,0.104445313535032,0.161703184571672,0.0682798736276767,"SES","MIROC-ESM","summer","gbm"
0.1,1,20,1000,0.662072367999922,0.401552947237665,0.786597151674475,0.0843006101516015,0.111586933011716,0.0536240040308734,"SES","MIROC-ESM","summer","gbm"
0.5,1,20,1000,0.648320991751195,0.371345472919173,0.812415547196542,0.101940784362253,0.146186725255644,0.0636337795885355,"SES","MIROC-ESM","summer","gbm"
0.01,3,20,1000,0.666031370675664,0.377416072243766,0.817254678272287,0.0853349353346889,0.146268216412416,0.0556195853239114,"SES","MIROC-ESM","summer","gbm"
0.1,3,20,1000,0.67231605553407,0.37045132603061,0.821598675462246,0.0721652996564711,0.117640972652407,0.0478425170057668,"SES","MIROC-ESM","summer","gbm"
0.5,3,20,1000,0.617250243684542,0.383972788662788,0.75848503733392,0.0964670577226284,0.177452176371587,0.128987661886001,"SES","MIROC-ESM","summer","gbm"
0.01,5,20,1000,0.662886124457921,0.38020319238081,0.813732195394895,0.10925310325047,0.159573360434058,0.0733861666550971,"SES","MIROC-ESM","summer","gbm"
0.1,5,20,1000,0.651999360741499,0.370540750059218,0.810727042177765,0.105300110128888,0.141634597135329,0.0518763560209618,"SES","MIROC-ESM","summer","gbm"
0.5,5,20,1000,0.609845662806053,0.500806743305866,0.661440864349877,0.0817393490055237,0.136274413449876,0.166503854594556,"SES","MIROC-ESM","summer","gbm"
0.01,1,20,2000,0.657429660018164,0.395370485208484,0.804909941383899,0.102955926540759,0.158162493196828,0.0554887376790543,"SES","MIROC-ESM","summer","gbm"
0.1,1,20,2000,0.657514868245966,0.395541231785902,0.790650442468434,0.0864359963175806,0.111484532935967,0.0499318082003807,"SES","MIROC-ESM","summer","gbm"
0.5,1,20,2000,0.642365002964995,0.375635515317496,0.798863175237856,0.0977693598738326,0.136938250642804,0.0566590816943653,"SES","MIROC-ESM","summer","gbm"
0.01,3,20,2000,0.663166605999973,0.353725896470898,0.829125213386399,0.0874335982037541,0.146663123258859,0.0521665920758043,"SES","MIROC-ESM","summer","gbm"
0.1,3,20,2000,0.665242053688856,0.374333671050306,0.818145229261561,0.0780024643019072,0.112662600805706,0.0437504615561273,"SES","MIROC-ESM","summer","gbm"
0.5,3,20,2000,0.59518802552307,0.418218953971767,0.712484409195811,0.084706849437839,0.216948037666516,0.177101705996029,"SES","MIROC-ESM","summer","gbm"
0.01,5,20,2000,0.662437024468887,0.373091728840802,0.819364561812752,0.109461378378473,0.149515730675701,0.0711307283579472,"SES","MIROC-ESM","summer","gbm"
0.1,5,20,2000,0.645758111313471,0.36485955302634,0.808024083654098,0.102668508394354,0.132685820499875,0.0491812976592103,"SES","MIROC-ESM","summer","gbm"
0.5,5,20,2000,0.576744089583541,0.512090001257216,0.60845670927749,0.0858605343535765,0.202912907188849,0.187181355539431,"SES","MIROC-ESM","summer","gbm"
0.01,1,20,3000,0.658075485827501,0.3856491545913,0.81375688472067,0.107154424760979,0.160766663907019,0.0518375823760366,"SES","MIROC-ESM","summer","gbm"
0.1,1,20,3000,0.654939197227368,0.393076348862261,0.791010918192798,0.0886643732258504,0.111014171456592,0.0468022182877665,"SES","MIROC-ESM","summer","gbm"
0.5,1,20,3000,0.634164513731012,0.3771595218052,0.789269762023664,0.099982712330154,0.14878090793824,0.0886289548108899,"SES","MIROC-ESM","summer","gbm"
0.01,3,20,3000,0.662073976621698,0.347461246162515,0.832867238916461,0.0884050912664612,0.143378313787124,0.0502708067390471,"SES","MIROC-ESM","summer","gbm"
0.1,3,20,3000,0.66242811117776,0.379436842310619,0.814395513044436,0.0771167620338942,0.113122103976041,0.0461273334492039,"SES","MIROC-ESM","summer","gbm"
0.5,3,20,3000,0.596660629969549,0.41507122666592,0.720827479867063,0.0856398558418575,0.219939700564248,0.18204793980224,"SES","MIROC-ESM","summer","gbm"
0.01,5,20,3000,0.661818666514849,0.369891409171973,0.818640964927369,0.106691906077187,0.14706271533647,0.0713225402529155,"SES","MIROC-ESM","summer","gbm"
0.1,5,20,3000,0.646400432180386,0.37151205350426,0.80295478205556,0.0991937278740351,0.124954506341697,0.0488381092721715,"SES","MIROC-ESM","summer","gbm"
0.5,5,20,3000,0.57814470902451,0.515558049756334,0.607889671022997,0.0851504317093537,0.203076380111188,0.187147875475336,"SES","MIROC-ESM","summer","gbm"
0.01,1,20,4000,0.657237220342397,0.380948203077788,0.818584639788452,0.109349540177538,0.162006854406844,0.0501754310161087,"SES","MIROC-ESM","summer","gbm"
