"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.565271831030982,0.355472796834544,0.739992441477928,0.0532993399111107,0.156709118998023,0.148287406808825,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,1000,0.556942224997005,0.297807754923953,0.78225819809986,0.0564686245721501,0.117720255619053,0.119210754009499,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,1000,0.561788133156134,0.311161347649652,0.771842340845662,0.0517134456767593,0.096023803830735,0.112302918441175,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,1000,0.571929410302187,0.322644302004682,0.77212752323498,0.0555040301534989,0.131580504524838,0.126556678502747,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,1000,0.561984620253241,0.309528746169195,0.776046485357397,0.0529587085258746,0.0929816612846553,0.107280945508441,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,1000,0.548738183173437,0.282059009536663,0.786179796755725,0.045689504692716,0.100054700537163,0.0975277041134978,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,1000,0.56331606333964,0.270693396258789,0.80662275268693,0.0533956141593646,0.11613788625434,0.116144348100816,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,1000,0.552310923216185,0.268354929538749,0.798622624999727,0.054036305956255,0.0990902148566284,0.101784998398398,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,1000,0.554930284707168,0.295780459705649,0.776420103854507,0.0416629905165295,0.0879419048640431,0.0897141388457302,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,2000,0.568463059034694,0.346296656576434,0.749279958072845,0.0505746190680065,0.143542420379757,0.134369675304107,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,2000,0.554717284155962,0.293188067825943,0.783579697711043,0.0549871104090692,0.107921366981672,0.115589940861148,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,2000,0.556371334759705,0.298948227622338,0.777837976931857,0.0544689276854364,0.093183593947332,0.10728619060589,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,2000,0.570054381201339,0.301688108482123,0.785589676512312,0.0552706356087876,0.124182681636807,0.123298267347891,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,2000,0.558562932296963,0.304429658636272,0.776610324826937,0.0518173141793759,0.0897049960049302,0.101626202160954,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,2000,0.540409303329358,0.275036578314624,0.784680340918069,0.0473389227046212,0.0907517383453461,0.0985540381067438,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,2000,0.561197658397172,0.283765092789791,0.794198258439005,0.050704462782645,0.107115018290261,0.108575311573267,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,2000,0.550780152408109,0.285037025452715,0.784397605382102,0.0531202046703869,0.0947281961180997,0.0976162757467065,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,2000,0.551404212696423,0.298237194190669,0.772415119851904,0.0425697075681058,0.091974099885212,0.0857380336389771,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,3000,0.568006391343662,0.335035338786132,0.756510610579232,0.0495951469226182,0.142789014778849,0.132528941501508,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,3000,0.552756225433244,0.286961344532644,0.787564360123868,0.0555688315393627,0.100557095672619,0.11073407997401,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,3000,0.559605880193468,0.304479886772715,0.773181334597982,0.0533883969807368,0.0931260353231487,0.10457572889972,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,3000,0.568482478597009,0.299377213284532,0.787424350610568,0.0547784442894458,0.122776618526909,0.119496618878602,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,3000,0.554213311638048,0.292538782483553,0.783824527627511,0.0550821664448659,0.0970158885960754,0.103199794017225,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,3000,0.5480801320539,0.278593287610728,0.782622280310963,0.0491156098304532,0.0910248333798972,0.0967580088256951,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,3000,0.559712128596837,0.283626258093743,0.793069232755988,0.0489488908701238,0.0993288965375027,0.106630241247987,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,3000,0.551104182035651,0.285717086646699,0.783273970367016,0.053426333540091,0.0973771239131883,0.0986955594877418,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,3000,0.549732227466603,0.306807715011525,0.767570580976628,0.0429407038777647,0.0871799090774442,0.0831814264426398,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,4000,0.566100078067107,0.333291230900614,0.758732339259871,0.0502913719670271,0.135937172003174,0.124878756245658,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,4000,0.551735173316002,0.284535061742284,0.787637183562667,0.0556236992475258,0.0969885862325095,0.10992170817818,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,4000,0.557579680553632,0.284602804527139,0.787083838360278,0.0528959647537261,0.0911638104291561,0.0986510388538079,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,4000,0.567313061402083,0.297905335072884,0.785705850175062,0.0532072162972837,0.113730967380984,0.115480977201556,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,4000,0.551536737148586,0.29061892485191,0.782552178574392,0.0549030393201853,0.0982448976345974,0.102927517390923,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,4000,0.550275890444615,0.290076324488324,0.774610087344617,0.0519912164202418,0.0928219420599604,0.0924279303248049,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,4000,0.558511359687279,0.278791632201187,0.794893234609815,0.0481451702840465,0.0949176546754924,0.105240268990042,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,4000,0.549547929701514,0.284658419787191,0.784629263047105,0.0533969712414992,0.0959042880185146,0.100760950538279,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,4000,0.548855403747668,0.315108270225162,0.762028540689663,0.0440632691906975,0.0923925925114417,0.0876813756795272,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,5000,0.565198428130209,0.337738763380528,0.75701570021979,0.050633423022567,0.129280220162216,0.121274534860537,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,5000,0.551872995405069,0.277312576033683,0.793119399778013,0.0540425705422097,0.0963843037638796,0.112541059436866,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,5000,0.554288540193888,0.290480069630273,0.782334410751703,0.0552741095178431,0.0899328161569286,0.100898283797042,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,5000,0.566430828942829,0.294769474627496,0.787008338619471,0.0529323684801171,0.112054095482887,0.114518503099596,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,5000,0.552034461734552,0.296172204734145,0.778850601818736,0.0540362624323658,0.0922206976692868,0.100575291110506,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,5000,0.543794136355001,0.271567977082011,0.786835627125252,0.0496536250962035,0.0900802298531343,0.0950159944255367,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,5000,0.557830274626983,0.276473072309389,0.795628248444752,0.0471843479850558,0.0945884074272967,0.103692435570962,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,5000,0.550365705532491,0.28658861585533,0.782318182870657,0.0507526785468997,0.0957847943235974,0.0996815346806174,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,5000,0.551821159822492,0.306731769164809,0.76937744464208,0.0438437111526469,0.0881642330065003,0.0889189697266589,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,6000,0.564044875532632,0.333471069155341,0.760917120664094,0.0508362720203415,0.128246905837472,0.121205664976679,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,6000,0.552281109684376,0.283265705333566,0.788448892695013,0.0527186971018198,0.0947592617894611,0.109103389658002,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,6000,0.551964336637538,0.294398619526302,0.778588448243022,0.0524764232707163,0.0883128794837857,0.098798670484707,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,6000,0.566167803882489,0.293284013998934,0.788061301123457,0.0524755918491555,0.109066915213791,0.111534969468947,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,6000,0.553054533315898,0.298612732619595,0.776746255679366,0.0527266263927882,0.0940243099595444,0.0980831549650847,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,6000,0.546862871559474,0.273319608874896,0.784691051661501,0.051458510749638,0.0857448067549736,0.0926048169096554,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,6000,0.557250509386077,0.276591815758414,0.795505622256017,0.0468731383886377,0.0927373266484217,0.100814213568878,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,6000,0.549766902158464,0.278403845608656,0.786572968707121,0.0504899531119069,0.10070957766527,0.1012114409684,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,6000,0.549300114031533,0.308490167751544,0.76575177641831,0.0413469447234603,0.088130332376083,0.0912890257511426,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,7000,0.562985017163079,0.329827630714013,0.762439337557499,0.0514020613376872,0.128891146211969,0.121479254734157,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,7000,0.550548960595738,0.276363730980017,0.793194272102768,0.0520475535066073,0.0922977370301987,0.110032366156681,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,7000,0.549733653188361,0.289747303535037,0.778844921517648,0.0502864546688301,0.0875668602241982,0.0959431378164964,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,7000,0.565589626269096,0.291085005101948,0.789042087700484,0.0520135404385882,0.10714857087159,0.110055481060544,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,7000,0.55268031766982,0.298477330028259,0.776173779823406,0.0524668963978027,0.0929939632155558,0.0997119192024586,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,7000,0.546556303036565,0.279794602426316,0.780488462138604,0.0506743034071971,0.0916581915270579,0.0934925979314752,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,7000,0.556449741571304,0.275500905295742,0.795257153456985,0.0463365373973176,0.090923856268003,0.0996779745563486,"SFS","ACCESS1-0","summer","gbm"
0.1,5,20,7000,0.54973791549152,0.284950838472467,0.78059887133216,0.0508213292166564,0.0937986464080467,0.099183351339789,"SFS","ACCESS1-0","summer","gbm"
0.5,5,20,7000,0.551082122246881,0.345506456745439,0.732552599340501,0.0432407981201502,0.112565321077529,0.121308678015191,"SFS","ACCESS1-0","summer","gbm"
0.01,1,20,8000,0.56214139144119,0.325781766406396,0.764626106612205,0.0518257176262776,0.127032980242598,0.121518792518464,"SFS","ACCESS1-0","summer","gbm"
0.1,1,20,8000,0.55027249864479,0.276063180787605,0.793022875814749,0.0515094246112946,0.0927958076663517,0.110466198290771,"SFS","ACCESS1-0","summer","gbm"
0.5,1,20,8000,0.549353457304451,0.281479270953123,0.784902340939354,0.0521683086306184,0.0936553736365647,0.0981630234633481,"SFS","ACCESS1-0","summer","gbm"
0.01,3,20,8000,0.564958209956081,0.287079277092105,0.791818453927793,0.0516192002319285,0.10842606802919,0.110189843126729,"SFS","ACCESS1-0","summer","gbm"
0.1,3,20,8000,0.550138110613474,0.302769655303793,0.7732665166016,0.0530138998941351,0.0958727205473855,0.0985164327091555,"SFS","ACCESS1-0","summer","gbm"
0.5,3,20,8000,0.546564243093825,0.273344181725828,0.788096572152304,0.0466394522051703,0.0877336988529852,0.0906941017995068,"SFS","ACCESS1-0","summer","gbm"
0.01,5,20,8000,0.556023798518962,0.268790831981375,0.800838455259965,0.0457218404232145,0.0931734182062088,0.100979050007743,"SFS","ACCESS1-0","summer","gbm"
