"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.580940529453206,0.422338970787384,0.682403124412352,0.0561754971423455,0.166584567781392,0.187981100206361,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,1,20,1000,0.582423086956599,0.383939100967896,0.726169230952403,0.0598931517132136,0.120858012129966,0.150004794039955,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,1,20,1000,0.574555591163246,0.362348035515117,0.741834696545194,0.0581868677097437,0.122767286887152,0.139723136734191,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,3,20,1000,0.586731413761642,0.39498652083501,0.728947692681671,0.0616891720107166,0.117826700768383,0.150846635262934,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,3,20,1000,0.571986539942164,0.356215340024438,0.737862249168038,0.0605445469356225,0.107831414533212,0.122904221367641,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,3,20,1000,0.565765569125637,0.340554370050546,0.744560158024564,0.0548549817073429,0.10356769318551,0.118850181803628,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,5,20,1000,0.584593182340323,0.365798516993903,0.747778842895263,0.058655503814102,0.106650998271072,0.138472581615821,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,5,20,1000,0.576540821353005,0.346637762495987,0.749078388172902,0.0599160790023306,0.110452404118486,0.123484052823523,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,5,20,1000,0.566648229426224,0.347637757499897,0.736053875766066,0.0544965879298126,0.0859321490840146,0.104552916825124,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,1,20,2000,0.586354496222408,0.426148137018676,0.684972334783439,0.0599626253314195,0.152085296361313,0.184135670929518,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,1,20,2000,0.57882308831218,0.373126684641767,0.737613951499207,0.0579237387202977,0.120435041720544,0.14437585366719,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,1,20,2000,0.572727083491506,0.352943121984146,0.748482658377505,0.0568915348454933,0.110492951044324,0.129408831611106,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,3,20,2000,0.584991959396978,0.381073462450317,0.739374367957054,0.0624308550012438,0.0950088001460288,0.129184838381106,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,3,20,2000,0.568154288006373,0.34315168066303,0.743311588173406,0.0590439290204311,0.101672154748184,0.119189571200996,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,3,20,2000,0.570612342324239,0.335467705942497,0.744406907640794,0.0561520452386917,0.095508118584691,0.116763321411803,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,5,20,2000,0.582248219105155,0.347913820104088,0.756796975103723,0.0568215000988712,0.100932108713117,0.131836334621707,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,5,20,2000,0.574088840809866,0.34555970290282,0.744568302039229,0.0589221648710967,0.107961733878379,0.115178033658969,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,5,20,2000,0.565786597819922,0.346759192140934,0.735712477301131,0.0549356328836965,0.080195293168767,0.105650984518976,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,1,20,3000,0.586444609642533,0.40295028810949,0.708295714090047,0.0615144729929038,0.1492867478872,0.171669510795703,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,1,20,3000,0.576901584386015,0.376632681379318,0.73525936264177,0.0578428436422897,0.11254229722851,0.139846443819055,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,1,20,3000,0.568988515113977,0.354769205826686,0.744190380064382,0.0568306451221126,0.113506011578744,0.12450276011541,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,3,20,3000,0.583511100949607,0.375037416293429,0.743292452889782,0.0620446328952312,0.092287784611288,0.125574079015809,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,3,20,3000,0.568225077085996,0.344656060587974,0.741166573450407,0.0568623388057496,0.103187942781834,0.114174526408448,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,3,20,3000,0.568017123241976,0.353652598637659,0.730149831706896,0.0569755349751324,0.098214884138965,0.112905174859113,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,5,20,3000,0.581142584688127,0.342833058793437,0.758117461529649,0.0553261583452294,0.099918265401451,0.128974942966161,"SFS","GISS-E2-H-CC","summer","gbm"
0.1,5,20,3000,0.573317332670692,0.352027920092593,0.739755380729212,0.0582837367375427,0.104073081343473,0.112244617237518,"SFS","GISS-E2-H-CC","summer","gbm"
0.5,5,20,3000,0.5643260110228,0.349845453257186,0.730466253913154,0.0595898304218035,0.0883855276169036,0.110816477548327,"SFS","GISS-E2-H-CC","summer","gbm"
0.01,1,20,4000,0.586002571090633,0.398637886620869,0.712849576658176,0.0621317512509623,0.147982530723402,0.169838865878371,"SFS","GISS-E2-H-CC","summer","gbm"
