"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.743251980795069,0.580898602009798,0.765693740692457,0.0378322306383259,0.12616272083207,0.0709238020660378,"SFS","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.724363257634218,0.482066245702957,0.815402392647704,0.0397746514632825,0.107310618807363,0.0441829403330389,"SFS","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.703311637672154,0.414160702362255,0.834611009337522,0.0422443276954158,0.0916325572814397,0.0323450066945014,"SFS","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.735517803645367,0.492223324148917,0.818245516511555,0.0451077665272454,0.115120732479698,0.0360704018764886,"SFS","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.701203577175759,0.367416588821291,0.854146383504367,0.0438357335272217,0.073138917063881,0.0257974421483388,"SFS","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.683128021680624,0.342702781611017,0.850326396031208,0.0400644372500801,0.0680185521591678,0.0270963951089908,"SFS","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.726530287669396,0.457538685158162,0.834373386387178,0.0483442985922251,0.0991116842862829,0.0328217933658958,"SFS","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.697246798399742,0.343428405865897,0.864829972511531,0.0456050823985197,0.0804813167906452,0.0242892625207583,"SFS","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.682893556919827,0.321069592754557,0.858062118830402,0.0356038974541664,0.0738886102532541,0.0222204936139964,"SFS","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.740475677782571,0.548851776108918,0.785605274303499,0.0383758500447335,0.117278549867279,0.0515671116558931,"SFS","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.716563127948082,0.455967906698092,0.824062444838131,0.0412278432335736,0.100791369248948,0.0397417721793637,"SFS","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.693969255997758,0.390570234479112,0.839763504033141,0.0417845683682157,0.0850463675408044,0.0311831053386953,"SFS","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.726780381861514,0.453155711275878,0.833919677145111,0.0455297337539212,0.103134824977425,0.0331843468118893,"SFS","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.698021320166514,0.34825108213797,0.8586142806101,0.0409810681949554,0.0703962130642104,0.0239543634178299,"SFS","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.6810471939942,0.33299593384228,0.852895211237494,0.0420645154673297,0.0708958436784754,0.0248847361656357,"SFS","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.716375207726091,0.406797825412449,0.846626681355626,0.0472421432721446,0.0843763479706291,0.0274085495119567,"SFS","ACCESS1-0","winter","gbm"
0.1,5,20,2000,0.694194006464714,0.328240207994172,0.865246940684699,0.0442430055901146,0.0775673191244724,0.024703117425716,"SFS","ACCESS1-0","winter","gbm"
0.5,5,20,2000,0.680160700699148,0.315706217949632,0.856221126670016,0.0374829548496094,0.067619202730359,0.0214310909507324,"SFS","ACCESS1-0","winter","gbm"
0.01,1,20,3000,0.736572786785657,0.531302700560939,0.793035338111584,0.0385664305411491,0.112728764634128,0.0497110728054395,"SFS","ACCESS1-0","winter","gbm"
