"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.813884911425005,0.602850102422902,0.823198717010714,0.0620165984012572,0.180388462690298,0.112077415248325,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,1000,0.769641168853351,0.565990218933255,0.840173497847403,0.109614795919863,0.200673022100728,0.120364757880254,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,1000,0.758495796280515,0.498892314034221,0.850679521264764,0.103571694489534,0.18627642443233,0.110112037160897,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,1000,0.798861902307986,0.566230608707135,0.838848795536932,0.0772998916880587,0.238508555187273,0.113663821384709,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,1000,0.776952317082766,0.525747265303384,0.847831757831189,0.0851578989781704,0.239802105621159,0.11044991806292,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,1000,0.754192835534577,0.492311710468196,0.824281745177932,0.0834036558385129,0.230934918969432,0.158594805146391,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,1000,0.798940405808273,0.545357312540633,0.851843844010818,0.0867453310047164,0.244546265035367,0.114135096205366,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,1000,0.764327147357264,0.488750292796271,0.844497870832427,0.0821679202631842,0.227435129517301,0.119295141657883,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,1000,0.752422504916957,0.477118096422446,0.866840809758109,0.0930044820946755,0.210784608555631,0.0460500782859348,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,2000,0.80467057075474,0.589831935766681,0.829140155258485,0.0715589014585143,0.182861355602304,0.115590223053028,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,2000,0.758828662140989,0.555649243432548,0.843408753593918,0.113767536252719,0.209483676564423,0.11677340894378,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,2000,0.758462116314559,0.47930145813339,0.871647588117876,0.0861380790373035,0.186694592252577,0.0523086935559364,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,2000,0.794300099494487,0.540948258935324,0.86513562668567,0.076610108707134,0.229226500937875,0.0586552197416385,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,2000,0.769483657653736,0.515842899773134,0.86265327327699,0.0857855075126914,0.226824783379395,0.0616401874976488,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,2000,0.745921638839446,0.463205929622911,0.845796250466289,0.0739826045351358,0.199848367501366,0.107480342468889,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,2000,0.7925643566527,0.514617070359451,0.856456273395294,0.0835814898392719,0.249508477198668,0.115784657506324,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,2000,0.764791205563068,0.452434317574535,0.868187558456814,0.077921231135922,0.194841849058058,0.0529291639244157,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,2000,0.750148957098616,0.43108004866163,0.863149481785686,0.102697752215529,0.230625919474318,0.0703390681588317,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,3000,0.798977125266976,0.573585498280563,0.830619531664201,0.0749103307899067,0.2096552661295,0.106071310406359,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,3000,0.759268855807225,0.551997671100856,0.842042735343521,0.105948700837546,0.209895703811937,0.113751001571584,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,3000,0.748289942993837,0.47482957930089,0.847370218423802,0.107267264679322,0.167078801343224,0.115340326390569,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,3000,0.791388048310628,0.534585078815135,0.867190329950975,0.0753529708825002,0.223138242616145,0.0563157359488113,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,3000,0.76781897317448,0.511326909783687,0.859255674766875,0.0822659530954212,0.225232741569614,0.0679863993835944,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,3000,0.736496993223237,0.461992671547968,0.860664401518355,0.0851849955673085,0.179542268990952,0.0494285459686251,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,3000,0.789834581749676,0.510203572598893,0.856354059949217,0.0801219847386988,0.252423957991522,0.116241228078079,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,3000,0.760969422709443,0.445290921201959,0.873125505120583,0.0751701238219292,0.200194046140689,0.0556849465427734,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,3000,0.673017501399044,0.399466371356537,0.812658296282798,0.152514938810817,0.205259065505154,0.138805244747618,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,4000,0.794257563540634,0.563685594437819,0.833774517857347,0.0801249084381435,0.218808460990968,0.106847184954707,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,4000,0.756215724344609,0.503065454981523,0.860404820552231,0.103322753444341,0.213368825173024,0.0531020538353341,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,4000,0.739643276894822,0.476882528588119,0.836833070572026,0.101942138327381,0.164004982666665,0.102460029064561,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,4000,0.789815383134255,0.532240067749331,0.870680069233583,0.0742585214060017,0.22422036593243,0.0553801575679293,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,4000,0.766140122398657,0.510721081789041,0.843822220713353,0.080066796315626,0.221813150882269,0.113111611630671,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,4000,0.719252779169367,0.43926092784161,0.850899096897345,0.0747032043825098,0.161817870851974,0.0631794057801048,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,4000,0.788284120977717,0.500663117688026,0.87033811881883,0.0783657433343064,0.244027638084206,0.0593128967884471,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,4000,0.75732749959984,0.421048974503151,0.877620721624436,0.0742659035128182,0.207979116448672,0.0618308120094572,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,4000,0.660471403236222,0.413886955808185,0.783350695651535,0.147820200294133,0.225034073389551,0.143953567720861,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,5000,0.791477540347303,0.565863071167472,0.830908922002625,0.0818626510696944,0.222074005737035,0.110436769976543,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,5000,0.760876758901059,0.492922061614226,0.864953705080579,0.0875364620383255,0.208317692176084,0.0585395037849124,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,5000,0.743671828179724,0.427714583687018,0.872516540437903,0.0809691696292617,0.177037481404824,0.0376825686993719,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,5000,0.788403122360147,0.533568034756215,0.869142777361594,0.0725456828092405,0.218834566250828,0.0526521781916,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,5000,0.762734326265678,0.514194754840164,0.838883103168934,0.0828567980545586,0.224243686084101,0.115587261401105,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,5000,0.709858424910113,0.464546956100725,0.816944372581898,0.0790738903668622,0.188489952510719,0.120489245644575,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,5000,0.785057623729793,0.496627124158222,0.869143703718271,0.0778043233813501,0.243203984262549,0.0576398593556089,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,5000,0.7539778890738,0.407146228670399,0.876072098204329,0.0715923838350285,0.22462313056117,0.0590444413517399,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,5000,0.645923746564882,0.404265369792702,0.788210178720868,0.138970844317963,0.190704941082203,0.147129468116626,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,6000,0.787788477647811,0.558146010819927,0.836755511427938,0.0861988578073308,0.220856489613951,0.111651689229328,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,6000,0.760399916251767,0.483753529665773,0.868924734751259,0.086744477297661,0.210941842695065,0.0444021149621444,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,6000,0.750048538462543,0.445641532395616,0.873890930498801,0.0713495509707396,0.196584064861982,0.032695276156397,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,6000,0.787373676335594,0.528177024589624,0.872677659541533,0.0713183185080177,0.221226807317165,0.0541143845961996,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,6000,0.761938418451821,0.503071694426684,0.843319596288672,0.0816410653357053,0.218141281214301,0.114571185817838,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,6000,0.675730737696065,0.384871889346421,0.819488761109658,0.142117873500915,0.19231258067581,0.123643215772305,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,6000,0.783270465675581,0.490218800243547,0.869993716887516,0.0775156145005665,0.24083648342024,0.0585237538348704,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,6000,0.749455025525436,0.404196643475835,0.869990146313199,0.070297692170029,0.223486537794747,0.0608716036038721,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,6000,0.627551569320544,0.428508736891861,0.771012776221851,0.140617269154605,0.163870991719903,0.142375478637719,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,7000,0.776441844305291,0.550023513803423,0.836879116951853,0.106877582928518,0.226640718580662,0.112205904448929,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,7000,0.758920846351231,0.488289253803345,0.865442598806106,0.0871007833618298,0.206154788145925,0.0612840631411918,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,7000,0.749846467397866,0.439171173627565,0.874512750436332,0.0708311206458252,0.176513216133048,0.0324956243287563,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,7000,0.786222839480765,0.493116012497454,0.877509424935822,0.0703630832884793,0.226026808057434,0.0484194032816503,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,7000,0.75406675602179,0.498105930445695,0.846160380885687,0.0925665623164525,0.211959891494924,0.111044306565221,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,7000,0.672974025217148,0.488908701276993,0.722795308471542,0.150072774896821,0.226195014523549,0.254887946471159,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,7000,0.779580918303716,0.489620821433268,0.868226117970937,0.0788699791934832,0.247450672948725,0.0589680249926324,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,7000,0.750580937721814,0.409911974400382,0.861006085223187,0.0695233497372294,0.231550887789079,0.0982242364120413,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,7000,0.616769867198115,0.457048107716867,0.719442699898564,0.147687626610731,0.199756182342413,0.233050130184466,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,8000,0.775101378052057,0.548332611569856,0.83776982327019,0.107750456112059,0.224881119814026,0.112407952012409,"SRP","CMCC-CM","summer","gbm"
0.1,1,20,8000,0.759119819800646,0.482212576036806,0.870640095735725,0.0835069318051384,0.211138183583172,0.0469593901529928,"SRP","CMCC-CM","summer","gbm"
0.5,1,20,8000,0.746132016995713,0.43913692753899,0.871883134538778,0.0705272202786418,0.208546604853561,0.039347876098267,"SRP","CMCC-CM","summer","gbm"
0.01,3,20,8000,0.784737781468596,0.493347468635882,0.874729365299547,0.069875683545703,0.225676216384458,0.0464994332090478,"SRP","CMCC-CM","summer","gbm"
0.1,3,20,8000,0.752969456340533,0.502671857804125,0.840358304945341,0.0948533536864474,0.21585855569242,0.115223629984228,"SRP","CMCC-CM","summer","gbm"
0.5,3,20,8000,0.677229119617568,0.500435147757706,0.727181223987833,0.151446331067813,0.213239186373046,0.256808818760871,"SRP","CMCC-CM","summer","gbm"
0.01,5,20,8000,0.777845383010165,0.486802488111676,0.871224888875324,0.0792603635976094,0.247492401647289,0.0577840240553493,"SRP","CMCC-CM","summer","gbm"
0.1,5,20,8000,0.750612312520054,0.401563893038485,0.874142799772105,0.0667226089956356,0.223510828653017,0.0548526700305126,"SRP","CMCC-CM","summer","gbm"
0.5,5,20,8000,0.607538288633937,0.432980748863818,0.730646611726611,0.135354832415486,0.185944856508919,0.238754369663923,"SRP","CMCC-CM","summer","gbm"
0.01,1,20,9000,0.773044514675174,0.549551696298516,0.837025558272349,0.109152871732527,0.224015067280391,0.113343836539438,"SRP","CMCC-CM","summer","gbm"
