"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.726425747966598,0.649263326601658,0.635399164299925,0.181471012791149,0.179237131730893,0.283725955919074,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,1000,0.753553063161974,0.634228840212714,0.708108575855539,0.0777126857347545,0.21813826631453,0.215861099012637,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,1000,0.726758534637955,0.583381386932866,0.727175864942487,0.102512156792721,0.203950232528915,0.205017491053146,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,1000,0.719028146673619,0.572557342951647,0.693618362508143,0.119587225303954,0.242781135960931,0.268695998411492,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,1000,0.699233165703164,0.507983021783598,0.745081879673899,0.118983832980858,0.209443001961742,0.225601051026651,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,1000,0.657207570354569,0.447022561638023,0.774938315561666,0.151568941565382,0.244977015121587,0.148959679721985,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,1000,0.703159840079458,0.550468296471501,0.72024311845361,0.160660145478739,0.292299197042358,0.251633060289615,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,1000,0.675531906011638,0.503194103675813,0.713991860842625,0.137714902571623,0.256494668576729,0.250225066523577,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,1000,0.666184197239667,0.435550903435878,0.774191710827212,0.130056075985486,0.218374722465358,0.134724445797524,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,2000,0.727055920238652,0.643563807654201,0.650105053807187,0.155996119256101,0.195981317470311,0.257696547156431,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,2000,0.749616087140821,0.602230591987278,0.739209136800435,0.0920369122659278,0.216031912424006,0.187289363620565,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,2000,0.717456887908005,0.557520066384337,0.763113576306983,0.12946814288945,0.198640599455154,0.176695484844305,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,2000,0.704610677920537,0.556254179029489,0.695683259488469,0.123978978862004,0.237453043203678,0.251318758711966,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,2000,0.685155046115824,0.49711141807107,0.740174679166933,0.111236719625762,0.218152428174507,0.231166290593023,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,2000,0.652682549245911,0.453999351113693,0.749989312522739,0.154703785004283,0.269274840987846,0.168998466636222,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,2000,0.693029934931851,0.517881420454609,0.730258582462039,0.161999774503621,0.296327410065607,0.256803269347528,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,2000,0.670652310215755,0.471486077755001,0.721043319893407,0.142672845084215,0.233118899051389,0.233032493045813,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,2000,0.641435922728993,0.355231173018439,0.806700680320796,0.142733186102402,0.230334856027556,0.141623577663551,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,3000,0.727016259547527,0.630228894570935,0.655421443530817,0.148171633342592,0.1962877433583,0.256147478856879,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,3000,0.750062991928154,0.590189272377922,0.752619449677226,0.0856053962758331,0.209572632103912,0.178241394924436,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,3000,0.735927315197468,0.555938949765264,0.771889291501097,0.0804935471830914,0.190437568857975,0.150929344463877,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,3000,0.7020535530587,0.54476970392738,0.701600657918763,0.121803676060743,0.239926249309295,0.248943339959636,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,3000,0.695533993383014,0.502629395707113,0.736375581720926,0.109140963561081,0.213359237594869,0.225212846122637,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,3000,0.637907152003467,0.396854508304579,0.777759349201251,0.170576123188499,0.271963823541605,0.137668085350433,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,3000,0.686554029378127,0.504788387901977,0.731098461514075,0.168233989702696,0.287222348550327,0.245200905705306,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,3000,0.651831507267672,0.475937738367483,0.705994804627749,0.165420706411387,0.242302759048536,0.241696182095759,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,3000,0.627234918742977,0.35270540026435,0.792162768030042,0.141649357327169,0.23731267394415,0.136799942992796,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,4000,0.728381735831292,0.625145506318894,0.660416974618786,0.139100408227065,0.204482442089811,0.254311048175795,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,4000,0.743295483987773,0.559158710056183,0.777278304403929,0.0897880170446226,0.206855664845136,0.14644571760212,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,4000,0.741267280138259,0.554958094356395,0.785675418119835,0.0739559236746038,0.193022709320843,0.140600340263923,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,4000,0.695493573469726,0.540297828786754,0.705410840949486,0.125279835291483,0.248277295431435,0.241484629486585,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,4000,0.69656981850447,0.499945053151768,0.737729675280262,0.105790685987755,0.220053285794384,0.227216636310363,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,4000,0.654007351505576,0.455702494285279,0.761737812612585,0.136849550745515,0.260254973948578,0.141275517915978,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,4000,0.681009280213046,0.48543515700826,0.738648936515484,0.169433889043474,0.278905069519993,0.241517831325902,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,4000,0.650528115793733,0.475038518383002,0.711783620474197,0.162184493470816,0.226813708152409,0.240603741806402,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,4000,0.624937886468928,0.352430869304034,0.787575140674238,0.132788777378253,0.244347381999648,0.14866066727996,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,5000,0.727516914262614,0.623793420085771,0.666422866154522,0.135382229651088,0.193993985272042,0.248079393514757,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,5000,0.739726638305665,0.553678262540002,0.780635373858904,0.096532295391774,0.207293954904882,0.146018849480362,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,5000,0.740606118543596,0.549762864129499,0.795827305654218,0.0713503190329483,0.19703939649405,0.113087509953927,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,5000,0.69305664792364,0.53661080769414,0.709315395615821,0.124168110823247,0.248477413284611,0.23643630328983,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,5000,0.693861774806099,0.500760021775565,0.736448721114076,0.11085911571101,0.223968886146829,0.226960158682685,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,5000,0.638195957981166,0.399065073762749,0.774333610945306,0.156118541923689,0.266553312985886,0.133572802587635,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,5000,0.677563269407499,0.481580246051605,0.739455655542808,0.172329809151456,0.280299079762379,0.241915252234268,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,5000,0.642544121353508,0.478326744398539,0.702896612345721,0.171481327296264,0.232486527468129,0.241052912254971,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,5000,0.599502065948298,0.388693380885819,0.742518947701223,0.133554913761505,0.258233467996484,0.144309016051359,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,6000,0.727493971081474,0.621972567619276,0.668816458805585,0.13281654240323,0.193239321169479,0.247783321463139,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,6000,0.738884766188637,0.553823414340058,0.787589396657584,0.0922802629350842,0.207828410844098,0.137023911424,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,6000,0.726019269033681,0.547695141824157,0.772214685591416,0.0853859761200307,0.19850641168229,0.140310037375844,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,6000,0.690341115968142,0.53154367860085,0.712225262386534,0.123543511033011,0.246106638030496,0.233696514764153,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,6000,0.689288904337487,0.500479057007566,0.728008342233823,0.112791100959253,0.227138932504347,0.230688242896748,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,6000,0.601948869353649,0.463764911370386,0.703978418902673,0.15967235608421,0.301801603569496,0.269095438654541,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,6000,0.675211469953714,0.477634987965258,0.743459044224058,0.172866079108579,0.279518232608286,0.23709629333587,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,6000,0.640620759833628,0.457648803187008,0.718231525941222,0.175841092580614,0.235465591485881,0.232456016968641,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,6000,0.590177414518518,0.396043942376211,0.720713175602152,0.122084971321001,0.262274287034979,0.15112351366343,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,7000,0.727587189178515,0.622977204869731,0.672141966902745,0.128448767164358,0.195533344249697,0.244595124660082,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,7000,0.733502233809825,0.539957380697588,0.784981947863,0.0949113756759853,0.196405245607248,0.135947477907608,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,7000,0.728101436025895,0.545996508770913,0.773455947347378,0.085527055659808,0.20480129893256,0.161674945318927,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,7000,0.689623848432819,0.529144630808447,0.715546923670521,0.120927062045948,0.244899425698483,0.225701298816534,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,7000,0.691015154925942,0.501946335918492,0.729304053764361,0.11375165944896,0.217241335593374,0.229889842772925,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,7000,0.629835605866945,0.461747203107355,0.724052245984045,0.145024111857092,0.295882080618134,0.265219309550977,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,7000,0.670657773139825,0.480324334839925,0.741854127440751,0.176119460478283,0.281840165812383,0.232856751691881,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,7000,0.651052541824275,0.454990186867788,0.725513385269414,0.155317478285131,0.23246144012372,0.225765767198226,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,7000,0.621725460281973,0.440095393252098,0.715968777993527,0.125530717985751,0.305218594940295,0.171685372255226,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,8000,0.727368066112581,0.623999877828476,0.682744094946171,0.12615786541432,0.197554604201563,0.247447331030275,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,8000,0.729543143342913,0.524920208335771,0.788963605712039,0.0914833386786037,0.196281712268917,0.127247399155958,"SRP","EC-EARTH","summer","gbm"
0.5,1,20,8000,0.73721651632998,0.569087422970908,0.764917881379418,0.07087130314076,0.199256201510752,0.139639995015803,"SRP","EC-EARTH","summer","gbm"
0.01,3,20,8000,0.687674513914635,0.526816433974296,0.716440571051487,0.121036589605985,0.244571271112963,0.226840750719674,"SRP","EC-EARTH","summer","gbm"
0.1,3,20,8000,0.689993197862507,0.499715483227786,0.734690434741662,0.117065301257401,0.214175340775521,0.224698979877247,"SRP","EC-EARTH","summer","gbm"
0.5,3,20,8000,0.633901738944858,0.497132025648663,0.692156932305852,0.147151508209586,0.287119226045415,0.266538770197648,"SRP","EC-EARTH","summer","gbm"
0.01,5,20,8000,0.667527877723003,0.479492070537281,0.741798269222394,0.175701125585355,0.281224122345386,0.231563054208749,"SRP","EC-EARTH","summer","gbm"
0.1,5,20,8000,0.652583186745562,0.448396854449527,0.745530758887956,0.151661890283325,0.226176662865297,0.180276855912191,"SRP","EC-EARTH","summer","gbm"
0.5,5,20,8000,0.623117946876305,0.436430522101698,0.727082241568855,0.127194904334444,0.299755039705025,0.147123154776491,"SRP","EC-EARTH","summer","gbm"
0.01,1,20,9000,0.72902896169913,0.617996756224621,0.689576846532796,0.122178837884768,0.199938856158466,0.244703949269424,"SRP","EC-EARTH","summer","gbm"
0.1,1,20,9000,0.728961901140021,0.537036031565139,0.779034874393185,0.0946162434812987,0.193788855364155,0.131439619787398,"SRP","EC-EARTH","summer","gbm"
