"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.560517487290307,0.178141402964058,0.868835026617766,0.0781656176861582,0.0870932148146402,0.0544691728092959,"SRP","EC-EARTH","winter","gbm"
0.1,1,20,1000,0.531186528489323,0.119945729692046,0.901791863450345,0.0631999488507428,0.0636039325566737,0.0438347586337298,"SRP","EC-EARTH","winter","gbm"
0.5,1,20,1000,0.503341376843724,0.117618333815282,0.895876072151968,0.0636327121726183,0.0596731059107404,0.0349091098681295,"SRP","EC-EARTH","winter","gbm"
0.01,3,20,1000,0.550573065994109,0.127893514208391,0.900895353781912,0.0743930702584701,0.0697867076639921,0.0544467437535877,"SRP","EC-EARTH","winter","gbm"
0.1,3,20,1000,0.538074708739454,0.091966300551352,0.923433326387907,0.096023026229734,0.0433191297174733,0.0337919856763811,"SRP","EC-EARTH","winter","gbm"
0.5,3,20,1000,0.573602841459626,0.10944700874813,0.916613876770633,0.0656731721628018,0.0452241006328442,0.0266100449092803,"SRP","EC-EARTH","winter","gbm"
0.01,5,20,1000,0.537523344562201,0.105563989251454,0.919279678016486,0.0832291286632177,0.0578074148422599,0.0417942348135801,"SRP","EC-EARTH","winter","gbm"
0.1,5,20,1000,0.535310407674692,0.102388628292143,0.917764217878076,0.0855548490844644,0.0466023105632803,0.0406929776517076,"SRP","EC-EARTH","winter","gbm"
0.5,5,20,1000,0.537430065532328,0.107417492465342,0.909196124067462,0.0994943442133342,0.0582559782863282,0.0401066570655296,"SRP","EC-EARTH","winter","gbm"
0.01,1,20,2000,0.547647668845634,0.151771144538944,0.884580955296138,0.0793010684395946,0.0738009686933932,0.0559674356446409,"SRP","EC-EARTH","winter","gbm"
0.1,1,20,2000,0.520275881501719,0.111889856960884,0.907052617165775,0.0686434847111677,0.0536610610805521,0.0380874303496684,"SRP","EC-EARTH","winter","gbm"
0.5,1,20,2000,0.5046244807783,0.116867150320309,0.899110620453224,0.0564398013244974,0.0659019779246411,0.0312340327639369,"SRP","EC-EARTH","winter","gbm"
0.01,3,20,2000,0.544973928766446,0.113279049088994,0.905658871285894,0.070747663537537,0.0716768466570688,0.0521999510000521,"SRP","EC-EARTH","winter","gbm"
0.1,3,20,2000,0.538712910073264,0.0995602540125964,0.919261482437402,0.0976947081631956,0.0422179187190217,0.0338527661717595,"SRP","EC-EARTH","winter","gbm"
0.5,3,20,2000,0.577940923429832,0.114566205128376,0.912766708481728,0.0745405296478019,0.0435920777782073,0.0319454748570645,"SRP","EC-EARTH","winter","gbm"
