"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.654907397167548,0.302851661663103,0.839311977238297,0.064806893019522,0.169079356025526,0.0753851860560314,"WAB","ACCESS1-0","winter","gbm"
0.1,1,20,1000,0.644556868566789,0.248462783817025,0.875608731360974,0.062227667433267,0.158616967300785,0.0634612390870113,"WAB","ACCESS1-0","winter","gbm"
0.5,1,20,1000,0.613303844867542,0.246576606483804,0.868657531254692,0.0800096523745427,0.147319779112678,0.067772594508506,"WAB","ACCESS1-0","winter","gbm"
0.01,3,20,1000,0.656177436948161,0.229032535832833,0.883246494670484,0.0531135295716227,0.143798306679089,0.0574465365928013,"WAB","ACCESS1-0","winter","gbm"
0.1,3,20,1000,0.641672777776481,0.23106124754041,0.882446398516261,0.0502599737629802,0.128103996800115,0.0474337636984952,"WAB","ACCESS1-0","winter","gbm"
0.5,3,20,1000,0.606652878357425,0.392054128527879,0.734696922947754,0.0570314399191087,0.218645650184405,0.186435336817373,"WAB","ACCESS1-0","winter","gbm"
0.01,5,20,1000,0.631100603720891,0.22399054907679,0.88244951562784,0.0963144704148835,0.139824544402102,0.0501860669373042,"WAB","ACCESS1-0","winter","gbm"
0.1,5,20,1000,0.64462210300487,0.245085879686071,0.883022716659991,0.0576482590716776,0.116742574898863,0.0475707108841115,"WAB","ACCESS1-0","winter","gbm"
0.5,5,20,1000,0.518523327914923,0.416414053471704,0.637104946256703,0.0687592768657578,0.253488801759618,0.205368266955622,"WAB","ACCESS1-0","winter","gbm"
0.01,1,20,2000,0.653238664181666,0.266399074137671,0.860672977699993,0.0582812346058392,0.161408005830137,0.0640407557599421,"WAB","ACCESS1-0","winter","gbm"
0.1,1,20,2000,0.639611875950613,0.250087329715373,0.873042770926063,0.063156421428334,0.158147797173853,0.0668346301345073,"WAB","ACCESS1-0","winter","gbm"
0.5,1,20,2000,0.603572755308471,0.241192867910726,0.869102550783829,0.0823133674494913,0.144850863182882,0.0670849673547712,"WAB","ACCESS1-0","winter","gbm"
0.01,3,20,2000,0.642263811246087,0.212089293215582,0.890399832197655,0.0684316609165363,0.145767416080431,0.0561225023346376,"WAB","ACCESS1-0","winter","gbm"
0.1,3,20,2000,0.638339245503842,0.239783196931929,0.876297179066075,0.0444540396763938,0.119790979153285,0.045909763043897,"WAB","ACCESS1-0","winter","gbm"
0.5,3,20,2000,0.590096699703416,0.381325916293093,0.724609525481869,0.0517640849431311,0.2695926913197,0.22238746356378,"WAB","ACCESS1-0","winter","gbm"
0.01,5,20,2000,0.627115354673732,0.21429907918737,0.887415642020769,0.0990837916512583,0.138609533969985,0.0479217836413218,"WAB","ACCESS1-0","winter","gbm"
