"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.638663028080785,0.31364868017635,0.831466767369163,0.0795875770151565,0.17592883542503,0.130974329511765,"WAB","BCC-CSM1.1","winter","gbm"
0.1,1,20,1000,0.641189592502243,0.272220974332466,0.865886354335859,0.0744219745297472,0.158284795196749,0.0910609104671367,"WAB","BCC-CSM1.1","winter","gbm"
0.5,1,20,1000,0.617925374367394,0.251422693462211,0.84348282016572,0.0556500195801914,0.139067908649503,0.104661011607952,"WAB","BCC-CSM1.1","winter","gbm"
0.01,3,20,1000,0.632003659649323,0.270052385222317,0.864657183250701,0.0889304457884058,0.156349257729778,0.112639997689527,"WAB","BCC-CSM1.1","winter","gbm"
0.1,3,20,1000,0.653976549071794,0.274401190861682,0.876942137757828,0.0605384099477328,0.155613419121392,0.072036073584608,"WAB","BCC-CSM1.1","winter","gbm"
0.5,3,20,1000,0.591959610842159,0.32405579427116,0.794283191135034,0.0818622473073017,0.178804630171813,0.139412587683704,"WAB","BCC-CSM1.1","winter","gbm"
0.01,5,20,1000,0.628263606896351,0.266115125209855,0.870531832712174,0.0964497241445419,0.166417425061019,0.115685747410161,"WAB","BCC-CSM1.1","winter","gbm"
0.1,5,20,1000,0.625549324182485,0.276176072654874,0.865563801964684,0.0971809648571034,0.153397310697896,0.0825644564182664,"WAB","BCC-CSM1.1","winter","gbm"
0.5,5,20,1000,0.58531430098942,0.377959775224829,0.750069866621933,0.0613367181169038,0.117678638328967,0.119825965962077,"WAB","BCC-CSM1.1","winter","gbm"
0.01,1,20,2000,0.640517729469005,0.302093357200642,0.838796201855693,0.0690734615442263,0.169559688292385,0.126198893866563,"WAB","BCC-CSM1.1","winter","gbm"
0.1,1,20,2000,0.641623600501204,0.2705852232805,0.864084413849982,0.0693797287525365,0.160869076757958,0.095481274564677,"WAB","BCC-CSM1.1","winter","gbm"
0.5,1,20,2000,0.611874427007762,0.257395564894328,0.839555735129593,0.0612094092484451,0.134026507944268,0.104799714145991,"WAB","BCC-CSM1.1","winter","gbm"
0.01,3,20,2000,0.630006465766244,0.266791675825121,0.870108765034219,0.0908380396950534,0.157107283112049,0.0999828620374716,"WAB","BCC-CSM1.1","winter","gbm"
0.1,3,20,2000,0.650210541677499,0.274530816626385,0.875038589746073,0.0752030966068602,0.1539928277088,0.0705638134979123,"WAB","BCC-CSM1.1","winter","gbm"
0.5,3,20,2000,0.582651641367105,0.332174070459339,0.792297418225891,0.0696181684012076,0.158488697136668,0.143448068056382,"WAB","BCC-CSM1.1","winter","gbm"
0.01,5,20,2000,0.629627784946882,0.257749350674914,0.878724835580124,0.0903197270194904,0.165882875582234,0.106401397880849,"WAB","BCC-CSM1.1","winter","gbm"
0.1,5,20,2000,0.629910513909145,0.276596038298472,0.864181518058388,0.0889258344359976,0.149358831408811,0.0786920558708744,"WAB","BCC-CSM1.1","winter","gbm"
0.5,5,20,2000,0.548139634244617,0.384205753735398,0.694933880587461,0.068151008251431,0.132138944976949,0.206461396598268,"WAB","BCC-CSM1.1","winter","gbm"
0.01,1,20,3000,0.64100910926615,0.291725368553777,0.84675784196904,0.0675216995943534,0.162927162553466,0.12120297395954,"WAB","BCC-CSM1.1","winter","gbm"
0.1,1,20,3000,0.637364555321174,0.277396833374169,0.86051280263271,0.073609417173072,0.162015055548837,0.0945292975349746,"WAB","BCC-CSM1.1","winter","gbm"
0.5,1,20,3000,0.604272166502161,0.258550183111329,0.837155599310017,0.0586409905432,0.132188737034388,0.109240836287414,"WAB","BCC-CSM1.1","winter","gbm"
0.01,3,20,3000,0.628313800241048,0.268205578995057,0.869692913378906,0.0933028648762994,0.157535092217866,0.0966490090652559,"WAB","BCC-CSM1.1","winter","gbm"
0.1,3,20,3000,0.643378834275072,0.280354946474323,0.87128320142584,0.0787060828670845,0.14955956225389,0.072322371151134,"WAB","BCC-CSM1.1","winter","gbm"
0.5,3,20,3000,0.560386568869777,0.362758735025617,0.724569401500131,0.0923582718446408,0.178775279715799,0.215537496228891,"WAB","BCC-CSM1.1","winter","gbm"
0.01,5,20,3000,0.62904990335309,0.256029195742227,0.879699188879512,0.0877625694250112,0.160406178750289,0.0998142548176254,"WAB","BCC-CSM1.1","winter","gbm"
0.1,5,20,3000,0.629921897654956,0.272633348629887,0.867060684738872,0.0792979970687516,0.143747638314089,0.0750870364942521,"WAB","BCC-CSM1.1","winter","gbm"
0.5,5,20,3000,0.545427065775833,0.373783234376493,0.699694143343231,0.0682120574720549,0.130752073780534,0.208944180040229,"WAB","BCC-CSM1.1","winter","gbm"
0.01,1,20,4000,0.640864601544604,0.286177011232906,0.847798276004649,0.0670080684864833,0.163079333483282,0.122459527151919,"WAB","BCC-CSM1.1","winter","gbm"
0.1,1,20,4000,0.634199771395682,0.277283748826084,0.858231701944174,0.0718199022588792,0.162315656702176,0.0979776386240529,"WAB","BCC-CSM1.1","winter","gbm"
0.5,1,20,4000,0.591244407135752,0.213019473229656,0.867081291021354,0.0684819735954922,0.125837208455834,0.101869362366716,"WAB","BCC-CSM1.1","winter","gbm"
0.01,3,20,4000,0.627223191655529,0.270146656290238,0.868306658742575,0.0942048593507112,0.156907416225098,0.0950889426913273,"WAB","BCC-CSM1.1","winter","gbm"
