"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.644185003942755,0.291560348369898,0.860133272999939,0.0463289645595888,0.135239441391866,0.0660936520509145,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,1,20,1000,0.640645970386947,0.253536259489935,0.884471865794829,0.0407458318620415,0.117861363964175,0.0473625857726063,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,1,20,1000,0.631589093799127,0.255901048828858,0.881805030485169,0.0514755043496028,0.103455866835644,0.0472568098129297,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,3,20,1000,0.663087770283666,0.246515821418675,0.8994967539132,0.0512343560848301,0.120173039360094,0.0500173977415635,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,3,20,1000,0.637059655996946,0.238490692796883,0.896706360000497,0.0838681936948604,0.0911462212302383,0.0237299772714163,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,3,20,1000,0.590965228780682,0.244518386727762,0.859978915271031,0.0933023813965141,0.111762043881776,0.0824059345106692,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,5,20,1000,0.655205481463057,0.253851842775211,0.890606711879784,0.0695499918802647,0.11191154220289,0.0498180922163913,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,5,20,1000,0.643787400713272,0.269675018498742,0.877474337421163,0.0790026101002264,0.118320831226817,0.0383433209546645,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,5,20,1000,0.607719607172015,0.366105076072626,0.768213462096491,0.0589360851517499,0.227938743342082,0.199324618899731,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,1,20,2000,0.641545078892604,0.259357734294053,0.883125835971377,0.0431020785735968,0.119835651902582,0.0495732576216868,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,1,20,2000,0.638456192223141,0.246714006875361,0.886734888086367,0.0397807485410156,0.117863618821923,0.0471717019379819,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,1,20,2000,0.624755826471969,0.2710282368146,0.87318259481239,0.0586544655248603,0.0999460183243392,0.0446404814971334,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,3,20,2000,0.659623835123426,0.231973131479919,0.904720957864015,0.0609801858756642,0.117923198156157,0.045947902335616,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,3,20,2000,0.639434960591124,0.240414656577242,0.892036501096123,0.0709796953759657,0.087167163014276,0.0229582136544306,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,3,20,2000,0.553430116586369,0.26174705101148,0.807061241666256,0.0779301110653532,0.109212405860628,0.106124444937575,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,5,20,2000,0.652668931503352,0.246634287118092,0.893384902118973,0.0664349210961988,0.105095499797952,0.046690296737763,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,5,20,2000,0.640806321510409,0.275090797237468,0.87224329788012,0.0714234536220038,0.119628412593961,0.0376343984766134,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,5,20,2000,0.565860857551272,0.426091361751849,0.692925878104005,0.0304945832381841,0.225397901237268,0.198184211415343,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,1,20,3000,0.640433633931946,0.24108726849601,0.89068113227138,0.0398471818498931,0.112286232041859,0.0442328136605778,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,1,20,3000,0.635454817000457,0.246631629953778,0.882451085007292,0.0359726561739348,0.12016160254941,0.0513026914260835,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,1,20,3000,0.622959134971834,0.264011143421241,0.871926383257942,0.04702144134281,0.100254312430849,0.0453605562123636,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,3,20,3000,0.656737301801058,0.231952480260661,0.905140024157737,0.0665749320333625,0.116595829959754,0.0427686635100565,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,3,20,3000,0.643025284271921,0.242395124659673,0.889065448590503,0.0561341181903168,0.0875419446591973,0.0236851124919089,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,3,20,3000,0.519611375515448,0.356392667159457,0.675614777846296,0.0768476033077481,0.238764692498181,0.194988473875163,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,5,20,3000,0.653857681196871,0.245701782099955,0.891611858645785,0.0637724565069648,0.105221908846415,0.0448215828170091,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,5,20,3000,0.640796298397107,0.276206626032304,0.868365066258697,0.067129111851366,0.124493683010237,0.0393393915143083,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,5,20,3000,0.566376275544293,0.42615252383136,0.692901324569114,0.0301616832452055,0.225278428887028,0.198148227581356,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,1,20,4000,0.638019906712272,0.234943821407581,0.894636515900762,0.0415345670366428,0.104167240541708,0.0407962276792936,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,1,20,4000,0.633257882756223,0.249883565952754,0.879608158845405,0.033169211860486,0.121590758954379,0.0529222303703827,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,1,20,4000,0.617811255455084,0.262283182583232,0.873769524508179,0.0600122003151269,0.100345682116877,0.0435296537695329,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,3,20,4000,0.653622610870849,0.235726688731339,0.904356885320387,0.0723401331667982,0.113942835324457,0.040120683871478,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,3,20,4000,0.644022907719675,0.235777710491567,0.888180220967519,0.0511884564663151,0.0844177622690013,0.02331841672611,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,3,20,4000,0.524329004939703,0.357530471305317,0.680602239891424,0.081621818967497,0.236037217273169,0.200333521101862,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,5,20,4000,0.6529657508122,0.246988642552511,0.889885444740523,0.0640005411459628,0.105726531800565,0.043279407551574,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,5,20,4000,0.642508630042854,0.281369833971427,0.868366727235187,0.0603168238579781,0.117747407246626,0.036990730114871,"WAB","GISS-E2-H-CC","winter","gbm"
0.5,5,20,4000,0.566250378733314,0.425846713433806,0.693615013983267,0.0302352275688389,0.225876814842936,0.19920385140387,"WAB","GISS-E2-H-CC","winter","gbm"
0.01,1,20,5000,0.636025899339488,0.232894256204706,0.896675861824775,0.0412298500024073,0.103158197763698,0.0405262478967973,"WAB","GISS-E2-H-CC","winter","gbm"
0.1,1,20,5000,0.629402254257739,0.249605008469159,0.879886211104477,0.0345292879282096,0.121178077161443,0.0518801513484504,"WAB","GISS-E2-H-CC","winter","gbm"
