"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.627200366588953,0.28299435734225,0.805312676768111,0.0413471491692371,0.199608789202048,0.213173661749399,"WAB","NorESM1-M","winter","gbm"
0.1,1,20,1000,0.608958405320233,0.232835881821326,0.857219643697194,0.0321508482746256,0.135100003134431,0.0961295426058751,"WAB","NorESM1-M","winter","gbm"
0.5,1,20,1000,0.585574375094866,0.208248718978133,0.859662813308418,0.0306374893148932,0.11303511862654,0.102306668715488,"WAB","NorESM1-M","winter","gbm"
0.01,3,20,1000,0.623545431957163,0.220417696563566,0.868739315361164,0.0447524657446777,0.157514070288733,0.106657876462174,"WAB","NorESM1-M","winter","gbm"
0.1,3,20,1000,0.610970822425395,0.223663559610665,0.85776327918948,0.033005033350693,0.147518545542391,0.102033171355354,"WAB","NorESM1-M","winter","gbm"
0.5,3,20,1000,0.53161062028573,0.350532027918418,0.689582738247171,0.0670947909426589,0.230391637002706,0.240355826754473,"WAB","NorESM1-M","winter","gbm"
0.01,5,20,1000,0.606544845775213,0.21628454000533,0.871339579694022,0.0509016273401533,0.111090322967866,0.0859045963623004,"WAB","NorESM1-M","winter","gbm"
0.1,5,20,1000,0.608191295699733,0.222829525643733,0.861520192930977,0.0498171836496135,0.130997454087683,0.0995910016461943,"WAB","NorESM1-M","winter","gbm"
0.5,5,20,1000,0.543832646180028,0.473439625782323,0.591387529101726,0.0830122019449728,0.286570988635732,0.27607514904102,"WAB","NorESM1-M","winter","gbm"
0.01,1,20,2000,0.622723922810618,0.271437644352938,0.812605706428582,0.0380865136376579,0.206951005589764,0.209272773900238,"WAB","NorESM1-M","winter","gbm"
0.1,1,20,2000,0.6053777729859,0.229641482635548,0.855428201829747,0.0342862163231182,0.140873311493417,0.10243784179018,"WAB","NorESM1-M","winter","gbm"
0.5,1,20,2000,0.585553966627538,0.211996906932748,0.865576409192458,0.033244389768381,0.110813608476665,0.0966340757291567,"WAB","NorESM1-M","winter","gbm"
0.01,3,20,2000,0.615337578108604,0.217543484794201,0.877151547593982,0.0527061047830503,0.144295113237762,0.0865765208790555,"WAB","NorESM1-M","winter","gbm"
0.1,3,20,2000,0.610176086550988,0.23229722982188,0.85547881443044,0.0346897877222635,0.141924304126646,0.0944338419523407,"WAB","NorESM1-M","winter","gbm"
0.5,3,20,2000,0.504701558662307,0.455968987380053,0.55288164428099,0.0538148169148973,0.309395443327578,0.281036919133057,"WAB","NorESM1-M","winter","gbm"
0.01,5,20,2000,0.605249140758712,0.205937536023106,0.877262772744657,0.0466902905479006,0.100910675979047,0.0797764927081743,"WAB","NorESM1-M","winter","gbm"
0.1,5,20,2000,0.606587219790141,0.224268262516497,0.861771017488553,0.048691544894309,0.123457656818184,0.0941970336025163,"WAB","NorESM1-M","winter","gbm"
0.5,5,20,2000,0.533457357491133,0.504070198992375,0.554477987400662,0.0701127770402498,0.266685449180843,0.261002756260833,"WAB","NorESM1-M","winter","gbm"
