"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.659452785340337,0.447933670107058,0.796771314363236,0.149571420922527,0.153224430211414,0.0726685536678475,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,1000,0.634286180248197,0.362040964935515,0.84286059249632,0.143889660205058,0.140218075381819,0.0603046683264373,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,1000,0.619604954849249,0.368008181778338,0.831324257944262,0.155637606215565,0.160657385808466,0.0632357434382579,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,1000,0.654429540371687,0.412434995644933,0.832179956835383,0.156963713706824,0.137960603597993,0.0672256857253844,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,1000,0.640716597172545,0.350748838182267,0.870588979362817,0.143836408250919,0.159209632672416,0.048712320847893,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,1000,0.598123348763152,0.382880418976236,0.777864232388469,0.129326492118878,0.237584408293128,0.232377771358488,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,1000,0.649757643967316,0.387178816604426,0.851219371419502,0.151581266747397,0.14319391453773,0.061730848257187,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,1000,0.643352990598089,0.358251914320037,0.855876078974062,0.127708689070868,0.135355449616678,0.0611763385813119,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,1000,0.608146454385972,0.366240996121587,0.801686398383763,0.11664764235183,0.179426001315136,0.087201303354216,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,2000,0.658167283426383,0.435282643967224,0.812202746437624,0.149325007415332,0.145044714225982,0.0810189997079016,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,2000,0.628500095289075,0.353422353037539,0.848515012664857,0.145253657328751,0.144347046653573,0.0662339519628528,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,2000,0.615695549247625,0.369668701383987,0.82915803729969,0.144633657173835,0.164038923016863,0.0727268368027293,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,2000,0.648713882863726,0.388499066887244,0.840474278225526,0.156736581709713,0.147685790451446,0.0608865897670119,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,2000,0.637654750435697,0.35242217982125,0.865772944093234,0.139605966071443,0.156731570982337,0.0554801804360235,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,2000,0.582301920362727,0.387277080042066,0.753092288134254,0.109408500678519,0.234531483082428,0.233896968132752,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,2000,0.644687550800407,0.368742878954436,0.860428084115995,0.151625109202514,0.144024426102979,0.0581849123956184,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,2000,0.638832239679492,0.362609244920594,0.845880967560268,0.128901116955151,0.137376820768086,0.0599935083583585,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,2000,0.590157725248323,0.373180050207728,0.748689875871339,0.125542785992667,0.152248550060973,0.163421872667944,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,3000,0.656046586394875,0.423272280198215,0.821767094738744,0.147617631056255,0.143494871856397,0.0800415106591725,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,3000,0.625701428105694,0.350901487557059,0.850250317431121,0.145213460907839,0.146884173205703,0.0608916283766211,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,3000,0.616688304096658,0.371844893173073,0.824464904050805,0.138760648966623,0.152509793562152,0.0740219279974125,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,3000,0.645237743227951,0.376060154197874,0.846311481898168,0.155215975574662,0.146554871950517,0.0593838472682001,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,3000,0.634595824730062,0.349470924349923,0.864268671939022,0.139393180960234,0.157852139859642,0.054983014375064,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,3000,0.583488442262343,0.370130607920632,0.77159507774356,0.116092634972249,0.2234506893521,0.231498465741069,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,3000,0.641196766543403,0.359059363763425,0.8641337761336,0.150331717645363,0.141937162186879,0.0580399304241207,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,3000,0.63559915559653,0.362906271614462,0.842168875184067,0.127899377183091,0.135369430518312,0.0563000600407265,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,3000,0.58517745182836,0.378583960328127,0.744221395482041,0.126676794594373,0.152453435231876,0.15992997485801,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,4000,0.65433959511871,0.415498324402245,0.827886928236152,0.14575130418775,0.139914037533736,0.0790600771023429,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,4000,0.62362427012649,0.338299520571765,0.861756533505554,0.144349952527607,0.152234102799859,0.0520425020461088,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,4000,0.615678317120894,0.358995217237276,0.833723016142009,0.143231241774548,0.168201522528921,0.0717158392379899,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,4000,0.643822661445739,0.368873017435669,0.851599000830649,0.15260977630203,0.142858100755099,0.0608067040107723,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,4000,0.638425228996937,0.352035299087926,0.862336731908603,0.131371829326732,0.158601040278019,0.0550179396353002,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,4000,0.573039369820148,0.371828581239082,0.764944566737095,0.138751046442367,0.225764816987711,0.228033151760461,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,4000,0.639032590221667,0.355200670654695,0.86672311647417,0.150790906982209,0.14840646427905,0.0502705576637741,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,4000,0.634434169591153,0.35936108452203,0.845227069378064,0.131052769099201,0.130543496165929,0.0569637959551864,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,4000,0.587555422516503,0.382760148744486,0.740714917479506,0.122388466681588,0.153022331770562,0.159893457168828,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,5000,0.652047251495039,0.405966638691931,0.832037580676568,0.144761593375309,0.13573051834443,0.0774312176083412,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,5000,0.623133127705738,0.336319639608913,0.862780921623105,0.144699211753566,0.144034895855672,0.0495957952835432,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,5000,0.624097424837454,0.368661360841609,0.829080608974845,0.134137689933289,0.164025721263712,0.0700400370358241,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,5000,0.64165720525021,0.364434257406432,0.854694811933893,0.152121372780475,0.150705489057861,0.0466919035303414,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,5000,0.635317667504592,0.346963214899909,0.863006498736845,0.13515156291229,0.160787251735097,0.0506124931879985,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,5000,0.573687347653679,0.376358011417947,0.763914275613329,0.135996728005025,0.223673135813829,0.229267033821873,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,5000,0.637741344668427,0.35496364229474,0.865046375011192,0.149125476002849,0.148836765657263,0.0525610920787969,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,5000,0.632094963132786,0.357226982589372,0.843324481180513,0.133132144346437,0.144924011206932,0.0590713626270597,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,5000,0.590164294846733,0.37939670452207,0.746148980558714,0.12451275814932,0.143997492450588,0.162907925018962,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,6000,0.650725497023043,0.405674728003159,0.833647168998409,0.144479387985951,0.134941949373474,0.0755519978621998,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,6000,0.621227858967092,0.329265487404088,0.867430790073771,0.145377391015981,0.141287402618249,0.0478184019848971,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,6000,0.620005274103593,0.363102435300577,0.829772557457064,0.141178328967607,0.168037665827621,0.0731368497565685,"WCP","ACCESS1-0","summer","gbm"
0.01,3,20,6000,0.640919419031603,0.359474752580608,0.85815751133066,0.151292650458392,0.148287465424371,0.0498781465707405,"WCP","ACCESS1-0","summer","gbm"
0.1,3,20,6000,0.63567707631421,0.346468442959144,0.863237531021756,0.134751348059691,0.160178897151112,0.0488474325238345,"WCP","ACCESS1-0","summer","gbm"
0.5,3,20,6000,0.575700732247225,0.376902996900348,0.761888528592487,0.123321755522021,0.227094933405214,0.227019271964473,"WCP","ACCESS1-0","summer","gbm"
0.01,5,20,6000,0.636410870395911,0.354766145436731,0.864684286470603,0.148378268090474,0.149292192279537,0.0502534877039695,"WCP","ACCESS1-0","summer","gbm"
0.1,5,20,6000,0.631435054946101,0.35446708777923,0.842943634239638,0.131145588584656,0.136318339670877,0.0552797350844143,"WCP","ACCESS1-0","summer","gbm"
0.5,5,20,6000,0.588491733159036,0.396115652373818,0.729849372820807,0.125115872253706,0.156434356040718,0.15471042271845,"WCP","ACCESS1-0","summer","gbm"
0.01,1,20,7000,0.649723710778149,0.400225194865506,0.83626672695382,0.143763783504471,0.133846881396019,0.0744524952256626,"WCP","ACCESS1-0","summer","gbm"
0.1,1,20,7000,0.621700838618164,0.329595624827052,0.865102457100353,0.145433986699155,0.141544238739472,0.0506612499799584,"WCP","ACCESS1-0","summer","gbm"
0.5,1,20,7000,0.614875485630635,0.36063146217185,0.831419038232386,0.143701371839163,0.167582100096434,0.0729525935260362,"WCP","ACCESS1-0","summer","gbm"
