"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.689922540357799,0.492236537934661,0.771777296033255,0.107150218309209,0.150085667642087,0.13640541015147,"WCP","BCC-CSM1.1","summer","gbm"
0.1,1,20,1000,0.678022113477133,0.444903067189004,0.792749572185033,0.102579005914023,0.172515340580928,0.122947843847462,"WCP","BCC-CSM1.1","summer","gbm"
0.5,1,20,1000,0.680346711025946,0.424739225183914,0.801247999461555,0.0643722637741517,0.143579761563406,0.13129535788189,"WCP","BCC-CSM1.1","summer","gbm"
0.01,3,20,1000,0.693772787408312,0.46336217863182,0.799871810475727,0.0925153574489932,0.146816797804654,0.121519124764159,"WCP","BCC-CSM1.1","summer","gbm"
0.1,3,20,1000,0.676061342282727,0.412190063715321,0.823591189398739,0.0770015078930385,0.154783910791383,0.0979508281644505,"WCP","BCC-CSM1.1","summer","gbm"
0.5,3,20,1000,0.668574138295404,0.396476555558928,0.824636276540004,0.0804682336654454,0.143419577071825,0.0867247190664855,"WCP","BCC-CSM1.1","summer","gbm"
0.01,5,20,1000,0.695538507257632,0.453510243386913,0.819705552528031,0.10327751897615,0.141655363133103,0.0900359851869103,"WCP","BCC-CSM1.1","summer","gbm"
0.1,5,20,1000,0.681851331514828,0.406938154510015,0.8328840956136,0.0733683982301099,0.144221221417141,0.0792270924685466,"WCP","BCC-CSM1.1","summer","gbm"
0.5,5,20,1000,0.637802857567084,0.421478648702793,0.763695956178835,0.0829161367817722,0.224217519214533,0.249554859270876,"WCP","BCC-CSM1.1","summer","gbm"
0.01,1,20,2000,0.686897174435038,0.476129542034753,0.786841323365143,0.104988056846139,0.167549053255841,0.136605182217095,"WCP","BCC-CSM1.1","summer","gbm"
0.1,1,20,2000,0.675244918719386,0.434873761470639,0.79820788416246,0.0902780991361349,0.170440574583885,0.114102193478899,"WCP","BCC-CSM1.1","summer","gbm"
0.5,1,20,2000,0.677359877857467,0.422341059018052,0.809025925228006,0.0586210097317144,0.140118231889564,0.119060103994678,"WCP","BCC-CSM1.1","summer","gbm"
0.01,3,20,2000,0.690326534332708,0.447077730895228,0.81048455597406,0.0882511444466207,0.146249197043317,0.11493278195757,"WCP","BCC-CSM1.1","summer","gbm"
0.1,3,20,2000,0.672764113316461,0.403219651328597,0.822391686542574,0.0756818182102317,0.13203182954275,0.0849122239361365,"WCP","BCC-CSM1.1","summer","gbm"
0.5,3,20,2000,0.631863284938138,0.363650528885803,0.816443420780299,0.095654819264773,0.15903447660964,0.0927186965878249,"WCP","BCC-CSM1.1","summer","gbm"
0.01,5,20,2000,0.692652583875023,0.430798265204947,0.828972020252712,0.0958821710453588,0.145284274350521,0.0873471542858895,"WCP","BCC-CSM1.1","summer","gbm"
0.1,5,20,2000,0.683689533590434,0.411699502260452,0.828915146517192,0.0616095157094138,0.139523193228803,0.073786146628973,"WCP","BCC-CSM1.1","summer","gbm"
0.5,5,20,2000,0.628937504821442,0.414411331431636,0.762148050784519,0.0869960195169916,0.231421651378027,0.249929981604468,"WCP","BCC-CSM1.1","summer","gbm"
0.01,1,20,3000,0.685117078494254,0.473514487599052,0.78828297372536,0.104225711569032,0.163799947931264,0.132443760641173,"WCP","BCC-CSM1.1","summer","gbm"
0.1,1,20,3000,0.677790091716122,0.428853456630165,0.809501112434476,0.0867745194412843,0.170706242185194,0.112033887738388,"WCP","BCC-CSM1.1","summer","gbm"
0.5,1,20,3000,0.682512276743866,0.432221220991701,0.802743756395243,0.0460822060896887,0.136501476865406,0.119543928198723,"WCP","BCC-CSM1.1","summer","gbm"
0.01,3,20,3000,0.687686836002996,0.437114903145436,0.818158353005944,0.0851079386720515,0.147205412776529,0.110350561224658,"WCP","BCC-CSM1.1","summer","gbm"
0.1,3,20,3000,0.673400617434006,0.414148267197943,0.817145880551282,0.0720915496604109,0.133162950409866,0.0947351646585517,"WCP","BCC-CSM1.1","summer","gbm"
0.5,3,20,3000,0.625136517618919,0.421672296551714,0.749298952520033,0.0878387128348056,0.17457956278549,0.162575997895614,"WCP","BCC-CSM1.1","summer","gbm"
0.01,5,20,3000,0.691457945831007,0.411892188234075,0.841453984009568,0.0922320704631603,0.14641134541554,0.0892839291595672,"WCP","BCC-CSM1.1","summer","gbm"
0.1,5,20,3000,0.679578708831616,0.403323773911959,0.831336222359057,0.0614875391889473,0.134166047434552,0.0659263654696233,"WCP","BCC-CSM1.1","summer","gbm"
