"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.69896574802136,0.473084844121872,0.825318068279936,0.0102185858455499,0.109396195514286,0.100733013553958,"WCP","CMCC-CM","summer","gbm"
0.1,1,20,1000,0.687919748450765,0.423718372538345,0.848465304540928,0.028128044461696,0.0977157078360883,0.0726888439390023,"WCP","CMCC-CM","summer","gbm"
0.5,1,20,1000,0.652607861823642,0.390318793689489,0.844662548558703,0.0420043557558174,0.107610112250569,0.0787362031924246,"WCP","CMCC-CM","summer","gbm"
0.01,3,20,1000,0.692928564889728,0.424081790777051,0.856288297667368,0.0217167231912772,0.0898338420844036,0.0610767855435801,"WCP","CMCC-CM","summer","gbm"
0.1,3,20,1000,0.67394406781876,0.395838281348785,0.859916521708167,0.0317091841660938,0.11436161734834,0.0703818256253034,"WCP","CMCC-CM","summer","gbm"
0.5,3,20,1000,0.65376017084408,0.402134596375496,0.813112901355207,0.056055168088634,0.0742564125406044,0.0957883803316765,"WCP","CMCC-CM","summer","gbm"
0.01,5,20,1000,0.691985701505853,0.414673061472978,0.854768533984816,0.0321190736003228,0.101583852331327,0.0684986685919135,"WCP","CMCC-CM","summer","gbm"
0.1,5,20,1000,0.670533211685561,0.412141152938869,0.836244002956462,0.0366246468274685,0.085029773003271,0.0687518757046214,"WCP","CMCC-CM","summer","gbm"
0.5,5,20,1000,0.636760556832053,0.434762002049009,0.780479686092977,0.0512890492815114,0.0814962748561121,0.11200411697021,"WCP","CMCC-CM","summer","gbm"
0.01,1,20,2000,0.696953892925585,0.453293326190449,0.842435951920661,0.0106261821159114,0.113194504627783,0.0983666666737979,"WCP","CMCC-CM","summer","gbm"
0.1,1,20,2000,0.685665682924532,0.422037704366009,0.848525975338979,0.0302505780516105,0.0908720157547221,0.0712796353472499,"WCP","CMCC-CM","summer","gbm"
0.5,1,20,2000,0.641306488581454,0.415353222173467,0.80998351505212,0.0465579493780192,0.101082336852119,0.089893140262767,"WCP","CMCC-CM","summer","gbm"
0.01,3,20,2000,0.691232291895208,0.408505103675613,0.865875695502149,0.0262746630496696,0.098417038218784,0.0652345347814046,"WCP","CMCC-CM","summer","gbm"
0.1,3,20,2000,0.668008654017114,0.379352230738815,0.869709858649774,0.031286997508932,0.0915610530547912,0.0637908866019926,"WCP","CMCC-CM","summer","gbm"
0.5,3,20,2000,0.643752672598351,0.400974870907682,0.812085428082053,0.0529740816409912,0.0593845834756485,0.0990170323716486,"WCP","CMCC-CM","summer","gbm"
0.01,5,20,2000,0.689388113950888,0.408886605490288,0.854790310102371,0.0358722235869165,0.103302675716491,0.0661967063223046,"WCP","CMCC-CM","summer","gbm"
0.1,5,20,2000,0.665358084913655,0.399485026727947,0.841560098305287,0.0395257591248064,0.0906429164244971,0.06595987723554,"WCP","CMCC-CM","summer","gbm"
0.5,5,20,2000,0.618256954616529,0.428168600328841,0.761964807589518,0.0370054542839737,0.111680565211538,0.120264515847599,"WCP","CMCC-CM","summer","gbm"
0.01,1,20,3000,0.694574380235451,0.446620554387972,0.848551730105226,0.0118072226851566,0.108216713051079,0.0933861108097629,"WCP","CMCC-CM","summer","gbm"
0.1,1,20,3000,0.684432252504851,0.42594653615312,0.845948244391206,0.0289252789864231,0.0919987537330445,0.0755351354913913,"WCP","CMCC-CM","summer","gbm"
0.5,1,20,3000,0.642070641456976,0.416405539248973,0.813048454054867,0.0464735543991247,0.110562625817172,0.0768717001921165,"WCP","CMCC-CM","summer","gbm"
0.01,3,20,3000,0.689877518916097,0.402392576124261,0.869198987971486,0.0290359025608609,0.104291430028199,0.0646829399254845,"WCP","CMCC-CM","summer","gbm"
0.1,3,20,3000,0.666883407398349,0.384759161118285,0.8627816335979,0.0291026572697298,0.0874464036317213,0.0615253887534733,"WCP","CMCC-CM","summer","gbm"
0.5,3,20,3000,0.635180468738079,0.42631477796742,0.774529175493037,0.0549004750220627,0.0921173909318989,0.106648603319346,"WCP","CMCC-CM","summer","gbm"
0.01,5,20,3000,0.687311810284352,0.408229800036818,0.854151203612353,0.035336674084685,0.0983350666230398,0.0625619499268584,"WCP","CMCC-CM","summer","gbm"
