"shrinkage","interaction.depth","n.minobsinnode","n.trees","ROC","Sens","Spec","ROCSD","SensSD","SpecSD","sp","climate","season","method"
0.01,1,20,1000,0.659296681292747,0.505876353140118,0.745472303594463,0.170120737895641,0.178857340609975,0.130226745270344,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,1000,0.648513262500257,0.428416738677361,0.809720920096097,0.16212031602351,0.18808719057662,0.141685288525028,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,1000,0.63964924787413,0.404458889524109,0.818676318065076,0.147768498662484,0.170334371446668,0.134102760929794,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,1000,0.657202412713741,0.452400982114465,0.812058138767493,0.164066633106868,0.175309875447823,0.0731158279798979,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,1000,0.645381067491259,0.40792279956466,0.851608628961774,0.158417947816491,0.170418344925509,0.0650247915873796,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,1000,0.636174254015978,0.408951881291999,0.814254926246561,0.124237780204452,0.173425549090377,0.0652417352251833,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,1000,0.657030715770263,0.442208228314876,0.822401617582018,0.165556812919657,0.188930107215363,0.0823052500135647,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,1000,0.64201537642704,0.393188800318941,0.846421728453905,0.153509262337351,0.157212807186749,0.0722781924879258,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,1000,0.627908454330486,0.441449265793399,0.787912468843821,0.119358020219774,0.11427472125969,0.101330929710444,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,2000,0.65499002035453,0.495564614615588,0.758472565572805,0.174232439195833,0.174878425420458,0.121791044845839,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,2000,0.642901682373601,0.428545321621391,0.807162207307,0.162274302645691,0.188734709210737,0.134888455403128,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,2000,0.638390103776186,0.40249897571035,0.816440920177729,0.136751140514379,0.165435185480144,0.134204979004867,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,2000,0.654182251589464,0.42252387519287,0.839489525184764,0.159171650982817,0.181327118421611,0.0620334437133531,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,2000,0.640617739871817,0.402162270064138,0.848520500431554,0.150351302359554,0.168945134996127,0.0705130691411055,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,2000,0.598552542020349,0.398835207288216,0.766648078403447,0.131255903168644,0.168484964167001,0.127842024873014,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,2000,0.653775417549626,0.40780907325881,0.849745606676767,0.160352201445919,0.179409506310189,0.0784554945044219,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,2000,0.644845370126966,0.390700467511718,0.84390637560579,0.137574371077855,0.158973492077287,0.0707395971125659,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,2000,0.630647673406137,0.439777924869552,0.792434982021604,0.113032580538839,0.129477541551088,0.0891944174730048,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,3000,0.652605449413321,0.477039522431089,0.7765393876555,0.176234105627833,0.183896654489015,0.12851661610725,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,3000,0.641008259285813,0.418849450209296,0.816476705102114,0.160055602155412,0.181466514320155,0.128459510181564,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,3000,0.638210199299722,0.402622170909422,0.816142961884649,0.133922016587911,0.157183925870448,0.120462711316196,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,3000,0.652786891610128,0.403818146306008,0.85267585308575,0.15661503871777,0.173039521008851,0.0610367463305094,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,3000,0.642792209888027,0.408705441868932,0.841572928624288,0.142131776008975,0.168379250084082,0.0675315682260912,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,3000,0.58653012417905,0.403453767989252,0.755078983325805,0.128092960085472,0.152948802847869,0.133152761729628,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,3000,0.651668200026488,0.396870943552808,0.853585502226367,0.15653290447534,0.173840226750821,0.0774322138573593,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,3000,0.645089456806747,0.395821064173843,0.838068913235794,0.12852937724023,0.15944406717931,0.0598496652924903,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,3000,0.598772317582297,0.427781817915055,0.76202346179304,0.108855011100713,0.164672388653689,0.150846626290955,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,4000,0.650911417668891,0.468898114071722,0.78125105820617,0.175788355883028,0.198297338602635,0.125483756413432,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,4000,0.638957119457696,0.414496574807062,0.818420429609403,0.159059676016097,0.182332962054952,0.128770519885438,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,4000,0.631461626127162,0.40046741846921,0.812376984368112,0.132120905760597,0.157202198294638,0.122546073847496,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,4000,0.650906649955814,0.39466204956019,0.86033918242292,0.155921385516257,0.173410937212103,0.0610964652628875,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,4000,0.642643665851576,0.412604659097258,0.836433558239904,0.138965584994931,0.170338307457207,0.0657659914542651,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,4000,0.571628242658214,0.388118749208868,0.757214911126346,0.143654329034552,0.159397044486436,0.129903908253718,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,4000,0.650780595089179,0.391363781570837,0.856612516918715,0.1535274025808,0.173639687887053,0.0760439017826636,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,4000,0.647151358562229,0.392075785480985,0.842737244139983,0.125404512097848,0.160441421932144,0.0704733165130288,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,4000,0.611888057653335,0.440744787651077,0.746825654153739,0.090822793985453,0.160431923791935,0.17411009578759,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,5000,0.649277444936504,0.457723064203708,0.791273914432922,0.175811383325801,0.20359374434447,0.129690743730248,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,5000,0.638023431333044,0.411962083455965,0.823512602634601,0.157011478001821,0.188014856530938,0.125897138285663,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,5000,0.632050114892442,0.402102379070414,0.808919404676789,0.132326662489989,0.160569064744627,0.115655300353931,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,5000,0.649483134320538,0.389846711732603,0.862090150334714,0.154409130512088,0.171288842548777,0.0632828265293618,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,5000,0.642968145637885,0.407606142580802,0.843251298418011,0.139989082840315,0.161678560910921,0.0618551010688525,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,5000,0.572533901886512,0.385557893671446,0.760855718762289,0.135887032504878,0.151996217725166,0.127145116304526,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,5000,0.649916381280666,0.393078156319516,0.853972862088832,0.151567681807986,0.172976841208321,0.0779595866544011,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,5000,0.647161966371188,0.387454474086991,0.846103723573872,0.120016667776339,0.157856399245996,0.0694972833214603,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,5000,0.612026484650038,0.447518144494361,0.738335029974133,0.0960191079338017,0.16132582508601,0.175404592865363,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,6000,0.647551245934213,0.457333142484964,0.790572357382231,0.175000369801964,0.204297767634936,0.126997288978882,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,6000,0.636684922335125,0.411938558510094,0.820576372907928,0.155659206327436,0.178436620282497,0.126326130929394,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,6000,0.631005859930568,0.402887747171194,0.80756700583299,0.134469888131554,0.160390628996728,0.122973363703902,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,6000,0.648532964574828,0.385142659942375,0.863720859291658,0.153429136755639,0.169396785930292,0.0637699678971423,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,6000,0.642012101672486,0.408787690878795,0.842093602681877,0.13930720060729,0.165463124039215,0.062387216647788,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,6000,0.564795901878302,0.397744819931777,0.741615523532262,0.135577878991287,0.173905737646757,0.121562758528751,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,6000,0.65075092198074,0.391107513949141,0.85552763827672,0.148754176308476,0.172633868510627,0.0767826216165875,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,6000,0.647614230750031,0.39540936394147,0.838929495813605,0.120654906825273,0.15955448028209,0.0653621711362734,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,6000,0.612985421554207,0.437924505714987,0.736400166894567,0.106194760357955,0.162969599464921,0.1764298245259,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,7000,0.646198203171439,0.453647847744133,0.794001359648057,0.175588965287504,0.204230052252539,0.12742459064264,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,7000,0.637083871969655,0.41050377814652,0.822655219882751,0.154957035818533,0.181765778461433,0.117816704451191,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,7000,0.630094496557328,0.401280079321547,0.80631911668196,0.131229583371266,0.150829182717403,0.119152489825808,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,7000,0.647733946599496,0.388000817952344,0.860193256355184,0.15236031162588,0.170815054556852,0.0611190593285773,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,7000,0.64215149687663,0.411973945544588,0.837894164519207,0.140147262105966,0.161452843678647,0.061378033048957,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,7000,0.5510926216514,0.375757756623391,0.734545052738605,0.13423206145788,0.197051480753011,0.136598948527105,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,7000,0.650846664421449,0.390081253362157,0.85466274765441,0.146046536865351,0.172823327817202,0.0786098502836566,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,7000,0.648530072808586,0.395177284877514,0.838634062883026,0.116333860195904,0.156387314227326,0.0669176536798937,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,7000,0.614749183460346,0.435956759560212,0.736509482729038,0.108341061359161,0.16326329528549,0.176732685587001,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,8000,0.645384080740396,0.442045025749403,0.804465671514658,0.175188708647898,0.199334625820886,0.130795559648022,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,8000,0.636137840087873,0.411294801373569,0.822089148372814,0.153589589423544,0.176494012161424,0.123646581639194,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,8000,0.632676945267475,0.40064942519716,0.810073760462367,0.126363828708817,0.154760520353849,0.113546254163225,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,8000,0.647450492921891,0.381959884289762,0.865574790896886,0.151955862054306,0.16749167071496,0.0638760876596682,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,8000,0.643935742165459,0.410917086741508,0.838602472702527,0.137784934854254,0.160836849084479,0.0589550877681593,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,8000,0.554351599065997,0.372930922192882,0.741126962497311,0.137462236558939,0.19458355653463,0.139744788837361,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,8000,0.651295667920195,0.389061428476084,0.855330095236174,0.144324273493891,0.172132426990389,0.0776595993828581,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,8000,0.649560535325546,0.398223539584322,0.839803639970078,0.113980387627475,0.148401939850363,0.0668644320726583,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,8000,0.612961053584198,0.429208277960364,0.738095355292629,0.110506623459703,0.164817530597122,0.175478576608601,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,9000,0.644393856963914,0.444019150489993,0.80307395018598,0.174861874660882,0.201233122242807,0.13051317428698,"WCP","MIROC-ESM","summer","gbm"
0.1,1,20,9000,0.636712090197163,0.410128080768053,0.822743243105861,0.153525635080671,0.1746674781782,0.118333402581768,"WCP","MIROC-ESM","summer","gbm"
0.5,1,20,9000,0.631614495395718,0.408640103111169,0.801525637608072,0.125911010694093,0.157777343488845,0.111403661188378,"WCP","MIROC-ESM","summer","gbm"
0.01,3,20,9000,0.647045414252803,0.381377627355015,0.865410492849012,0.150872082237145,0.166823484143642,0.0638027470063348,"WCP","MIROC-ESM","summer","gbm"
0.1,3,20,9000,0.641641195224984,0.408901566209406,0.83790909644525,0.14273675166847,0.158462537161028,0.0616492330885238,"WCP","MIROC-ESM","summer","gbm"
0.5,3,20,9000,0.55984428043907,0.379322382243089,0.735026227653057,0.133828319731575,0.184655849175974,0.128248501600501,"WCP","MIROC-ESM","summer","gbm"
0.01,5,20,9000,0.651384364979415,0.390052220591725,0.853719515428292,0.144009219689401,0.170020730348979,0.0781824243938157,"WCP","MIROC-ESM","summer","gbm"
0.1,5,20,9000,0.650075898800696,0.402979292758264,0.83375366568884,0.11383296030618,0.146970514740583,0.0604486043346512,"WCP","MIROC-ESM","summer","gbm"
0.5,5,20,9000,0.610178499636765,0.432275065690265,0.735292018443203,0.106860733277255,0.165669185445173,0.175189228302589,"WCP","MIROC-ESM","summer","gbm"
0.01,1,20,10000,0.643940502742702,0.446322668079414,0.800124036467308,0.175062625456489,0.201017403564776,0.125994769731875,"WCP","MIROC-ESM","summer","gbm"
