"Overall","variable","sp","season","climate","method"
5.26825686003613,"ICE","AFS","summer","ACCESS1-0","ann"
69.2563671449111,"SST","AFS","summer","ACCESS1-0","ann"
100,"WINu","AFS","summer","ACCESS1-0","ann"
48.4062597532028,"WINv","AFS","summer","ACCESS1-0","ann"
82.8621191837261,"WIN","AFS","summer","ACCESS1-0","ann"
7.13177841690767,"CURu","AFS","summer","ACCESS1-0","ann"
23.2624312010135,"CURv","AFS","summer","ACCESS1-0","ann"
21.447666268427,"CUR","AFS","summer","ACCESS1-0","ann"
48.1059379471271,"SSH","AFS","summer","ACCESS1-0","ann"
0,"SSHg","AFS","summer","ACCESS1-0","ann"
1.35305608542384,"SSTg","AFS","summer","ACCESS1-0","ann"
62.6010732153769,"DEP","AFS","summer","ACCESS1-0","ann"
