"Overall","variable","sp","season","climate","method"
0,"ICE","AFS","summer","ACCESS1-0","rf"
51.8052903408704,"SST","AFS","summer","ACCESS1-0","rf"
21.677399340538,"WINu","AFS","summer","ACCESS1-0","rf"
25.0585341767116,"WINv","AFS","summer","ACCESS1-0","rf"
18.9347579916637,"WIN","AFS","summer","ACCESS1-0","rf"
38.2836169531011,"CURu","AFS","summer","ACCESS1-0","rf"
27.7150829025523,"CURv","AFS","summer","ACCESS1-0","rf"
29.2154509483568,"CUR","AFS","summer","ACCESS1-0","rf"
88.6832427669712,"SSH","AFS","summer","ACCESS1-0","rf"
40.2075836031511,"SSHg","AFS","summer","ACCESS1-0","rf"
54.1677688554728,"SSTg","AFS","summer","ACCESS1-0","rf"
100,"DEP","AFS","summer","ACCESS1-0","rf"
