"Overall","variable","sp","season","climate","method"
16.3004313061908,"ICE","AFS","summer","BCC-CSM1.1","ann"
77.6671326731139,"SST","AFS","summer","BCC-CSM1.1","ann"
42.1627523669106,"WINu","AFS","summer","BCC-CSM1.1","ann"
100,"WINv","AFS","summer","BCC-CSM1.1","ann"
42.2642095195941,"WIN","AFS","summer","BCC-CSM1.1","ann"
6.9751145405554,"CURu","AFS","summer","BCC-CSM1.1","ann"
6.64645178188113,"CURv","AFS","summer","BCC-CSM1.1","ann"
0,"CUR","AFS","summer","BCC-CSM1.1","ann"
6.48914386799773,"SSH","AFS","summer","BCC-CSM1.1","ann"
4.9696779524603,"SSHg","AFS","summer","BCC-CSM1.1","ann"
4.89232782439053,"SSTg","AFS","summer","BCC-CSM1.1","ann"
46.4167965005266,"DEP","AFS","summer","BCC-CSM1.1","ann"
