"Overall","variable","sp","season","climate","method"
7.01802130475849,"ICE","AFS","summer","CMCC-CM","ann"
17.700080181638,"SST","AFS","summer","CMCC-CM","ann"
53.3258218743541,"WINu","AFS","summer","CMCC-CM","ann"
4.39906960412589,"WINv","AFS","summer","CMCC-CM","ann"
30.8278992320622,"WIN","AFS","summer","CMCC-CM","ann"
6.55787781166348,"CURu","AFS","summer","CMCC-CM","ann"
0,"CURv","AFS","summer","CMCC-CM","ann"
20.40464122771,"CUR","AFS","summer","CMCC-CM","ann"
29.7217520468139,"SSH","AFS","summer","CMCC-CM","ann"
1.19180230603467,"SSHg","AFS","summer","CMCC-CM","ann"
31.7133515178473,"SSTg","AFS","summer","CMCC-CM","ann"
100,"DEP","AFS","summer","CMCC-CM","ann"
