"Overall","variable","sp","climate","season","method"
0,"ICE","AFS","CMCC-CM","summer","rf"
11.6228649495625,"SST","AFS","CMCC-CM","summer","rf"
54.4160904530832,"SSTg","AFS","CMCC-CM","summer","rf"
21.4526844281152,"WINu","AFS","CMCC-CM","summer","rf"
23.432070534904,"WINv","AFS","CMCC-CM","summer","rf"
19.3582065231368,"CURu","AFS","CMCC-CM","summer","rf"
16.4103764520964,"CURv","AFS","CMCC-CM","summer","rf"
29.1703440895457,"SSH","AFS","CMCC-CM","summer","rf"
24.3511557857847,"SSHg","AFS","CMCC-CM","summer","rf"
100,"DEP","AFS","CMCC-CM","summer","rf"
