"Overall","variable","sp","season","climate","method"
11.4729188016136,"ICE","AFS","summer","CanESM2","ann"
62.891843999815,"SST","AFS","summer","CanESM2","ann"
46.6626121060811,"WINu","AFS","summer","CanESM2","ann"
66.2703251272433,"WINv","AFS","summer","CanESM2","ann"
73.5872666691731,"WIN","AFS","summer","CanESM2","ann"
26.7294755079936,"CURu","AFS","summer","CanESM2","ann"
8.53504586991807,"CURv","AFS","summer","CanESM2","ann"
32.3716583864519,"CUR","AFS","summer","CanESM2","ann"
100,"SSH","AFS","summer","CanESM2","ann"
1.72704174576212,"SSHg","AFS","summer","CanESM2","ann"
0,"SSTg","AFS","summer","CanESM2","ann"
90.655274407208,"DEP","AFS","summer","CanESM2","ann"
