"Overall","variable","sp","season","climate","method"
0.0896979218259845,"ICE","AFS","summer","MIROC-ESM","ann"
80.7727464867775,"SST","AFS","summer","MIROC-ESM","ann"
99.7744510419684,"WINu","AFS","summer","MIROC-ESM","ann"
31.6966847664844,"WINv","AFS","summer","MIROC-ESM","ann"
100,"WIN","AFS","summer","MIROC-ESM","ann"
22.645084343022,"CURu","AFS","summer","MIROC-ESM","ann"
12.4050334439164,"CURv","AFS","summer","MIROC-ESM","ann"
11.392379067667,"CUR","AFS","summer","MIROC-ESM","ann"
19.2067580823011,"SSH","AFS","summer","MIROC-ESM","ann"
0,"SSHg","AFS","summer","MIROC-ESM","ann"
1.52192183270466,"SSTg","AFS","summer","MIROC-ESM","ann"
69.6402672994514,"DEP","AFS","summer","MIROC-ESM","ann"
