"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","AFS","summer","MIROC-ESM","svm"
68.6439340600422,68.6439340600422,"SST","AFS","summer","MIROC-ESM","svm"
16.2193817497743,16.2193817497743,"WINu","AFS","summer","MIROC-ESM","svm"
15.8938545172383,15.8938545172383,"WINv","AFS","summer","MIROC-ESM","svm"
16.6904828088662,16.6904828088662,"WIN","AFS","summer","MIROC-ESM","svm"
40.294261053024,40.294261053024,"CURu","AFS","summer","MIROC-ESM","svm"
77.4441988365369,77.4441988365369,"CURv","AFS","summer","MIROC-ESM","svm"
19.9260291471738,19.9260291471738,"CUR","AFS","summer","MIROC-ESM","svm"
100,100,"SSH","AFS","summer","MIROC-ESM","svm"
44.5482068803044,44.5482068803044,"SSHg","AFS","summer","MIROC-ESM","svm"
76.2195488281302,76.2195488281302,"SSTg","AFS","summer","MIROC-ESM","svm"
56.1737366339222,56.1737366339222,"DEP","AFS","summer","MIROC-ESM","svm"
