"Obs","Sim","variable","sp","season","climate","method"
4.86975044706194,4.86975044706194,"ICE","AFS","winter","ACCESS1-0","svm"
93.5128054585584,93.5128054585584,"SST","AFS","winter","ACCESS1-0","svm"
51.2354192564869,51.2354192564869,"WINu","AFS","winter","ACCESS1-0","svm"
1.42051020352908,1.42051020352908,"WINv","AFS","winter","ACCESS1-0","svm"
47.4937281681055,47.4937281681055,"WIN","AFS","winter","ACCESS1-0","svm"
24.4588099947905,24.4588099947905,"CURu","AFS","winter","ACCESS1-0","svm"
59.3096920451852,59.3096920451852,"CURv","AFS","winter","ACCESS1-0","svm"
7.61772787118237,7.61772787118237,"CUR","AFS","winter","ACCESS1-0","svm"
100,100,"SSH","AFS","winter","ACCESS1-0","svm"
39.9346162552038,39.9346162552038,"SSHg","AFS","winter","ACCESS1-0","svm"
0,0,"SSTg","AFS","winter","ACCESS1-0","svm"
52.1096801488474,52.1096801488474,"DEP","AFS","winter","ACCESS1-0","svm"
