"Overall","variable","sp","season","climate","method"
6.32106699641385,"ICE","AFS","winter","BCC-CSM1.1","ann"
50.729914914698,"SST","AFS","winter","BCC-CSM1.1","ann"
40.6934571003532,"WINu","AFS","winter","BCC-CSM1.1","ann"
13.6304170365002,"WINv","AFS","winter","BCC-CSM1.1","ann"
100,"WIN","AFS","winter","BCC-CSM1.1","ann"
47.8750235474495,"CURu","AFS","winter","BCC-CSM1.1","ann"
72.800904648201,"CURv","AFS","winter","BCC-CSM1.1","ann"
16.1666524520569,"CUR","AFS","winter","BCC-CSM1.1","ann"
22.3182867417689,"SSH","AFS","winter","BCC-CSM1.1","ann"
0,"SSHg","AFS","winter","BCC-CSM1.1","ann"
8.17067731260279,"SSTg","AFS","winter","BCC-CSM1.1","ann"
33.3778643452803,"DEP","AFS","winter","BCC-CSM1.1","ann"
