"Obs","Sim","variable","sp","season","climate","method"
0,0,"ICE","AFS","winter","CanESM2","svm"
92.0970725116153,92.0970725116153,"SST","AFS","winter","CanESM2","svm"
8.40207907242305,8.40207907242305,"WINu","AFS","winter","CanESM2","svm"
12.1492761856776,12.1492761856776,"WINv","AFS","winter","CanESM2","svm"
6.43179930382613,6.43179930382613,"WIN","AFS","winter","CanESM2","svm"
61.311968445659,61.311968445659,"CURu","AFS","winter","CanESM2","svm"
58.9099573573262,58.9099573573262,"CURv","AFS","winter","CanESM2","svm"
67.8476606315709,67.8476606315709,"CUR","AFS","winter","CanESM2","svm"
100,100,"SSH","AFS","winter","CanESM2","svm"
66.2698179198251,66.2698179198251,"SSHg","AFS","winter","CanESM2","svm"
63.9503026993606,63.9503026993606,"SSTg","AFS","winter","CanESM2","svm"
54.4967071197928,54.4967071197928,"DEP","AFS","winter","CanESM2","svm"
