"Overall","variable","sp","climate","season","method"
0,"ICE","AFS","EC-EARTH","winter","gbm"
10.274049707446,"SST","AFS","EC-EARTH","winter","gbm"
27.1935376643123,"SSTg","AFS","EC-EARTH","winter","gbm"
6.4595836959124,"WIN","AFS","EC-EARTH","winter","gbm"
100,"WINu","AFS","EC-EARTH","winter","gbm"
30.1237760488048,"WINv","AFS","EC-EARTH","winter","gbm"
0.439969464025516,"CUR","AFS","EC-EARTH","winter","gbm"
1.9021000093573,"CURu","AFS","EC-EARTH","winter","gbm"
19.6945799186692,"CURv","AFS","EC-EARTH","winter","gbm"
93.5111541705595,"SSH","AFS","EC-EARTH","winter","gbm"
11.4928634522271,"SSHg","AFS","EC-EARTH","winter","gbm"
10.4112137463854,"DEP","AFS","EC-EARTH","winter","gbm"
