"Overall","variable","sp","climate","season","method"
0,"ICE","AFS","MIROC-ESM","winter","rf"
61.0834618263317,"SST","AFS","MIROC-ESM","winter","rf"
36.8702937330964,"SSTg","AFS","MIROC-ESM","winter","rf"
34.8097437512272,"WINu","AFS","MIROC-ESM","winter","rf"
32.8265672838047,"WINv","AFS","MIROC-ESM","winter","rf"
36.2537084664892,"CURu","AFS","MIROC-ESM","winter","rf"
54.4470061872797,"CURv","AFS","MIROC-ESM","winter","rf"
100,"SSH","AFS","MIROC-ESM","winter","rf"
32.7462515754398,"SSHg","AFS","MIROC-ESM","winter","rf"
93.5981112564442,"DEP","AFS","MIROC-ESM","winter","rf"
