"Overall","variable","sp","climate","season","method"
0,"ICE","AFS","NorESM1-M","winter","gbm"
27.8669223243758,"SST","AFS","NorESM1-M","winter","gbm"
24.5984798176938,"SSTg","AFS","NorESM1-M","winter","gbm"
15.3910614388781,"WIN","AFS","NorESM1-M","winter","gbm"
21.642525105655,"WINu","AFS","NorESM1-M","winter","gbm"
30.6964011914075,"WINv","AFS","NorESM1-M","winter","gbm"
29.696139552517,"CUR","AFS","NorESM1-M","winter","gbm"
25.6393211963142,"CURu","AFS","NorESM1-M","winter","gbm"
27.7135455071332,"CURv","AFS","NorESM1-M","winter","gbm"
49.6786959226837,"SSH","AFS","NorESM1-M","winter","gbm"
31.8792779297232,"SSHg","AFS","NorESM1-M","winter","gbm"
100,"DEP","AFS","NorESM1-M","winter","gbm"
