"Overall","variable","sp","season","climate","method"
3.20972505611129,"ICE","DMS","summer","ACCESS1-0","ann"
33.2005347523865,"SST","DMS","summer","ACCESS1-0","ann"
17.3662530041472,"WINu","DMS","summer","ACCESS1-0","ann"
0,"WINv","DMS","summer","ACCESS1-0","ann"
58.4176336764231,"WIN","DMS","summer","ACCESS1-0","ann"
28.9302660209464,"CURu","DMS","summer","ACCESS1-0","ann"
1.78809993939843,"CURv","DMS","summer","ACCESS1-0","ann"
19.3328286591557,"CUR","DMS","summer","ACCESS1-0","ann"
3.1764719140211,"SSH","DMS","summer","ACCESS1-0","ann"
3.15225929446208,"SSHg","DMS","summer","ACCESS1-0","ann"
1.73964691644037,"SSTg","DMS","summer","ACCESS1-0","ann"
100,"DEP","DMS","summer","ACCESS1-0","ann"
