"Overall","variable","sp","climate","season","method"
0,"ICE","DMS","ACCESS1-0","summer","gbm"
21.4422141870108,"SST","DMS","ACCESS1-0","summer","gbm"
18.5599699159508,"SSTg","DMS","ACCESS1-0","summer","gbm"
10.4781639976457,"WIN","DMS","ACCESS1-0","summer","gbm"
7.11677291574383,"WINu","DMS","ACCESS1-0","summer","gbm"
36.5273793560063,"WINv","DMS","ACCESS1-0","summer","gbm"
20.1388320674216,"CUR","DMS","ACCESS1-0","summer","gbm"
28.6726792391847,"CURu","DMS","ACCESS1-0","summer","gbm"
100,"CURv","DMS","ACCESS1-0","summer","gbm"
28.6438189577921,"SSH","DMS","ACCESS1-0","summer","gbm"
24.2076885330309,"SSHg","DMS","ACCESS1-0","summer","gbm"
96.6576528061206,"DEP","DMS","ACCESS1-0","summer","gbm"
