"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","ACCESS1-0","rf"
90.9251855647327,"SST","DMS","summer","ACCESS1-0","rf"
44.5610567441947,"WINu","DMS","summer","ACCESS1-0","rf"
51.8839045298964,"WINv","DMS","summer","ACCESS1-0","rf"
47.8054309081998,"WIN","DMS","summer","ACCESS1-0","rf"
39.8532673252235,"CURu","DMS","summer","ACCESS1-0","rf"
60.1166697341931,"CURv","DMS","summer","ACCESS1-0","rf"
40.365975329283,"CUR","DMS","summer","ACCESS1-0","rf"
99.795558790019,"SSH","DMS","summer","ACCESS1-0","rf"
37.4838972897365,"SSHg","DMS","summer","ACCESS1-0","rf"
45.7687182180918,"SSTg","DMS","summer","ACCESS1-0","rf"
100,"DEP","DMS","summer","ACCESS1-0","rf"
