"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","BCC-CSM1.1","rf"
94.237690279824,"SST","DMS","summer","BCC-CSM1.1","rf"
50.4888133790614,"WINu","DMS","summer","BCC-CSM1.1","rf"
34.2513519183434,"WINv","DMS","summer","BCC-CSM1.1","rf"
45.0191400975409,"WIN","DMS","summer","BCC-CSM1.1","rf"
42.9540191903035,"CURu","DMS","summer","BCC-CSM1.1","rf"
63.344270757234,"CURv","DMS","summer","BCC-CSM1.1","rf"
42.5422738407267,"CUR","DMS","summer","BCC-CSM1.1","rf"
98.6706274780991,"SSH","DMS","summer","BCC-CSM1.1","rf"
41.5348365061019,"SSHg","DMS","summer","BCC-CSM1.1","rf"
52.4999379355751,"SSTg","DMS","summer","BCC-CSM1.1","rf"
100,"DEP","DMS","summer","BCC-CSM1.1","rf"
