"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","CanESM2","rf"
77.5517480106251,"SST","DMS","summer","CanESM2","rf"
34.8095535488003,"WINu","DMS","summer","CanESM2","rf"
35.725245128322,"WINv","DMS","summer","CanESM2","rf"
42.0378031481604,"WIN","DMS","summer","CanESM2","rf"
36.3112920126131,"CURu","DMS","summer","CanESM2","rf"
45.9184259667519,"CURv","DMS","summer","CanESM2","rf"
34.0379052518555,"CUR","DMS","summer","CanESM2","rf"
84.1220427668613,"SSH","DMS","summer","CanESM2","rf"
38.3952369395132,"SSHg","DMS","summer","CanESM2","rf"
32.4318397560335,"SSTg","DMS","summer","CanESM2","rf"
100,"DEP","DMS","summer","CanESM2","rf"
