"Overall","variable","sp","season","climate","method"
49.9616951109394,"ICE","DMS","summer","EC-EARTH","ann"
0.172255254201353,"SST","DMS","summer","EC-EARTH","ann"
50.1709506201641,"WINu","DMS","summer","EC-EARTH","ann"
5.02700479918377,"WINv","DMS","summer","EC-EARTH","ann"
100,"WIN","DMS","summer","EC-EARTH","ann"
31.460815445518,"CURu","DMS","summer","EC-EARTH","ann"
0,"CURv","DMS","summer","EC-EARTH","ann"
34.2320129309612,"CUR","DMS","summer","EC-EARTH","ann"
64.3044452383131,"SSH","DMS","summer","EC-EARTH","ann"
41.9910903300366,"SSHg","DMS","summer","EC-EARTH","ann"
65.7467438026653,"SSTg","DMS","summer","EC-EARTH","ann"
10.4150559463619,"DEP","DMS","summer","EC-EARTH","ann"
