"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","EC-EARTH","gbm"
80.3216978468367,"SST","DMS","summer","EC-EARTH","gbm"
33.5177699640746,"WINu","DMS","summer","EC-EARTH","gbm"
62.7545236446023,"WINv","DMS","summer","EC-EARTH","gbm"
49.8356373703605,"WIN","DMS","summer","EC-EARTH","gbm"
24.6145541407981,"CURu","DMS","summer","EC-EARTH","gbm"
37.908212778433,"CURv","DMS","summer","EC-EARTH","gbm"
22.8285857588189,"CUR","DMS","summer","EC-EARTH","gbm"
86.5077220309116,"SSH","DMS","summer","EC-EARTH","gbm"
39.9763035511182,"SSHg","DMS","summer","EC-EARTH","gbm"
64.3773015584165,"SSTg","DMS","summer","EC-EARTH","gbm"
100,"DEP","DMS","summer","EC-EARTH","gbm"
