"Overall","variable","sp","season","climate","method"
0,"ICE","DMS","summer","EC-EARTH","rf"
89.9499368939598,"SST","DMS","summer","EC-EARTH","rf"
72.4291433728804,"WINu","DMS","summer","EC-EARTH","rf"
54.0060587024415,"WINv","DMS","summer","EC-EARTH","rf"
74.1488991307932,"WIN","DMS","summer","EC-EARTH","rf"
43.9669682824954,"CURu","DMS","summer","EC-EARTH","rf"
31.7860825112733,"CURv","DMS","summer","EC-EARTH","rf"
37.2490086377626,"CUR","DMS","summer","EC-EARTH","rf"
100,"SSH","DMS","summer","EC-EARTH","rf"
55.8059002509357,"SSHg","DMS","summer","EC-EARTH","rf"
69.9164731755545,"SSTg","DMS","summer","EC-EARTH","rf"
99.145520810841,"DEP","DMS","summer","EC-EARTH","rf"
